,pbmc_1,pbmc_10,pbmc_12
AAK1,42.4059,27.760757592,37.58767
ABLIM1,64.2994168,39.9152116,49.5954407
ACSL1,19.3899890003916,27.6285400002803,22.173611140908
ACSL6,5.647037,2.935471,4.18636000294503
ADAM19,15.16193,13.0554097,9.226331
ADAM28,6.27449,3.98414131,4.263646
ADK,27.368502,15.45974,26.6654400001418
AFF3,3.295273,3.2528601,2.4349096
AIF1,597.2879,828.9441,660.8224
AIM2,3.62628,3.59122,4.52402
AKR1C3,9.59961,5.03073,12.253
ALDH2,140.778905069965,176.90634,105.632470570039
JAML,162.428536,199.377741,150.46687
ANK3,5.855696131,4.049306,2.77600612047
AP1S2,190.014238,148.877104,133.610817
AP3M2,5.473433,3.0321993,4.082043
APOBEC3A,82.0766,53.26213,70.430967
APOBEC3G,56.76495,35.43663,63.62401
AQP3,83.859772,57.174895,61.248012
AREG,3.6425,5.93594,2.16631
ARHGAP24,2.41908,4.135477,3.8500715
ARL4C,204.0793,144.27312,202.9754
ASCL2,11.7124,17.483,22.3079
ASGR1,41.56825,56.7954,33.09444
ATP8B2,43.61461,30.65374,33.99121
BACH2,7.313239,7.698868,7.208624
BANK1,21.280079,21.30018,20.07219
BCL11A,15.9963061281206,22.53619,12.5687120057888
BCL11B,47.2004,33.5282,37.5026
BCL2A1,40.19077,45.09686,48.73507
BCL2,43.12888,39.28369,35.38924
BCL7A,8.88716,8.34589,5.77938
BIRC3,23.924,22.416,27.1501
BLK,21.058084,16.847577,18.829011
BLNK,10.5453,9.919113210459,7.70826695
BLVRB,125.214164,155.716904,80.264521
BNIP3,16.009695,15.287308,12.727016
BST1,92.6386,114.4298,71.3668
BTLA,4.33319,3.18113000985262,3.3538561
C12orf57,330.749488,234.383942,307.288637
C12orf75,34.74562,18.68857,61.76301
RGCC,28.7739,18.27,18.2258
LINC01550,12.782747,10.597174,11.942918
C15orf48,0.204906,0.259308,0.398888
C1orf21,1.71157,1.02726,5.101
APMAP,88.665816,83.4929,139.4396
TRABD2A,89.70927,77.93977,69.27639
C5AR1,74.6362,70.1336,67.7756
ANXA2R,26.44316,26.90248,25.094392
ADTRP,3.306418,8.17666,6.70486
CAMK4,24.96682,21.55078,19.2156
CCDC50,7.051838,6.37857,7.18472
CCL20,0.17337048,0.19745984,0.0
CCL3L1,0.380454,2.13349e-06,0.0
CCL3,3.70739,1.271,3.63221
CCL4L2,2.51778,2.493589,3.88662
CCL5,538.626,381.72,1165.24
CCR7,94.7037,76.5842,55.3305
CD14,645.85,800.9088,512.9779
CD160,19.590128,11.911132,23.396338
CD19,13.3129,14.722488,9.93606
CD226,11.39433,7.85713,17.61595
CD22,28.55690090025,32.4594900015386,23.02372982373
CD247,170.181341,117.989461,198.89918
CD24,7.27262,6.13274,7.46184
CD27,157.3684,111.1321,117.8077
CD28,21.729038,14.382539,14.56231
CD2,136.154568,85.853594,135.197297
CD300A,70.16192378,83.7689655351008,93.28161768
CD300E,36.6753,24.9081,30.2533
CD302,61.271403848,61.1016579,66.6497866
CD36,129.113569,100.1082501,73.408197
CD37,604.149345,771.92181,594.445331
CD38,15.8681200053957,9.495,12.2308847119
CD3D,357.85446,258.58275,328.40886
CD3E,602.46996,453.98052,558.58961
CD3G,92.6184,45.621363,88.880194
CD40LG,16.4874,10.7637,11.4072
CD40,12.009799,18.718228,18.9305225
CD5,94.3879,86.8773,75.5594
CD68,395.4592,558.338,436.389
CD6,119.93725,95.726571,95.418668
CD72,9.819524,8.767864,4.87805
CD74,5737.6153,7839.8714,5562.33275
CD79A,228.76039,256.8356,165.06247
CD79B,122.61822,125.3841,99.39723
CD7,259.891563,219.135971,221.763506
CD82,64.9433,63.89394,51.8564
CD8A,123.580148,99.817693,179.16116
CD8B,106.321386094892,89.0062100011628,168.40927
CD93,43.3532,38.3496,29.757
CDA,83.954915,89.051153,97.971009
CDC14A,16.0882239,12.1877599,16.220677
CDCA7L,16.405950250803,15.085938,14.90302
CDK14,2.68411153369,2.164587,2.101903
CDKN1A,39.505269,41.91868,33.02893
CEBPD,220.554,230.71,136.051
CEP78,8.9672311,4.7487852,14.439015
CFD,227.3373,386.30031,231.372248
CFP,336.889088,447.03565,278.333847
CHD7,5.682283,4.042502,4.626549
CHST12,26.5084,19.43279,31.77431
CHST2,39.9226,33.8726,49.2857
CIITA,20.677818,19.539619,15.480260149588
CLEC12A,36.262686400451,33.565965,67.100323
CLEC4E,18.6826,27.1937,17.8558
CLEC7A,48.466198,45.025059,48.355809118625
CLIC3,30.4771,26.5783,60.0939
CMC1,29.0561,24.2593,47.9921
CNTNAP2,1.63624,1.37455,2.0364
COBLL1,2.2649431,2.932865,2.95868800108719
COL19A1,0.56392,0.889533,0.556617
COL6A2,14.491450011876,12.6031020525834,25.9688149164787
CPNE5,18.44378,14.66347,15.482921
CPPED1,39.642152,45.36423,41.7154892
CPVL,203.2799294,351.8061712,236.76843
CSF1R,101.9459216,104.53623467871,124.01261
CSF3R,160.523742,241.65411334,124.64634193366
CST3,2094.72428,2498.38215,1510.21195
CST7,115.847,105.235,354.361
CSTA,128.23,175.187,123.899
CTSB,307.805326,282.138907022385,300.659331548179
CTSS,968.622777,929.2802,1102.11431
CTSW,199.40698,150.58816,348.26468
CX3CR1,42.3407,26.684,53.096
CXCL2,0.199835,0.0,0.293484
CXCR4,547.28414,421.88352,472.83688
CXCR5,14.5263,14.2914324,9.835
CYB561A3,75.319906,82.096126104729,61.592806
CYBB,259.184330141535,243.993723025871,242.286061274
CYP1B1,13.8486,10.1206,10.1082
DGKA,65.5639439005694,51.1112431580939,47.1673024288908
DIP2A,13.625194979,9.9583706614,18.3862917732
DMXL2,17.174307,16.82316815866,14.948656
DNAJB1,203.138803,133.568,161.27
DOCK9,22.012447,19.0113230058277,24.173308247
DPP4,19.582569,17.860904,17.115204
DTHD1,0.645395,0.821547,2.25627
DUSP6,29.06339,24.448,28.88287
EAF2,29.214873,21.953354,25.53867
EBF1,1.005376,1.4827275235103,1.350561538
EFHD2,331.948,382.191,399.437
EGR1,4.25805,1.93229,3.10269
EOMES,7.09206000030374,4.99544,13.631249
EPHX2,21.0845580728849,14.887440017496,13.4052490002784
EREG,1.715821,0.826759,0.917548
EZR,155.449900000611,125.41863,156.14626
F2R,10.2667,6.76103,28.365
ABHD17A,212.85412,205.55673,244.410741
PCED1B,50.02453,45.73504,33.411141
FBLN5,5.666404,1.897461,6.90267
FCER2,29.18107192,48.83403,19.949226
FCGR2A,53.693322,109.778240001272,96.53849
FCGR2B,21.779298,13.00926,10.375707
FCGR3A,145.14488,137.999249,456.96644
FCGRT,240.23142,357.65064,227.69845
FCN1,1542.11,2495.44,1418.58
FCRL1,10.791536,12.875225,8.729797
FCRL3,11.670957,10.221755558,9.67122000805656
FCRL5,3.69952343878,1.71393846,1.9825299
FCRL6,15.960995,8.828241,53.19692
FCRLA,18.8239000236867,22.71032,15.207769
FCRLB,2.276011288,1.198807,1.73774416402734
FGFBP2,84.5087,51.1458,273.937
FGL2,185.336,202.953,219.419
FHIT,13.73756,15.464996,9.164032
FLT3LG,135.947479,128.6692915,117.4549703
FOSB,4.06343650597402,2.07179019375,2.853185425521
FOS,192.8606,181.2462,157.84431
FPR1,143.955,195.082,151.814
G0S2,24.0576,22.6734,16.9865
GIMAP7,140.649,93.1791,108.097
GK5,2.191072,2.198147,3.961078
GNG2,97.022261,62.886762,124.374378002184
GNG7,7.801673,8.246967,6.872458
GNLY,383.9273,256.1465,1202.1545
GNPTAB,26.7500891,14.823544,28.374407
GPR171,17.6877,10.8817,11.1077
ADGRG1,36.3781040690168,22.605381,95.7292
GRAP2,27.425827,33.081360840277,37.326066
GRN,658.87589,928.438215,533.077529
GZMA,136.092,69.4449,226.578
GZMB,108.13489,76.27284,259.13298
GZMH,95.44722,26.23606,333.70107
GZMK,77.0021,60.9666,98.5246
GZMM,153.812,126.48,158.007
HBA1,4099.5546,4884.41412,5863.2046
HBA2,7840.21,6610.86,8606.47
HCK,191.5615,217.5922,180.1328
HCST,385.218,363.0485,355.5516
HLA-DMB,132.42086,160.36394,116.50043
HLA-DOA,37.412402,30.317526,20.2061
HLA-DOB,15.35999,15.859889,7.548811
HLA-DPA1,1021.53,1233.73389,1181.4569
HLA-DPB1,844.667837,1150.64814,671.754118
HLA-DQA1,127.423491,153.553186,125.218893
HLA-DQB1,546.37929,717.30899,216.007610000383
HLA-DRA,1941.0007,2303.6944,1938.2037
HLA-DRB1,1316.63502,1651.3437103,939.522979
HOPX,47.9814,24.87200215,72.3279215
HSPB1,101.8104,128.1649,95.8528
HVCN1,63.204610000475,66.32086,52.942916682
ICOS,9.4433028,8.39161,6.8189396352
ID2,232.676851,197.33801,231.594
IER3,23.7354,34.0839,13.9654
IFI30,1622.88,2002.22,1567.15
IFITM1,770.394,589.426,925.524
IFITM3,111.434,418.672,461.159
IFT57,12.7944,11.1656,11.3062
IGFBP7,27.635,34.9054,28.0407
JCHAIN,350.663242,105.83539,206.48529
IGSF6,50.49967,57.08211,54.29248
IL18RAP,4.57442,2.939919,6.335221
IL1B,1.047237,1.07003,0.3197862
IL1RN,24.95852,39.126249,20.34412
IL2RB,102.394,74.178,139.161
IL32,553.673145,495.820600766,842.273107
IL4R,60.48453,92.384486,66.336272
IL6ST,25.285666,15.07043,22.617049
IL7R,210.2255,118.09663,155.509
CXCL8,12.2341,4.24712,10.6924
INPP4B,11.857731,9.6184700281498,11.279441
IPCEF1,19.18906551,14.5668663,13.67851966
IRAK3,9.615237,10.742202,11.043099
IRF8,73.05978,92.9018400029627,62.86532
ITGA6,35.02329,31.46802,27.2996850165999
ITGAL,174.292357,150.3512,236.296657
ITK,66.5167,48.4845,57.2383
ITM2A,92.83882,43.60681,40.29968
JAK1,193.32893611317,162.603766,227.181955485
KCTD12,72.363,60.8775,51.3979
TESPA1,45.37682678325,28.18364,29.897830164461
KLRB1,251.739,193.17,311.995
KLRC1,9.50640000062153,2.763157734,21.419917
KLRC2,1.10285,0.0,7.219302
KLRD1,18.352578,10.3061830029765,31.410267
KLRF1,27.013037,15.477708,49.25854
LAIR2,6.961372,5.395184,11.269954
LAT,150.04427,105.77383,136.672335
LCK,212.664017,142.2998,172.661543
LDHB,662.903085,533.646589,537.15451
LDLRAP1,126.849,102.3105,89.0158
LEF1,125.147925,93.6951700066187,88.589497
LEPROTL1,85.2855,62.7145,68.4372
LGALS3,192.907,180.458,151.785
LILRA5,177.312840064757,232.44483,152.31393
LILRB3,101.379731,132.555559,118.675087
LITAF,225.69116,187.105129,229.942066
LLGL2,8.2671942,5.1288873,12.11848
LINC00926,9.43382,12.12277,6.01436
LRP1,43.218038,46.5101219,36.2493234
LRRC25,124.5305,169.3886,155.2748
LRRK2,11.657107,10.861805,11.209626
LRRN3,18.73576,8.78743,5.853675
LST1,454.335750000283,692.81528312739,555.46093229832
LTB,1105.689,1097.53,693.482
LYZ,7912.41,9331.48,9506.39
MACROD2,2.1462725,3.469565,1.184776
MAFB,24.4186,33.6945,36.5892
MAL,154.1858,121.265985,97.468198
MARCKS,57.9039,49.8846,44.6163
MATK,48.34549,30.7604,73.665298
MCTP2,4.5076409,2.565486,5.2136437
MEF2C,19.32316,18.26455,16.823146
MGAT4A,18.097477,13.20796,20.5506647
MZB1,59.23207,14.343075,17.053707
MICAL3,7.106597,7.78082779,6.779291
MLLT3,13.4721761,11.907148,13.646593
MMP23B,4.609039,3.879936,8.12473
MNDA,303.166,286.365,216.367
MPEG1,261.206,252.09,217.388
MS4A1,24.742760892,16.0663840014533,15.839589931335
MS4A6A,215.066383,281.54142,192.94344
MS4A7,19.6253421,35.75753,62.77379
MYBL1,8.369481083,5.5827083,12.001914
MYL1,0.0,0.0,0.0
MYOM2,1.4396485,5.64844,8.02691
NAMPT,34.294242,30.79293,36.10461
NCAM1,3.47073800405561,3.89198300010851,9.6192026
NCF2,253.00730101108,296.944841236,228.77950020519
NCR1,3.10120165681,2.69028,9.010134
NCR3,42.77856,30.43022,41.29435
NELL2,60.169046,44.76504516,61.767658
NFKBIA,312.79609,460.58307,384.77467
NFKBIZ,19.6252,22.4196,22.46727
NINJ1,141.57688,166.62975,121.72275
NKG7,581.515,367.5694,1074.2432
NLRP3,15.7802145005,15.4998500378266,12.0689350265387
NMUR1,2.97702,1.78666,5.16434
NOSIP,312.12047,239.75179,203.81713
NR4A1,16.564021,9.771222,17.377896
NUCB2,82.201684,65.1495661,72.686903
OCIAD2,80.66381,52.77665,51.60101
OSBPL10,4.399768,4.231597,3.355246526
OXNAD1,41.5481,32.54515,33.379
P2RX5,26.9242340015379,27.7477,24.9235930001298
P2RY10,23.72664,16.85001,20.69122
PAG1,14.0731,10.3355,12.9071
PASK,12.593446002339,11.6285580000291,11.5584330101302
PAWR,1.82876,1.55274,1.04913
PAX5,23.0398011146,27.35741251,17.5731766211282
PBXIP1,166.774988,140.6079984,153.99657995
PCDH9,1.82255932,1.8536162274,1.53398900913124
PCDHA6,0.0,0.0,0.0
PCSK1N,16.7487,7.95003,9.93999
PDE3B,26.8803921175,19.2080794,28.015313
PDLIM1,30.9828,33.171,32.6869
PECAM1,193.805,253.473,252.053
PIK3IP1,193.30119,149.30634,141.745544
PILRA,105.97679,176.881982,134.947545
PIP4K2A,109.524208,80.15781,123.4118
PKIG,13.56161,15.58737,9.708617
PLAUR,56.688495,56.815291,45.51249
PLBD1,138.359,184.395,148.898
PLEKHF1,11.76696,8.596437,19.74649
PLEKHG1,2.708961,3.101115121098,3.024905
PLXDC2,21.54803,19.56096,18.95191
PNOC,13.6164,10.64932,9.99907
POU2AF1,23.2681,19.968,16.696
PLPP5,21.514141,23.39503,18.89432
PPP1R14A,5.8528,5.9351,6.45518
PPP2R2B,4.143197,1.5975358,6.352704256089
PRF1,144.44078,90.9192,210.97078
PRKCA,13.227004,11.33798,11.591025
PRKCH,102.98818,75.67452,119.41614
PRSS23,15.863685,5.731728,41.3112
PSAP,2332.939,3326.86,2802.125
PTGDR,8.34468,3.74324,10.4359
PTGDS,30.4499626,48.4369955,87.392636
PTGS2,1.37519102979,0.397782302052,0.289824019
PTPN12,43.264335,44.1311686,62.864
PTPN4,18.07066,11.713774,22.614629
PYHIN1,23.72992,11.951678,36.7971227
QRSL1,9.236459,7.46893,7.682276
RAB30,7.4057292,5.90548,5.642993
RAB31,59.2104,70.9242,66.2578
RAB32,72.0784,88.4346,63.9492
RALGPS2,11.578569,11.427117,12.22036
RAMP1,1.1573,2.11351,3.31081
RASGRP1,34.26195,23.4879400297731,36.6985571285
RASGRP3,4.196014,3.47486,4.2381600038775
RBP7,87.11844,106.36953,64.86206
RCAN3,60.8612869,38.95627935883,44.39595
RGL4,6.740243,4.61413,5.518131
RGS10,171.5262,191.5944,180.2195
RGS2,136.588,120.212,112.052
RGS9,1.8921410106806,1.156646,5.2629472
RHOBTB3,1.0784727,0.782633,1.3310553
RHOC,72.690508,73.993946,158.46697
RNF130,220.955,292.081,228.15794
RNF157,15.03874275,11.555,12.095140754
RORA,8.091699,4.9644627,9.9455083
RPS12,6498.37449,6162.90019,6645.65362
RPS4Y1,0.0404733,703.829,711.519
RUNX3,153.020282,148.593596043231,278.177466
S100A12,589.468,582.617,348.409
S100A8,4452.63,4765.87,2713.9
S100A9,8052.83,7977.44,4539.82
S1PR5,45.62454,30.54553,81.29077
SAMD3,27.805327,19.940756,41.215458
SAT1,318.0072,500.2463,440.3612
SATB1,64.00271,47.10495,51.5776
SCML4,10.054091,7.7362922,8.6383249
SEL1L3,41.3191,32.430872,41.1076692
SERINC5,11.752763,7.234457,8.891254
SERPINA1,456.635871126209,743.764348,734.454009
SFXN1,14.234639,9.736426,14.2162
SGK1,12.255123,13.969267,11.3676247
SH2D1B,15.016743,11.53466,25.72512
SH2D2A,22.70571,17.633456,37.13923
SH3YL1,58.964931,35.641006,54.997762
SKAP1,74.41983,52.235425,68.46013
SLAMF7,33.1419417630932,21.2036907,53.092067668052
SLC11A1,34.884939,82.33683,44.797356
SLC7A7,130.511847,191.91056,160.240008
SLFN13,2.872164,2.18513319807,3.12386
SNX22,6.817453,8.806705,5.276788
SOD2,177.448916,312.426677,284.940582
SP140,21.956307,20.86872,24.209990718404
SPI1,369.74939,560.58712,368.39346
SPIB,28.89928,29.391789,18.72763
SPN,77.41467,60.65516,109.0872
SPOCK2,198.862538,151.95439,202.40569
SPON2,35.04754,48.462024,124.65256
SSPN,0.538225,0.208674,0.377646
STAP1,11.99303,6.67245,6.512287
STAT4,12.726013,9.629032,16.790229
STMN3,32.3468,27.3621,26.0759
STOM,53.2295,42.38412,76.83052015277
STRBP,15.8017304,14.779778,14.970813
STX7,17.3001968,12.0285,11.7256
SUSD3,48.46978,36.45541,22.28727
SVIP,38.9435,34.587,40.3593
SWAP70,19.227785,15.317462,14.426062
SYNE1,29.75548792867,20.9059874519477,33.340180469
SYNE2,23.388697822405,24.0131188,39.664470110743
SYTL2,12.1633179147621,5.978920648951,14.090649068
SYTL3,24.464515,16.72344423,29.221432
TRGC1,77.838239,29.2995130981106,67.6635621
TBC1D4,17.79804,12.1487500665309,11.01235316
TBX21,21.6271,15.8084,48.0034
TC2N,30.84115,16.47091834761,28.819198
TCEA3,16.18728,17.020167,12.67719
TCF7,385.20424,287.0666,272.75564
TCL1A,50.867,72.772,38.1001
TFDP2,8.73543400720507,5.99809000010146,13.9276
TGFBI,263.149093,429.91688,263.419724
TGFBR3,17.64192261783,9.776745,37.332730000075
THBS1,3.63477,6.72713,21.24597
THEM4,28.38674,23.01127,25.69424
THEMIS,24.522693,16.89949,28.097899
TIMP2,63.80510016,77.3096972,57.08349358
TLR10,4.88119823,3.92354,4.51473900200827
TLR2,20.586393,28.03608132857,22.15610564
TMEM156,8.40112,5.5023700833683,3.76745
TMEM176B,22.717,48.390274,194.8431
TMEM204,32.11408,19.98566,18.11733
SARAF,631.51597,579.74568,608.0201
TNFAIP2,83.70296,69.29053,49.19206
TNFRSF13B,7.98116,5.752577,6.3209157
TNFRSF13C,11.0844,15.62596,9.77946
TNFRSF18,4.142588,7.855934,9.005302
TNFRSF25,17.98143,13.59487111,14.9240708823312
TNFSF13B,56.716404,46.31394,49.1981
TNF,4.39298,9.7245,7.96172
TOB1,89.605,88.359159,116.08389
TPD52,17.571265,15.87971,25.808515
TPST2,61.378765,48.384609,78.19957973
TRAT1,30.32014,19.0886,20.980089
TSEN54,29.94695,22.072979,36.10791
TSHZ2,5.87067,2.82374,2.60704
TSPAN13,10.6343,13.811,10.5975
TTC38,19.60216,12.50835,32.9716
TTN,0.81027516654,0.42690060703,0.5061408789
TXK,14.85796,9.95364,15.913863
TYMP,525.1858,1007.52602,590.99693
VCAN,276.858673,282.7823900079,218.532429
VPREB3,32.3492,27.41,17.5154
WDFY4,22.0174617,24.456432,18.972347
XCL1,2.22244,1.66368,1.02523
XCL2,5.18772,7.58555,9.67695
YPEL1,7.47577,4.78257,9.751128
ZAP70,72.13302,57.11394,68.51193
