,B cells,Monocytes,NK cells,T cells,mDC,pDC
AAK1,0.10125,0.54875,1.82875,1.89875,0.2325,0.0975
ABHD17A,0.52375,0.4925,3.9575,1.01875,0.4125,0.56
ABLIM1,0.3625,0.01875,0.2925,0.585,0.01375,0.0125
ACSL1,0.03625,1.14625,0.0375,0.02625,0.0875,0.0425
ACSL6,0.01,0.01125,0.0075,0.12875,0.00375,0.0125
ADAM19,0.42375,0.09375,0.01,0.0525,0.09375,0.685
ADAM28,1.34,0.08375,0.06875,0.00375,0.7775,0.07125
ADGRG1,0.0125,0.0125,1.91625,0.2375,0.0075,0.02125
ADK,0.87875,0.24875,0.1125,0.21875,0.3575,0.52375
ADTRP,0.0025,0.0025,0.0075,0.11125,0.005,0.01125
AFF3,1.45625,0.0325,0.02125,0.02625,0.64375,1.30875
AIF1,0.3625,13.74,0.58625,0.785,7.4425,0.6975
AIM2,0.62625,0.09125,0.00625,0.0275,0.02625,0.0075
AKR1C3,0.00625,0.0125,0.9875,0.03625,0.01,0.18875
ALDH2,0.0675,1.5025,0.035,0.0225,2.4375,0.86375
ANK3,0.09875,0.00125,0.0125,0.185,0.02,0.01
ANXA2R,0.17,0.0475,0.20125,0.38,0.05375,0.0875
AP1S2,0.61125,5.305,0.36875,0.325,4.1825,1.565
AP3M2,0.0975,0.035,0.08125,0.35875,0.05625,0.15375
APMAP,0.08625,0.18375,1.22375,0.20625,0.24875,0.17375
APOBEC3A,0.045,2.2125,0.03875,0.03625,0.07125,0.0225
APOBEC3G,0.40625,0.30375,1.585,0.425,0.18625,0.275
AQP3,0.02625,0.01,0.02375,0.52125,0.00875,0.11125
AREG,0.1675,0.14375,0.7425,0.1175,2.23375,0.44625
ARHGAP24,0.93375,0.2475,0.00125,0.00125,0.0625,0.54
ARL4C,0.6575,0.81625,8.66375,3.44375,5.14375,4.38125
ASCL2,0.0075,0.25,0.6275,0.085,0.2575,0.00875
ASGR1,0.00625,1.035,0.0175,0.00875,0.26625,0.01625
ATP8B2,0.08125,0.0225,0.12125,0.32375,0.015,0.19
BACH2,0.56,0.005,0.05875,0.185,0.04875,0.01875
BANK1,4.48375,0.04875,0.03125,0.015,0.1675,0.2525
BCL11A,1.63875,0.3275,0.00875,0.01125,0.77125,6.90375
BCL11B,0.05875,0.03,0.3575,1.14875,0.0225,0.0375
BCL2,0.61125,0.04,0.3175,0.855,0.08625,0.05125
BCL2A1,0.245,3.1575,0.13,0.17375,0.41375,0.075
BCL7A,0.7525,0.0225,0.0075,0.03375,0.48375,1.44875
BIRC3,1.945,0.6125,0.13875,0.54625,0.17875,0.11625
BLK,1.09125,0.0075,0.0075,0.01,0.0075,0.39125
BLNK,0.57125,0.0175,0.00375,0.0025,0.1875,1.815
BLVRB,0.1275,2.01625,0.15375,0.13,1.4025,0.21
BNIP3,0.06125,0.0675,0.08625,0.25625,0.08125,0.11875
BST1,0.01625,0.8675,0.0075,0.01125,0.15125,0.07625
BTLA,0.30625,0.0025,0.0,0.02875,0.0175,0.235
C12orf57,1.2775,0.5025,1.27125,2.75375,0.20125,1.775
C12orf75,0.22875,0.05875,1.61125,0.53625,0.4025,8.69125
C15orf48,0.0275,1.665,0.0275,0.015,0.6175,0.03125
C1orf21,0.0075,0.02375,1.06375,0.1375,0.0175,0.02875
C5AR1,0.0375,2.1525,0.03375,0.02375,0.055,0.015
CAMK4,0.0525,0.02625,0.04125,0.82125,0.01125,0.0225
CCDC50,0.9625,0.30875,0.1225,0.05875,0.8075,12.7325
CCL20,0.01375,1.05125,0.01625,0.01625,0.03,0.02375
CCL3,0.2275,12.3425,0.905,0.1925,0.18625,0.1375
CCL3L1,0.08375,4.14875,0.11375,0.0825,0.22875,0.045
CCL4L2,0.10125,4.4325,0.43,0.10375,0.225,0.09625
CCL5,0.5725,0.285,19.7575,6.59125,0.12625,0.24
CCR7,0.425,0.0075,0.03875,0.90375,0.00875,0.10875
CD14,0.065,5.4,0.0825,0.04875,0.435,0.025
CD160,0.01125,0.0075,0.78625,0.05875,0.0175,0.01125
CD19,0.44375,0.00625,0.0025,0.00375,0.0075,0.00625
CD2,0.10125,0.0575,2.46,2.66375,0.4725,0.09625
CD22,1.73375,0.0225,0.00875,0.00375,0.0575,0.0225
CD226,0.03,0.0225,0.74625,0.34,0.1125,0.02125
CD24,0.73875,0.005,0.00625,0.00125,0.005,0.0075
CD247,0.09,0.02875,5.45,1.07625,0.0125,0.03
CD27,0.34875,0.02375,0.06,0.96875,0.00875,0.02125
CD28,0.01375,0.015,0.02,0.30625,0.01875,0.02625
CD300A,0.03875,0.53875,0.96375,0.12125,0.46,0.435
CD300E,0.02625,1.75625,0.03125,0.0275,0.2875,0.03
CD302,0.04125,1.54875,0.04375,0.0275,0.96125,0.3725
CD36,0.04375,2.51375,0.0475,0.0275,0.915,1.4975
CD37,11.70375,3.2325,2.28625,2.17625,2.05375,3.17125
CD38,0.1,0.0675,0.58375,0.0325,0.145,0.2375
CD3D,0.17625,0.10375,0.46,4.53375,0.015,0.06875
CD3E,0.11375,0.0675,1.9575,3.49375,0.01625,0.14125
CD3G,0.07375,0.05375,0.45875,3.48,0.0125,0.0425
CD40,0.83125,0.1325,0.03,0.01625,0.105,0.09125
