group,PC1,PC2,cluster,lineage
B10-CZI032N,-40.754262631825675,-25.793888803193628,2,Endothelial
B10-CZI033N,-83.47118076114384,-5.054662251819573,1,Endothelial
B10-CZI035N,-34.139394713067496,-12.595897665666977,2,Endothelial
B10-CZI037N,-13.749764327043236,-21.373448822388315,2,Endothelial
B11-CZI041N,-7.442784510549915,-17.392437084512544,2,Endothelial
B11-CZI215N,18.461428159436938,-8.764903534788614,2,Endothelial
B11-CZI321N,-73.24876443581624,-9.434789280281924,1,Endothelial
B11-CZI350N,-30.256347109070678,-13.193895184543317,2,Endothelial
B12-CZI038N,-20.29500116754249,-4.939708731387443,2,Endothelial
B12-CZI041N,11.833795699944185,1.1457248577543206,2,Endothelial
B12-CZI042N,-77.33412564289284,47.956602067274446,1,Endothelial
B12-CZI347N,-73.7269695684903,15.658365577441517,1,Endothelial
B13-CZI016N,-22.13210316153716,-21.501340192766328,2,Endothelial
B13-CZI039N,-26.298288590700498,-26.605002660646758,2,Endothelial
B13-CZI232N,42.90180597508277,-22.069553724408163,2,Endothelial
B13-CZI342N,-45.54267668357222,-14.89226338289456,1,Endothelial
B14-CZI040N,-80.4367024213977,-9.4830091375368,1,Endothelial
B14-CZI245N,-15.435557567561112,-18.62732529961006,2,Endothelial
B14-CZI248N,-24.428683321095836,-17.249260426762834,2,Endothelial
B14-CZI321N,1.6384782947272867,-4.9288994231654195,2,Endothelial
B15-CZI227N,268.43934150922104,250.7869525744107,0,Endothelial
B15-CZI238N,-24.5527637355499,14.195425706780751,2,Endothelial
B15-CZI251N,-28.985168884653078,40.07462555911249,1,Endothelial
B15-CZI363N,-24.25426623989129,14.463699220518233,2,Endothelial
B16-CZI182N,139.21355534809908,23.352215666970075,0,Endothelial
B16-CZI206N,127.79625671337541,8.281678709276958,2,Endothelial
B16-CZI295N,-25.780442758064694,-2.424880093516302,2,Endothelial
B16-CZI309N,20.575934011958516,-4.886260200233767,2,Endothelial
B17-CZI222N,-44.68484280421174,-4.516186624013114,1,Endothelial
B17-CZI235N,-33.38687375891909,2.656032765831289,2,Endothelial
B17-CZI254N,-57.79711814368222,-6.645685090667222,1,Endothelial
B17-CZI326N,-124.1575435329275,-10.565468064378495,1,Endothelial
B18-CZI207N,-78.82320974894175,80.85665283628464,1,Endothelial
B18-CZI229N,-89.34168183125722,64.37146666112979,1,Endothelial
B18-CZI256N,-36.33370901622805,139.32964717554603,1,Endothelial
B18-CZI336N,-58.34236913695851,86.92124160680717,1,Endothelial
B19-CZI225N,48.648741368871,-40.64726722449614,2,Endothelial
B19-CZI237N,-18.368592526489902,-2.7229679255130423,2,Endothelial
B19-CZI252N,-52.96813684472242,-3.312739410439195,1,Endothelial
B19-CZI286N,-102.07148494139476,4.163856153754591,1,Endothelial
B2-CZI08N,-89.14591013260964,18.226558034172044,1,Endothelial
B2-CZI14N,-35.481218530746006,-8.54995715544685,2,Endothelial
B3-CZI05N,-4.972223166503835,2.5544338322346563,2,Endothelial
B3-CZI06N,-13.894659108747359,3.617099896847325,2,Endothelial
B3-CZI09N,-65.43096216405925,8.314518764943465,1,Endothelial
B3-CZI11N,-13.302168186223945,11.057158042840927,2,Endothelial
B4P1-CZI01N,78.27290514699308,-21.04422042085103,2,Endothelial
B4P1-CZI04N,45.87040727764534,-20.395506883518564,2,Endothelial
B4P4-CZI04N,94.12887898293987,-21.731687863213182,2,Endothelial
B5-CZI22N,212.27221873537056,-45.54998875010299,0,Endothelial
B5-CZI24N,436.6140376452904,-42.601028722755544,0,Endothelial
B5-CZI34N,212.6433627774317,-26.826635535725273,0,Endothelial
B5-CZI36N,74.68364139114723,-18.199676378279666,2,Endothelial
B7-CZI019N,-91.8819172805613,-20.111966344042656,1,Endothelial
B7-CZI027N,36.88059026672008,-22.74945747499737,2,Endothelial
B7-CZI030N,-53.019357520162714,-14.862192043265456,1,Endothelial
B7-CZI031N,-7.4642806976822005,-13.968133003942373,2,Endothelial
B8-CZI020N,155.9675206908891,-75.81115348724373,2,Endothelial
B8-CZI025N,-32.91368157122821,-23.229922324236888,2,Endothelial
B8-CZI026N,-6.7482430677738945,-27.40805174998738,2,Endothelial
B8-CZI028N,27.30395108054464,-19.95076486495263,2,Endothelial
B9-CZI015N,-60.13773210893127,-20.783489722668236,1,Endothelial
B9-CZI021N,-21.474743237147578,-27.100756324035494,2,Endothelial
B9-CZI023N,-28.732456244673106,-16.90668463298731,2,Endothelial
B9-CZI029N,-61.00648754143897,-20.580941788048058,1,Endothelial
