group,PC1,PC2,cluster,lineage
B10-CZI032N,24.307823562716255,-10.973685886197483,2,Epithelial
B10-CZI033N,-86.47782377078705,-5.083482707810483,1,Epithelial
B10-CZI035N,-51.893892095302334,-17.934162441339982,1,Epithelial
B10-CZI037N,-25.228929924357224,-23.89642805599925,1,Epithelial
B11-CZI041N,-18.90282380039058,-14.14325142594174,1,Epithelial
B11-CZI215N,-27.77614096054508,-5.967763811996858,1,Epithelial
B11-CZI321N,-69.46487061129545,-5.346499164702501,1,Epithelial
B11-CZI350N,-41.19724931852761,-0.7346377094837876,1,Epithelial
B12-CZI038N,-48.17118323916224,-1.7278138318308311,1,Epithelial
B12-CZI041N,-20.46724710138168,2.6576473527416344,1,Epithelial
B12-CZI042N,-102.08761914481299,8.280150629300527,1,Epithelial
B12-CZI347N,-95.47864361773189,5.628759508491438,1,Epithelial
B13-CZI016N,-64.9454063239898,-12.938860101504016,1,Epithelial
B13-CZI039N,-31.61681705063229,-10.46994686803302,1,Epithelial
B13-CZI232N,74.14600861700431,-8.88172237908585,2,Epithelial
B13-CZI342N,-70.58578456284036,6.249760418022288,1,Epithelial
B14-CZI040N,-26.36067020175586,-9.929857536085983,1,Epithelial
B14-CZI245N,15.930919141334165,31.522720044042412,2,Epithelial
B14-CZI248N,60.65215910920727,39.542022492945215,2,Epithelial
B14-CZI321N,31.61349885593794,-12.239497228873034,2,Epithelial
B15-CZI227N,27.88894604954636,6.307676230536841,2,Epithelial
B15-CZI238N,-62.781163663563056,-8.579670695570716,1,Epithelial
B15-CZI251N,-63.30882242643288,2.226924115103963,1,Epithelial
B16-CZI182N,134.0308656485047,32.86301870055769,0,Epithelial
B16-CZI206N,85.69294030881694,-11.036523436372182,2,Epithelial
B16-CZI295N,-5.456334074312401,6.635418688036779,2,Epithelial
B16-CZI309N,-50.06248598503902,2.007978164816147,1,Epithelial
B17-CZI222N,-80.38165014806047,-10.634634149809635,1,Epithelial
B17-CZI235N,-52.26451151250085,-10.758869485044496,1,Epithelial
B17-CZI254N,-66.54094252136974,-9.779490665791732,1,Epithelial
B17-CZI326N,-85.94996024201147,-5.576861815781149,1,Epithelial
B18-CZI207N,57.46025997497876,209.97382148421346,2,Epithelial
B18-CZI229N,-16.788695938016975,12.486449796206543,1,Epithelial
B18-CZI256N,212.2548856864455,216.72620167497956,0,Epithelial
B18-CZI336N,46.515203736531575,101.26893639656501,2,Epithelial
B19-CZI225N,9.979443921511729,-17.048679137942482,2,Epithelial
B19-CZI237N,-0.13541932863954612,-13.293593091667365,2,Epithelial
B19-CZI252N,-76.599981986172,-7.67126688363285,1,Epithelial
B19-CZI286N,-41.206855268700494,-10.431119196667368,1,Epithelial
B2-CZI08N,-83.82256495735801,3.4867926274642507,1,Epithelial
B2-CZI14N,121.45292651266611,-3.934568910457177,2,Epithelial
B3-CZI05N,-12.175311205986837,-18.816823137638643,2,Epithelial
B3-CZI06N,-28.88273327135709,-13.662983401537135,1,Epithelial
B3-CZI09N,0.47087678836872365,-14.123078367032269,2,Epithelial
B3-CZI11N,-33.913611472221696,-18.286039773368525,1,Epithelial
B4P1-CZI01N,518.2329097443215,-137.54071996171766,0,Epithelial
B4P1-CZI04N,9.310020942335571,-25.282149866328968,2,Epithelial
B4P4-CZI04N,5.639200564840781,-27.00184033628515,2,Epithelial
B5-CZI22N,51.94633939669788,-34.808612302726516,2,Epithelial
B5-CZI24N,80.41956525797288,-25.843199705756437,2,Epithelial
B5-CZI34N,16.488411432736587,-20.475468161757593,2,Epithelial
B5-CZI36N,-117.55258417003611,-4.34297566171715,1,Epithelial
B7-CZI019N,94.08775045255143,19.906603425044935,2,Epithelial
B7-CZI027N,-25.90497402828882,-12.611607179887523,1,Epithelial
B7-CZI030N,-17.54477219095572,-13.261970643665475,1,Epithelial
B7-CZI031N,126.65796930848619,-31.743043279844553,2,Epithelial
B8-CZI020N,-40.42624582864582,-13.864770835984098,1,Epithelial
B8-CZI025N,43.96562874665327,-0.05664789213820981,2,Epithelial
B8-CZI026N,-75.49807873761847,-14.844844355207075,1,Epithelial
B8-CZI028N,-57.42177867644966,-3.5641845687091176,1,Epithelial
B9-CZI015N,-29.94749139524856,0.5434848353608958,1,Epithelial
B9-CZI021N,82.90735012776074,7.598022211761685,2,Epithelial
B9-CZI023N,-39.181167926736315,-10.941927576257822,1,Epithelial
B9-CZI029N,12.351334791307593,-25.82661517100953,2,Epithelial
