group,PC1,PC2,cluster,lineage
B10-CZI032N,-29.631039744415787,-6.2748202646952995,2,Immune
B10-CZI033N,-48.58462405976604,5.594310272779096,2,Immune
B10-CZI035N,-43.837379787402924,6.494003969757012,2,Immune
B10-CZI037N,-45.93760024509908,-6.406634570115497,1,Immune
B11-CZI041N,4.0636356740794515,-6.640973937635431,2,Immune
B11-CZI215N,-46.46657808462931,-1.391792638273162,1,Immune
B11-CZI321N,-48.39910039449328,0.033190759719749545,2,Immune
B11-CZI350N,-56.02776234166684,1.1489143021956343,1,Immune
B12-CZI038N,-37.40865900305917,4.043079379244373,2,Immune
B12-CZI041N,-46.39392203997841,1.72487400211323,2,Immune
B12-CZI042N,-80.66467619192863,7.006239775609007,2,Immune
B12-CZI347N,-81.35022673390975,8.509906499947167,2,Immune
B13-CZI016N,-44.601050901586646,7.6036818238023,2,Immune
B13-CZI039N,-28.00259090423225,-5.936933731898292,1,Immune
B13-CZI232N,-71.09760637880393,5.45519023146734,2,Immune
B13-CZI342N,-57.298007062863185,4.9876088853358365,2,Immune
B14-CZI040N,-60.10928048129411,2.9718257035585642,2,Immune
B14-CZI245N,34.95101194575173,-14.518719165688513,0,Immune
B14-CZI248N,-73.76658471145508,4.627885380666956,2,Immune
B14-CZI321N,-26.209431858977382,2.2592374606689702,2,Immune
B15-CZI227N,55.31610867413785,-19.25411477664563,0,Immune
B15-CZI238N,1.0774419417159358,-5.039229121310043,2,Immune
B15-CZI251N,17.494128669341052,-1.5609024839512817,1,Immune
B15-CZI363N,-36.19734163955219,-0.788827837183871,2,Immune
B16-CZI182N,40.17224510373785,-13.39170942489466,0,Immune
B16-CZI206N,52.325089559847044,-2.8725771327988094,0,Immune
B16-CZI295N,-59.83321532756011,6.421369661506174,2,Immune
B16-CZI309N,-50.22861947940646,4.116486427965495,2,Immune
B17-CZI222N,55.096665898896745,17.544212614101976,2,Immune
B17-CZI235N,-7.481788373953508,-0.8760307361817944,2,Immune
B17-CZI254N,17.40124610250821,-6.638196629486781,2,Immune
B17-CZI326N,-51.99054259430068,6.417918420746187,2,Immune
B18-CZI207N,15.226996701123745,-22.909199036824603,1,Immune
B18-CZI229N,-74.0982681775781,3.930766751853841,2,Immune
B18-CZI256N,-6.416790319570866,12.131614699757995,2,Immune
B18-CZI336N,-49.722739552731106,3.5774751642155556,2,Immune
B19-CZI225N,124.27245078934781,-7.1042235470274875,0,Immune
B19-CZI237N,-2.6260168441914415,-5.005939589719716,1,Immune
B19-CZI252N,-13.3838323020168,-5.063691471356754,1,Immune
B19-CZI286N,-7.131042399947399,2.1167468076566727,1,Immune
B2-CZI08N,-69.84048040905097,3.9036594170161107,1,Immune
B2-CZI14N,-49.818662729169766,-5.523511599213648,1,Immune
B3-CZI05N,-4.1586750778396135,4.618966792446934,2,Immune
B3-CZI06N,-27.150205485944632,-2.9263003954406948,2,Immune
B3-CZI09N,-13.80942097075407,-5.274453860974192,1,Immune
B3-CZI11N,-43.82055282945657,0.43851106254883937,2,Immune
B4P1-CZI01N,16.628951439590242,-12.106473859059129,2,Immune
B4P1-CZI04N,88.56201930794697,-10.596162369304727,0,Immune
B4P4-CZI04N,47.929075734635695,-19.26430023735111,0,Immune
B5-CZI22N,223.2301300248255,-103.67640799199525,0,Immune
B5-CZI24N,207.6879249804005,-63.007815252958274,0,Immune
B5-CZI34N,153.05198543414883,-56.819839150708916,0,Immune
B5-CZI36N,10.487099786550294,-13.49726107147427,2,Immune
B7-CZI019N,193.41900019807161,281.6123399405843,0,Immune
B7-CZI027N,66.41314601759713,34.31737989481235,0,Immune
B7-CZI030N,62.94980664773624,7.571533502783655,0,Immune
B7-CZI031N,60.96998754185363,3.5051431762899514,0,Immune
B8-CZI020N,8.307285643036586,-12.916029741450462,1,Immune
B8-CZI025N,-34.90865424653749,-4.695373379559502,1,Immune
B8-CZI026N,11.144482559291696,-4.474908022395844,1,Immune
B8-CZI028N,-13.58631433959101,-7.95510042799347,1,Immune
B9-CZI015N,-97.4477347867342,9.83080882387083,2,Immune
B9-CZI021N,82.14808109419516,-25.920298357155684,0,Immune
B9-CZI023N,33.67513764550926,4.046804806237053,2,Immune
B9-CZI029N,-44.56411630442824,11.767065401463553,2,Immune
