group,PC1,PC2,cluster,lineage
B10-CZI032N,24.51308457601616,-16.56140196353086,1,Mesenchymal
B10-CZI033N,-45.59012339960237,-6.308051282459835,2,Mesenchymal
B10-CZI035N,-63.05129336032661,-13.981771770105292,2,Mesenchymal
B10-CZI037N,-43.75118303505297,-20.01791493293174,2,Mesenchymal
B11-CZI041N,-4.699862287791698,-20.20964565744584,1,Mesenchymal
B11-CZI215N,-61.131804058163695,-5.532667389351699,2,Mesenchymal
B11-CZI321N,-39.65003001648377,-4.816781860520312,2,Mesenchymal
B11-CZI350N,7.083942083123147,23.33817253883282,1,Mesenchymal
B12-CZI038N,-45.51693795020686,-7.678604856019352,2,Mesenchymal
B12-CZI041N,23.924528785636394,-11.194779206349546,1,Mesenchymal
B12-CZI042N,-76.28328333356926,45.05854965809144,2,Mesenchymal
B12-CZI347N,-102.80895353336115,10.138100331713943,2,Mesenchymal
B13-CZI016N,-59.797524400170424,-17.65560417697794,2,Mesenchymal
B13-CZI039N,-20.25640966035007,-14.986354541366037,2,Mesenchymal
B13-CZI232N,5.748631199009436,-8.32247304970239,1,Mesenchymal
B13-CZI342N,-97.98835917653476,-3.472429044166922,2,Mesenchymal
B14-CZI040N,-83.2143179701811,-14.047918171783637,2,Mesenchymal
B14-CZI245N,10.45326480001273,-14.779959568349085,1,Mesenchymal
B14-CZI248N,12.873064027030916,-3.7616527323947504,1,Mesenchymal
B14-CZI321N,96.62564202405304,-35.335594555954394,1,Mesenchymal
B15-CZI227N,292.0714873187416,239.9552824596571,0,Mesenchymal
B15-CZI238N,-16.43946396559553,19.866481673367996,1,Mesenchymal
B15-CZI251N,-84.15686068207519,28.91116561312895,2,Mesenchymal
B15-CZI363N,-50.62420014563837,14.690561087864042,2,Mesenchymal
B16-CZI182N,87.02922717087404,-27.117484326912507,1,Mesenchymal
B16-CZI206N,199.0479060546801,-34.73354109510711,0,Mesenchymal
B16-CZI295N,-19.734612994054228,-14.913299726253703,2,Mesenchymal
B16-CZI309N,-25.69606015116119,-11.927348440589684,2,Mesenchymal
B17-CZI222N,-33.59597025640556,-4.91239452564077,2,Mesenchymal
B17-CZI235N,-50.283258270836,-15.487480860620948,2,Mesenchymal
B17-CZI254N,-57.704550545655586,0.7349357193414615,2,Mesenchymal
B17-CZI326N,-102.38752941916727,-2.1238116005013628,2,Mesenchymal
B18-CZI207N,-51.482169764567516,100.3093952079879,2,Mesenchymal
B18-CZI229N,-30.90490225670412,77.6999353394322,2,Mesenchymal
B18-CZI256N,-83.41553807758756,148.20403081195084,2,Mesenchymal
B18-CZI336N,-52.61015935998782,80.09695104971635,2,Mesenchymal
B19-CZI225N,68.35704890333747,-37.05454017647466,1,Mesenchymal
B19-CZI237N,-19.824322881785925,-1.547528980801356,2,Mesenchymal
B19-CZI252N,-32.38535939733992,13.991547526382762,2,Mesenchymal
B19-CZI286N,-74.72228890862014,10.437879999023835,2,Mesenchymal
B2-CZI08N,-74.35644090908397,21.95453627718915,2,Mesenchymal
B2-CZI14N,-39.58736140324253,8.623140542056252,2,Mesenchymal
B3-CZI05N,1.809667589566831,-12.383152612600144,1,Mesenchymal
B3-CZI06N,-56.496270112476445,-8.377195971440146,2,Mesenchymal
B3-CZI09N,-50.13422684240875,-2.867401881616522,2,Mesenchymal
B3-CZI11N,18.83470363020545,-16.99987892520933,1,Mesenchymal
B4P1-CZI01N,70.26099557232429,-26.015209638240954,1,Mesenchymal
B4P1-CZI04N,-8.251373954598959,-24.943211545080107,1,Mesenchymal
B4P4-CZI04N,29.905068809746396,-21.922057064559144,1,Mesenchymal
B5-CZI22N,221.3228445467955,-60.51846339246101,0,Mesenchymal
B5-CZI24N,338.17311122371257,-24.586683553088378,0,Mesenchymal
B5-CZI34N,227.42803448377424,-14.672551236905608,0,Mesenchymal
B5-CZI36N,13.786233405468476,-23.76255960551931,1,Mesenchymal
B7-CZI019N,-38.81594399655914,-23.76705343468654,2,Mesenchymal
B7-CZI027N,14.469296922488653,-33.02120214518362,1,Mesenchymal
B7-CZI030N,-2.510715746667785,-18.920539884898936,1,Mesenchymal
B7-CZI031N,56.40279230735247,-27.06844897127777,1,Mesenchymal
B8-CZI020N,38.21058892843521,-28.59504190442429,1,Mesenchymal
B8-CZI025N,-22.12531817773994,-18.731690739109197,2,Mesenchymal
B8-CZI026N,-9.518325665684014,-15.307620714826243,2,Mesenchymal
B8-CZI028N,73.044667543661,18.28029846323852,1,Mesenchymal
B9-CZI015N,-60.87084391334351,-10.61807740936423,2,Mesenchymal
B9-CZI021N,-20.462628020887134,-24.95455750480488,2,Mesenchymal
B9-CZI023N,-32.98913168002366,-17.86013050140892,2,Mesenchymal
B9-CZI029N,14.45007777564645,-37.91720116995869,1,Mesenchymal
