,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.18798852024899868,0.2399341232668343,0.21213823472439527,0.35993912175977183
B cells_PB2,0.7569006678268959,0.0929201519735128,0.03969565649975174,0.11048352369983953
T cells_PB3,0.11653740036962822,0.13605812605391188,0.14681240483871144,0.6005920687377484
Monocytes_PB4,0.16094653369252582,0.5205947186473024,0.18303783118422506,0.1354209164759467
T cells_PB5,0.27954365584820645,0.23811940763192305,0.28626989376632883,0.1960670427535416
T cells_PB6,0.2762998847217073,0.24618160931866864,0.27026059796258256,0.2072579079970414
Monocytes_PB7,0.2849807732990046,0.15231590591141853,0.24751650332883313,0.3151868174607438
T cells_PB8,0.11284710612542453,0.09246719353246882,0.07342910142150341,0.7212565989206031
Monocytes_PB9,0.2196746518713542,0.5179905355614999,0.11936740326033199,0.14296740930681406
B cells_PB10,0.591940371204006,0.16738934892277174,0.09033814562960053,0.15033213424362177
NK cells_PB11,0.3092466614333397,0.2779137428781117,0.07753313587360514,0.3353064598149434
NK cells_PB12,0.0704944982891646,0.06759651294338254,0.7965503012330467,0.06535868753440624
NK cells_PB13,0.11620247395177961,0.11803747118584725,0.666851653403636,0.09890840145873726
Monocytes_PB14,0.2829575392521708,0.24612143521881308,0.18850188635119605,0.2824191391778202
NK cells_PB15,0.26060574979272844,0.23711980732481858,0.2086544367325862,0.2936200061498666
B cells_PB16,0.23257054093994473,0.20306385798351945,0.3015172159922763,0.26284838508425956
NK cells_PB17,0.22529951789833955,0.23019212079478993,0.2813778826867408,0.26313047862012984
Monocytes_PB18,0.17992418353251136,0.4709211799896485,0.14189426443384734,0.20726037204399286
B cells_PB19,0.4046317437614748,0.2405316413752578,0.16193910967800915,0.19289750518525828
NK cells_PB20,0.24672020122731245,0.22344846389029574,0.2999630079192988,0.229868326963093
B cells_PB21,0.539802383851644,0.17455331539398938,0.16269839709286105,0.12294590366150553
T cells_PB22,0.3090287857002022,0.2509183385867461,0.25308192780220035,0.18697094791085128
T cells_PB23,0.29132269824507073,0.17985044250158813,0.23858389967870092,0.29024295957464014
Monocytes_PB24,0.19710576970191845,0.3703635683926825,0.20849554218744795,0.22403511971795106
T cells_PB25,0.21437277592181805,0.17809030646578056,0.18994573661697864,0.4175911809954226
T cells_PB26,0.09458978138791554,0.13767550253709818,0.12873309612400008,0.6390016199509863
NK cells_PB27,0.2242291065987391,0.20855996869985874,0.2352888376685389,0.33192208703286324
Monocytes_PB28,0.19145100830842587,0.44417192403777417,0.18439278279967236,0.17998428485412757
Monocytes_PB29,0.17559057345834206,0.4880894371221195,0.19322804616418154,0.143091943255357
Monocytes_PB30,0.22649216467282807,0.13937544184084924,0.30065808792192467,0.333474305564398
NK cells_PB31,0.12102722408072035,0.1646195156066943,0.5333140593626174,0.18103920094996798
T cells_PB32,0.25905014215527217,0.30614827600206546,0.193055386817523,0.24174619502513942
T cells_PB33,0.2978109855354108,0.3168534604000889,0.2436679296086552,0.14166762445584502
T cells_PB34,0.08798989357477967,0.05789237070829514,0.10268364538423755,0.7514340903326876
