,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.30379656071504785,0.5772437022749038,0.11895973701004829,0.0
B cells_PB2,0.5368736047880586,0.3028810675651461,0.16024532764679536,0.0
T cells_PB3,0.14288324533564203,0.5374933916757942,0.0,0.3196233629885638
Monocytes_PB4,0.29236805760753826,0.5477706518293662,0.15986129056309561,0.0
T cells_PB5,0.3661123577035546,0.4053676224127396,0.22852001988370577,0.0
T cells_PB6,0.3495407410083921,0.41508905143527647,0.2353702075563315,0.0
Monocytes_PB7,0.3862426809632993,0.3923036422219015,0.2214536768147991,0.0
T cells_PB8,0.1513385776750152,0.4548032994767564,0.0,0.39385812284822835
Monocytes_PB9,0.3165580051703138,0.5255104221846125,0.15793157264507376,0.0
B cells_PB10,0.5098617884780006,0.32963326502132045,0.16050494650067904,0.0
NK cells_PB11,0.44514311230371684,0.46956202018747045,0.08529486750881281,0.0
NK cells_PB12,0.23771714500891675,0.2961599863775176,0.4661228686135657,0.0
NK cells_PB13,0.26304586715088263,0.30939371483738676,0.4275604180117306,0.0
Monocytes_PB14,0.36711598647197696,0.4556709192985177,0.1772130942295053,0.0
NK cells_PB15,0.3607595327168154,0.4259457739509954,0.21329469333218912,0.0
B cells_PB16,0.3511813706471659,0.4034287539519362,0.2453898754008979,0.0
NK cells_PB17,0.3455101801467816,0.3893488270720549,0.26514099278116354,0.0
Monocytes_PB18,0.2956222866570676,0.534798901213179,0.16957881212975343,0.0
B cells_PB19,0.4216265130308021,0.3840146131343158,0.19435887383488207,0.0
NK cells_PB20,0.3409239153131157,0.4010421323686712,0.258033952318213,0.0
B cells_PB21,0.4775254079399686,0.35240960417934936,0.17006498788068197,0.0
T cells_PB22,0.36601119207506816,0.39965863772887916,0.23433017019605268,0.0
T cells_PB23,0.37820544424729985,0.44333552411176436,0.17845903164093582,0.0
Monocytes_PB24,0.3273308013434443,0.4635135515028159,0.20915564715373988,0.0
T cells_PB25,0.35653284579667033,0.5337460699361418,0.1097210842671878,0.0
T cells_PB26,0.12517579207268809,0.5013304470435584,0.0,0.37349376088375347
NK cells_PB27,0.3369900641979882,0.4660004573770773,0.19700947842493458,0.0
