,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.1219615117961528,0.42151355402317964,0.4565249341806676,0.0
B cells_PB2,0.6731941900818625,0.167036362128717,0.1597694477894204,0.0
T cells_PB3,0.08834873107042228,0.2645081564461832,0.440374542982763,0.20676856950063155
Monocytes_PB4,0.0,0.6564850668955455,0.3167563683146788,0.02675856478977569
T cells_PB5,0.16725655402116815,0.4416256389555082,0.33876023506257047,0.05235757196075325
T cells_PB6,0.16721531591770544,0.38026660263946577,0.45251808144282896,0.0
Monocytes_PB7,0.23148086833218662,0.16378090434696702,0.3793086380072166,0.22542958931362975
T cells_PB8,0.0,0.1646804281481483,0.48664879310605086,0.3486707787458008
Monocytes_PB9,0.0,0.688145412584882,0.311854587415118,0.0
B cells_PB10,0.2030539770747268,0.5678780341294951,0.22906798879577817,0.0
NK cells_PB11,0.0,0.593395407026574,0.18137334003908456,0.2252312529343414
NK cells_PB12,0.10879021370387257,0.06475511839550337,0.5557338227996037,0.27072084510102046
NK cells_PB13,0.0,0.17224278080944605,0.7831929846690724,0.044564234521481706
Monocytes_PB14,0.15065027118023835,0.4359662246849631,0.4133835041347986,0.0
NK cells_PB15,0.12951871111652552,0.2982074980903305,0.572273790793144,0.0
B cells_PB16,0.15777862317688482,0.27917347588822783,0.3774136844265168,0.1856342165083706
NK cells_PB17,0.04929929769311485,0.4533547910482299,0.49734591125865524,0.0
Monocytes_PB18,0.022345351902229988,0.5834255361780927,0.2746479830355969,0.11958112888408044
B cells_PB19,0.28236154773390953,0.41806190412253297,0.16698994191936187,0.13258660622419557
NK cells_PB20,0.12488706373715411,0.3206532192595482,0.34221271226047884,0.21224700474281877
B cells_PB21,0.29039230654108916,0.37041733163925306,0.06406363314202561,0.27512672867763227
T cells_PB22,0.2512184486897852,0.41841900080631317,0.3303625505039016,0.0
T cells_PB23,0.19174662603530346,0.267191404887991,0.38007349720807543,0.16098847186863016
Monocytes_PB24,0.0,0.46775870331640945,0.40597261883272356,0.12626867785086698
T cells_PB25,0.0,0.2889027722679799,0.389900700692333,0.32119652703968715
T cells_PB26,0.018374346311014172,0.2093550990902833,0.7678579458382853,0.004412608760417179
NK cells_PB27,0.16725545038832682,0.3127215112123566,0.4622706095676268,0.05775242883168997
Monocytes_PB28,0.0,0.603267432833684,0.22439201042750534,0.17234055673881052
