,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.0,0.31015134638604824,0.6898486536139519,0.0
B cells_PB2,0.5157483614412732,0.10647110331337802,0.3777805352453487,0.0
Monocytes_PB3,0.006653091650610828,0.8477717550340065,0.14557515331538268,0.0
NK cells_PB4,0.0,0.30615818754223306,0.693841812457767,0.0
B cells_PB5,0.19312806673332922,0.22865422539638647,0.5782177078702844,0.0
Monocytes_PB6,0.0,0.41666077680083863,0.5833392231991614,0.0
T cells_PB7,0.0,0.6956109256688109,0.30438907433118906,0.0
NK cells_PB8,0.0,0.3177275063425969,0.6822724936574032,0.0
Monocytes_PB9,0.0,0.7940869671935809,0.20591303280641918,0.0
T cells_PB10,0.1622900535129726,0.29957445255005954,0.5381354939369678,0.0
Monocytes_PB11,0.08719383765455253,0.28117346898664014,0.5934982518739653,0.038134441484841845
B cells_PB12,0.5151879650940692,0.08131644250659784,0.403495592399333,0.0
Monocytes_PB13,0.0,0.8931143046719113,0.10688569532808866,0.0
Monocytes_PB14,0.023322609606534307,0.5050730022846136,0.47160438810885214,0.0
B cells_PB15,0.26450412568350296,0.3260310820492652,0.40946479226723187,0.0
T cells_PB16,0.0,0.6219485834521112,0.37805141654788876,0.0
NK cells_PB17,0.0,0.3443257417793836,0.6556742582206164,0.0
Monocytes_PB18,0.09186043815295976,0.6027571775402466,0.30538238430679365,0.0
NK cells_PB19,0.0,0.3476537634919748,0.6523462365080253,0.0
Monocytes_PB20,0.0,0.5226474825924107,0.4773525174075893,0.0
T cells_PB21,0.10588628120388664,0.40220930380815284,0.49190441498796045,0.0
NK cells_PB22,0.0,0.3294480047995748,0.6705519952004253,0.0
T cells_PB23,0.0,0.42032256794916484,0.5796774320508351,0.0
NK cells_PB24,0.17699491568837758,0.2836799443591032,0.5393251399525192,0.0
Monocytes_PB25,0.0,0.7188143959873047,0.2811856040126954,0.0
T cells_PB26,0.12197060989243831,0.3892212746664642,0.4888081154410975,0.0
T cells_PB27,0.0,0.47962585299712956,0.5203741470028704,0.0
Monocytes_PB28,0.008367423255345788,0.7434896623106826,0.2481429144339716,0.0
NK cells_PB29,0.0,0.29385303855472505,0.7061469614452749,0.0
NK cells_PB30,0.0,0.506448119745621,0.493551880254379,0.0
T cells_PB31,0.0,0.5066939604795445,0.49330603952045554,0.0
NK cells_PB32,0.0029070406546471846,0.3062393553103038,0.690853604035049,0.0
B cells_PB33,0.10078864026724646,0.4066446803779292,0.4925666793548243,0.0
T cells_PB34,0.26825642189890475,0.2245849335477624,0.5071586445533328,0.0
B cells_PB35,0.45283312166822537,0.22486938025064124,0.2972358112078553,0.02506168687327819
B cells_PB36,0.3371192710606196,0.24629072916601036,0.4165899997733701,0.0
NK cells_PB37,0.05733411329755502,0.33768071389054116,0.6049851728119038,0.0
Monocytes_PB38,0.2594108472389604,0.2149527680218548,0.5256363847391848,0.0
B cells_PB39,0.29007911929122776,0.2458945870938375,0.46402629361493486,0.0
T cells_PB40,0.0,0.35117587356110064,0.6488241264388993,0.0
T cells_PB41,0.0,0.7142828841299779,0.28571711587002224,0.0
NK cells_PB42,0.0,0.31451389881622926,0.6854861011837706,0.0
NK cells_PB43,0.054337664910307386,0.3641690547375019,0.5814932803521907,0.0
Monocytes_PB44,0.0,0.8582446340805481,0.14175536591945193,0.0
T cells_PB45,0.0,0.6501857242946713,0.34981427570532886,0.0
B cells_PB46,0.2499918347892115,0.27699339397653633,0.4730147712342522,0.0
B cells_PB47,0.14302288447492448,0.35133108650552836,0.5056460290195471,0.0
Monocytes_PB48,0.0,0.7681386341703366,0.23186136582966346,0.0
NK cells_PB49,0.0,0.3970080195492319,0.6029919804507681,0.0
NK cells_PB50,0.0,0.32080350526153867,0.6791964947384613,0.0
NK cells_PB51,0.0,0.2686767266034001,0.7313232733965999,0.0
B cells_PB52,0.2863556400057243,0.2564334323478498,0.4572109276464259,0.0
Monocytes_PB53,0.0,0.9206793773146332,0.07932062268536673,0.0
T cells_PB54,0.28179919015054317,0.21929970567914633,0.4989011041703105,0.0
T cells_PB55,0.0,0.5746120437518389,0.4253879562481611,0.0
NK cells_PB56,0.0,0.2091903064861074,0.7908096935138925,0.0
T cells_PB57,0.0,0.5461964842200373,0.45380351577996264,0.0
Monocytes_PB58,0.0,0.5064789819486667,0.4935210180513334,0.0
NK cells_PB59,0.0336123065138,0.3924952390228049,0.5738924544633951,0.0
