,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.0,0.39299858296141865,0.6070014170385815,0.0
B cells_PB2,0.9533657347023581,0.0466342652976419,0.0,0.0
Monocytes_PB3,0.0,1.0,0.0,0.0
NK cells_PB4,0.0,0.3258840673074717,0.6741159326925283,0.0
B cells_PB5,0.0,0.5587173093754172,0.44128269062458275,0.0
Monocytes_PB6,0.0,0.6461234942430669,0.3538765057569331,0.0
T cells_PB7,0.0,0.9303544431450479,0.06964555685495202,0.0
NK cells_PB8,0.0,0.07505868719196016,0.9249413128080398,0.0
Monocytes_PB9,0.0,1.0,0.0,0.0
T cells_PB10,0.0,0.6562646944378868,0.3437353055621131,0.0
Monocytes_PB11,0.0,0.462188028225069,0.5378119717749309,0.0
B cells_PB12,0.9410431178469479,0.05895688215305205,0.0,0.0
Monocytes_PB13,0.0,1.0,0.0,0.0
Monocytes_PB14,0.0,0.7912670205471547,0.2087329794528453,0.0
B cells_PB15,0.0,0.6968522514358868,0.30314774856411314,0.0
T cells_PB16,0.0,0.9397057445456782,0.0602942554543218,0.0
NK cells_PB17,0.0,0.46427047485466705,0.5357295251453329,0.0
Monocytes_PB18,0.0,1.0,0.0,0.0
NK cells_PB19,0.0,0.46192768856725797,0.538072311432742,0.0
Monocytes_PB20,0.0,0.9333302044961441,0.0666697955038558,0.0
T cells_PB21,0.0,0.7232350307880094,0.2767649692119905,0.0
NK cells_PB22,0.0,0.6105349360950916,0.38946506390490837,0.0
T cells_PB23,0.0,0.7402284479911838,0.25977155200881624,0.0
NK cells_PB24,0.0,0.4069342368615734,0.5930657631384265,0.0
Monocytes_PB25,0.0,1.0,0.0,0.0
T cells_PB26,0.0,0.6892781429247836,0.3107218570752164,0.0
T cells_PB27,0.0,0.888826972403877,0.11117302759612303,0.0
Monocytes_PB28,0.0,1.0,0.0,0.0
NK cells_PB29,0.0,0.20207543691335936,0.7979245630866407,0.0
NK cells_PB30,0.0,0.7493815980006213,0.2506184019993787,0.0
