"","NK cells","T cells","Monocytes","B cells"
"NK cells_PB1",0.342210554340247,0.425955844082383,0.175135451544516,0.0566981500328547
"B cells_PB2",0.0317082674682973,0.0749907794847594,0.0444532148021535,0.84884773824479
"Monocytes_PB3",0.0526830329812971,0.249680532297801,0.680481762799822,0.0171546719210796
"NK cells_PB4",0.514255864528215,0.270006253635089,0.160521884355038,0.0552159974816577
"B cells_PB5",0.11404673011975,0.46828468583572,0.15631091315215,0.26135767089238
"Monocytes_PB6",0.133359687735053,0.566418733958317,0.234203468599159,0.0660181097074702
"T cells_PB7",0.270761345444496,0.057211509789083,0.455661309948935,0.216365834817486
"NK cells_PB8",0.665713221306257,0.233988652034418,0.0891330321437082,0.011165094515617
"Monocytes_PB9",0.0558728830326822,0.317029190269307,0.598064065845503,0.0290338608525078
"T cells_PB10",0.135351823001771,0.586990395057357,0.228116941368141,0.0495408405727316
"Monocytes_PB11",0.150651621331991,0.63284694229516,0.128988443981861,0.0875129923909875
"B cells_PB12",0.00189833248145447,0.0749960729010053,0.0139104728385744,0.909195121778966
"Monocytes_PB13",0.00917617885234316,0.256836550508257,0.71648656130424,0.01750070933516
"Monocytes_PB14",0.0808866594726014,0.497539293377737,0.294120287347023,0.127453759802639
"B cells_PB15",0.0885827252595615,0.473471893721652,0.210226207258763,0.227719173760023
"T cells_PB16",0.213868498274666,0.224457504158442,0.434989379207763,0.126684618359129
"NK cells_PB17",0.273394656880734,0.501913512915865,0.186386476364667,0.0383053538387336
"Monocytes_PB18",0.0778116072081347,0.357252680220707,0.490460486390205,0.0744752261809536
"NK cells_PB19",0.34389440160672,0.394115018900595,0.203630313417979,0.0583602660747065
"Monocytes_PB20",0.112937837303699,0.495270782460061,0.346257323888256,0.0455340563479849
"T cells_PB21",0.133293140858616,0.503016530186175,0.279067781251946,0.0846225477032631
"NK cells_PB22",0.169321471547227,0.520371872046587,0.21516831131446,0.0951383450917268
"T cells_PB23",0.264429175550825,0.310630865499158,0.295734261302229,0.129205697647788
"NK cells_PB24",0.281770842833864,0.421965896086478,0.168468227947125,0.127795033132533
"Monocytes_PB25",0.080771993598294,0.367983963721149,0.50178724909964,0.0494567935809177
"T cells_PB26",0.0759297080489221,0.616518273102558,0.226090379626407,0.0814616392221128
"T cells_PB27",0.241994405651138,0.233916778150715,0.389506947682651,0.134581868515496
"Monocytes_PB28",0.083754184402799,0.326498495153534,0.534390042055278,0.05535727838839
"NK cells_PB29",0.485409866309024,0.338142891308283,0.114560695212074,0.0618865471706191
"NK cells_PB30",0.132609050718848,0.520072523091602,0.275951795463984,0.0713666307255667
"T cells_PB31",0.139056055409701,0.496710612441341,0.267681341837751,0.096551990311207
"NK cells_PB32",0.194106294482702,0.509515809011846,0.197744782717813,0.0986331137876388
"B cells_PB33",0.119640296435631,0.510260275314237,0.231514040545044,0.138585387705087
"T cells_PB34",0.0443829839541079,0.743076117879434,0.153643713936609,0.0588971842298493
"B cells_PB35",0.0299552567943513,0.0660090973374406,0.0332742447387524,0.870761401129456
"B cells_PB36",0.0310320690884159,0.152965411909352,0.0592197075167171,0.756782811485515
"NK cells_PB37",0.31952214119125,0.446469037918274,0.175712738154413,0.0582960827360628
"Monocytes_PB38",0.14554757180693,0.601395334355183,0.19600900426533,0.0570480895725574
"B cells_PB39",0.0434015290092768,0.113863662168951,0.0653517166249688,0.777383092196803
"T cells_PB40",0.17634718822405,0.43316988300175,0.314159087415594,0.0763238413586061
"T cells_PB41",0.232551070543246,0.178458808047053,0.430967889006702,0.158022232402999
"NK cells_PB42",0.415476562584675,0.350398761134751,0.182397590480583,0.0517270857999912
"NK cells_PB43",0.0901261028937001,0.543189227979138,0.248088746846446,0.118595922280716
"Monocytes_PB44",0.0469128265087761,0.195452324312327,0.742048078893045,0.0155867702858525
"T cells_PB45",0.17318135284217,0.260412998659971,0.451950080533191,0.114455567964667
"B cells_PB46",0.0413802469359344,0.311973315612015,0.094710876546483,0.551935560905568
"B cells_PB47",0.0721835999581917,0.44491928598523,0.186049096835077,0.296848017221501
"Monocytes_PB48",0.101276132232218,0.319807429390028,0.544721235855005,0.0341952025227493
"NK cells_PB49",0.443182234148764,0.3756551507449,0.148227515648643,0.0329350994576935
"NK cells_PB50",0.211257468479954,0.526238290145148,0.188086601023966,0.0744176403509318
"NK cells_PB51",0.749323553873681,0.164119349266284,0.066949316215825,0.0196077806442102
"B cells_PB52",0.0342601784771452,0.183789897865232,0.130204563651981,0.651745360005643
"Monocytes_PB53",0.03258645289217,0.129577278362907,0.814468546730859,0.0233677220140634
"T cells_PB54",0.0944730635922809,0.695304886644447,0.152161354143145,0.0580606956201276
"T cells_PB55",0.156238626706163,0.504139345660952,0.255820618632365,0.0838014090005202
"NK cells_PB56",0.878082868449802,0.0401331712316911,0.0133504130991283,0.0684335472193788
"T cells_PB57",0.232607738290323,0.0847174570813064,0.488081210174281,0.19459359445409
"Monocytes_PB58",0.13770899179361,0.498730820870812,0.288216686892889,0.0753435004426898
"NK cells_PB59",0.120379164312204,0.562717304218098,0.216805946366848,0.10009758510285
"B cells_PB60",0.0940511729234416,0.373024689504845,0.19616082071222,0.336763316859494
"B cells_PB61",0.0613973598989636,0.400271547384358,0.176740196683195,0.361590896033484
"NK cells_PB62",0.257262756503146,0.462549464409444,0.222857098035826,0.0573306810515844
"T cells_PB63",0.083635994223967,0.652611508796958,0.191844635790601,0.0719078611884745
"B cells_PB64",0.0870196783570521,0.419789006462824,0.161479765791619,0.331711549388505
"B cells_PB65",0.105776075530241,0.442779066590181,0.169061794845811,0.282383063033767
"T cells_PB66",0.196124729950627,0.367953588208165,0.170044252677458,0.265877429163749
"NK cells_PB67",0.185945204050336,0.515576869325899,0.214971064501772,0.0835068621219924
"Monocytes_PB68",0.0425337303938333,0.221518623032982,0.720341345900699,0.0156063006724853
"B cells_PB69",0.108658421979589,0.514955524654363,0.162487964698304,0.213898088667744
"B cells_PB70",0.0105591010786391,0.106181746548833,0.0513591107905094,0.831900041582019
"Monocytes_PB71",0.0390767040179546,0.242657373259143,0.661958810929146,0.0563071117937557
"T cells_PB72",0.182877472153915,0.24719490476174,0.418043759132305,0.15188386395204
"NK cells_PB73",0.0796696006572599,0.538918381581215,0.308959471192645,0.0724525465688808
"Monocytes_PB74",0.0388818547422234,0.227301063270478,0.713745531355916,0.0200715506313821
"Monocytes_PB75",0.0647777633964367,0.0978140466241155,0.683835350019012,0.153572839960436
"Monocytes_PB76",0.0532613939706337,0.259406851968036,0.650005201811161,0.0373265522501701
"T cells_PB77",0.0855240940843794,0.624998959428789,0.186668756117773,0.102808190369058
"B cells_PB78",0.0800005526304083,0.541797904579859,0.173200690257289,0.205000852532444
"T cells_PB79",0.24134548626697,0.220502553382058,0.377142950403668,0.161009009947303
"B cells_PB80",0.104415207091608,0.505319015778113,0.22588477607396,0.164381001056319
"T cells_PB81",0.0739403758280637,0.686967571206272,0.176602480955149,0.0624895720105153
"T cells_PB82",0.164377264039563,0.51933356320794,0.23825958832666,0.0780295844258369
"B cells_PB83",0.0847651715821343,0.41141242678909,0.181128114240884,0.322694287387892
"B cells_PB84",0.0762339859618487,0.533756190227226,0.202919799951462,0.187090023859463
"Monocytes_PB85",0.0843129493507402,0.464254364486329,0.329015539287194,0.122417146875737
"T cells_PB86",0.186653146967448,0.300940389871722,0.37618152039869,0.136224942762139
"Monocytes_PB87",0.0447504101655534,0.243719283312882,0.679534472875042,0.031995833646523
"Monocytes_PB88",0.0315633289200047,0.304185175291068,0.605645231341384,0.0586062644475432
"Monocytes_PB89",0.0290554493785769,0.170017137803896,0.785256506181955,0.0156709066355721
"Monocytes_PB90",0.0534377998246387,0.400600053343556,0.50858285908662,0.0373792877451854
"NK cells_PB91",0.175315323971685,0.496277584015212,0.231443331121205,0.0969637608918986
"Monocytes_PB92",0.0457505542324061,0.261229585045087,0.668070823838275,0.0249490368842313
