,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.0,0.39425296969498447,0.2522797439338413,0.35346728637117425
B cells_PB2,0.6849037060655739,0.18041673776412884,0.13467955617029723,0.0
Monocytes_PB3,0.0,0.7506826996360451,0.042261241057472886,0.207056059306482
NK cells_PB4,0.003291959388313477,0.3600969677243959,0.46747577067578944,0.16913530221150122
B cells_PB5,0.10234065770199141,0.3873645458992534,0.0769019709031891,0.433392825495566
Monocytes_PB6,0.0,0.4813758745777212,0.03857606170704878,0.4800480637152301
T cells_PB7,0.08264199448771581,0.5473041771495254,0.29027871456477283,0.079775113797986
NK cells_PB8,0.03444031022998426,0.23741739224273747,0.7001469311973597,0.027995366329918617
Monocytes_PB9,0.0,0.6759694245337987,0.040297442850288634,0.28373313261591254
T cells_PB10,0.0,0.47196363984264883,0.00548462967779715,0.522551730479554
Monocytes_PB11,0.0,0.3604327710166214,0.09031678370865075,0.5492504452747279
B cells_PB12,0.816236786817207,0.1642260344418326,0.01953717874096043,0.0
Monocytes_PB13,0.02212349859587436,0.7870171503710445,0.0,0.1908593510330811
Monocytes_PB14,0.0,0.534557845841362,0.0,0.46544215415863793
B cells_PB15,0.07244932502251954,0.44028370946943785,0.022972747921187777,0.46429421758685485
T cells_PB16,0.0,0.5985354396894601,0.22984086840075577,0.17162369190978413
NK cells_PB17,0.0,0.3869051863671315,0.22778829672686612,0.3853065169060023
Monocytes_PB18,0.0,0.6427671160406102,0.013830813028976197,0.3434020709304135
NK cells_PB19,0.0,0.4243487240983606,0.23155984125330462,0.3440914346483348
Monocytes_PB20,0.0,0.5572295454850242,0.0,0.44277045451497576
T cells_PB21,0.0,0.5169487733429549,0.033814097046292194,0.449237129610753
NK cells_PB22,0.0,0.4578376101615427,0.052798440918480766,0.48936394891997653
T cells_PB23,0.0,0.5115881440982161,0.24697604771134216,0.24143580819044172
NK cells_PB24,0.0,0.38680308308526484,0.2870448386386943,0.32615207827604087
Monocytes_PB25,0.0,0.6513972629857464,0.0,0.34860273701425365
T cells_PB26,0.0,0.45959618876164676,0.0,0.5404038112383532
T cells_PB27,0.0,0.5657904403441149,0.2639096695512635,0.17029989010462177
Monocytes_PB28,0.0,0.6700432917195136,0.05226857193434221,0.27768813634614414
NK cells_PB29,0.002792385236002314,0.31147869390227656,0.42489980389257337,0.26082911696914785
NK cells_PB30,0.0,0.5132000942058801,0.033122988681752244,0.45367691711236763
T cells_PB31,0.0,0.4953229322595674,0.0710581520999023,0.43361891564053034
NK cells_PB32,0.0,0.4315866880678029,0.13747931263638763,0.4309339992958096
B cells_PB33,0.0,0.4610769016033065,0.05545142560622612,0.4834716727904673
T cells_PB34,0.0,0.38803023965655387,0.0,0.6119697603434462
B cells_PB35,0.7200801209299507,0.16264172671444146,0.11727815235560785,0.0
B cells_PB36,0.6071924103813822,0.20456984338456016,0.1323321567808376,0.05590558945322009
NK cells_PB37,0.0,0.37467942552439265,0.24465146585519096,0.38066910862041636
Monocytes_PB38,0.0,0.42037980035012823,0.05519350048616688,0.5244266991637049
B cells_PB39,0.5475778586065896,0.2759611348590112,0.09255643521317454,0.08390457132122481
T cells_PB40,0.0,0.5164462027941228,0.12424315677406471,0.35931064043181243
T cells_PB41,0.009207779391513373,0.5995496178134815,0.27479792925348306,0.11644467354152206
NK cells_PB42,0.0,0.38764519070048525,0.3500118336935704,0.26234297560594433
NK cells_PB43,0.0,0.48330780607193874,0.0,0.5166921939280613
Monocytes_PB44,0.02285962944065095,0.7955896705077508,0.0,0.18155070005159835
T cells_PB45,0.0,0.5872080082280978,0.16496388657183003,0.24782810520007204
B cells_PB46,0.4910101964901779,0.23464838646055833,0.10705772811794778,0.1672836889313159
B cells_PB47,0.1764479175609098,0.40259254651750087,0.018189012697561548,0.40277052322402784
Monocytes_PB48,0.0,0.6539599798005612,0.09644899257838528,0.2495910276210534
NK cells_PB49,0.0,0.35048863328281366,0.3646532018743312,0.2848581648428552
NK cells_PB50,0.0,0.42303681723280784,0.12622882480434985,0.4507343579628422
NK cells_PB51,0.027278885306669318,0.18435075272407386,0.7883703619692569,0.0
B cells_PB52,0.5955265678429382,0.2886195209118676,0.0783737458664138,0.03748016537878032
Monocytes_PB53,0.023501421696696626,0.8379317064492859,0.0021486748004342486,0.1364181970535832
T cells_PB54,0.0,0.3706470071725562,0.03841200556324397,0.5909409872641999
T cells_PB55,0.0,0.49689760703921626,0.019351330875518376,0.4837510620852653
NK cells_PB56,0.010677004991113345,0.16935991826836802,0.8199630767405186,0.0
T cells_PB57,0.0,0.5992638062116927,0.2462323842748524,0.1545038095134549
Monocytes_PB58,0.0,0.5092533113700255,0.06057864282233612,0.4301680458076383
NK cells_PB59,0.0,0.46521833830956505,0.03139324616309865,0.5033884155273364
B cells_PB60,0.2077166043202801,0.40220831009446234,0.09261436233280317,0.2974607232524544
B cells_PB61,0.24299512189869135,0.37616144510443233,0.06471352546203209,0.31612990753484416
NK cells_PB62,0.0,0.4438237736442379,0.17447637205152486,0.3816998543042372
T cells_PB63,0.0,0.4286089619557138,0.011414860061726383,0.5599761779825597
B cells_PB64,0.24416238170660115,0.36278699389458585,0.06939744550903115,0.3236531788897818
B cells_PB65,0.17270261775188592,0.36901478190524584,0.07106179077003848,0.3872208095728297
T cells_PB66,0.0,0.4776550084633027,0.059342634103759215,0.46300235743293816
NK cells_PB67,0.0,0.44908652731299653,0.1058873409652063,0.4450261317217971
Monocytes_PB68,0.001704175680915893,0.7749658376838363,0.012147381324687767,0.21118260531056002
B cells_PB69,0.007099534220261047,0.4215281171018671,0.05477017185942955,0.5166021768184423
B cells_PB70,0.7916806967313182,0.16159775841356164,0.04672154485512016,0.0
Monocytes_PB71,0.01901927336884705,0.7706153278771565,0.0,0.21036539875399643
T cells_PB72,0.010415393843841183,0.5812911553328726,0.1930986991653442,0.21519475165794197
NK cells_PB73,0.0,0.5447336406384526,0.003157282024152906,0.4521090773373945
Monocytes_PB74,0.014192539693935568,0.7745294999166351,0.0,0.21127796038942923
Monocytes_PB75,0.0,0.7204378422388387,0.06247826751280784,0.21708389024835348
Monocytes_PB76,0.0,0.7297796418028556,0.01934268337887488,0.2508776748182695
T cells_PB77,0.0,0.43464821647114216,0.008711586557616632,0.5566401969712412
B cells_PB78,0.002945149923613039,0.44373680497020535,0.0,0.5533180451061817
T cells_PB79,0.0,0.5397966750496664,0.20180978472537892,0.25839354022495464
B cells_PB80,0.0,0.47827167396080705,0.01749015096037034,0.5042381750788225
T cells_PB81,0.0,0.41023418725093924,0.0,0.5897658127490607
T cells_PB82,0.0,0.46914066323518344,0.10398980291937622,0.4268695338454404
B cells_PB83,0.2212233046663225,0.3804668135109501,0.03986926332147599,0.3584406185012515
B cells_PB84,0.0,0.44518481679800653,0.01892370640909506,0.5358914767928984
Monocytes_PB85,0.0,0.5620803329238714,0.03873720565439049,0.399182461421738
T cells_PB86,0.0,0.5617507858619198,0.147449672001836,0.29079954213624404
Monocytes_PB87,0.01928593989615879,0.7487161992257795,0.0,0.2319978608780618
Monocytes_PB88,0.02083895618344528,0.7055850234376975,0.0,0.2735760203788573
Monocytes_PB89,0.02181535890246221,0.8032407532990794,0.0,0.17494388779845832
Monocytes_PB90,0.0,0.645394013160195,0.0,0.35460598683980504
NK cells_PB91,0.0,0.4690344256755633,0.09549797698254463,0.435467597341892
Monocytes_PB92,0.0,0.7458834681341866,0.03188238696024118,0.22223414490557214
B cells_PB93,0.5920667952905563,0.2073451770055956,0.10798753428078724,0.092600493423061
T cells_PB94,0.0,0.5216436751593606,0.053847660119828944,0.4245086647208104
B cells_PB95,0.640546350615623,0.23760176976494646,0.059654377326686055,0.0621975022927446
NK cells_PB96,0.0,0.3281003393952097,0.34474478635770556,0.32715487424708467
Monocytes_PB97,0.0,0.658960617469092,0.04372501373192619,0.2973143687989818
B cells_PB98,0.30548461095652324,0.3353885457573065,0.0985013168947536,0.2606255263914167
B cells_PB99,0.0,0.479672837401371,0.0,0.520327162598629
T cells_PB100,0.008847011029487905,0.5913801278396813,0.27502789627954355,0.12474496485128721
Monocytes_PB101,0.0,0.38056215322535386,0.051168378794762034,0.5682694679798841
T cells_PB102,0.0,0.5023964451459197,0.04805288136003306,0.4495506734940472
T cells_PB103,0.0,0.5184100652404596,0.17134465489630446,0.31024527986323586
Monocytes_PB104,0.0,0.6500042472113876,0.057466611427893645,0.29252914136071867
B cells_PB105,0.7007795273321599,0.15824677711828675,0.14097369554955344,0.0
NK cells_PB106,0.0,0.4665434831679059,0.1572819849752221,0.376174531856872
B cells_PB107,0.30581882818714895,0.30588649556337705,0.13691985258388129,0.2513748236655927
NK cells_PB108,0.03799343354328886,0.263844893154364,0.6227303644069837,0.07543130889536342
B cells_PB109,0.1263212578897945,0.4448191340381057,0.0,0.4288596080720998
NK cells_PB110,0.0,0.45654470463443825,0.05786915486181233,0.48558614050374943
Monocytes_PB111,0.0,0.56191149622578,0.007471303926473942,0.43061719984774605
Monocytes_PB112,0.0,0.4672505121705043,0.002761326247273835,0.529988161582222
