"","NK cells","T cells","Monocytes","B cells"
"NK cells_PB1",0.526399060461865,0,0.355186980409192,0.118413959128943
"B cells_PB2",0.0502591640513385,0,0.0968603697212147,0.852880466227447
"Monocytes_PB3",0.0738284849226071,0,0.925942680514902,0.000228834562491111
"NK cells_PB4",0.651902282371431,0,0.305322466960077,0.0427752506684923
"B cells_PB5",0.206840693049818,0,0.378298866059794,0.414860440890387
"Monocytes_PB6",0.288761300005905,0.123296341227299,0.464577195395045,0.123365163371751
"T cells_PB7",0.22830968171165,0,0.695317025797372,0.0763732924909783
"NK cells_PB8",0.8518154698419,0,0.130529974932404,0.0176545552256954
"Monocytes_PB9",0.0951718326735368,0,0.894708767723444,0.0101193996030191
"T cells_PB10",0.303429502286824,0.129930111467921,0.452111451159877,0.114528935085377
"Monocytes_PB11",0.307732350630273,0.184685103961359,0.327814198983294,0.179768346425074
"B cells_PB12",0.0313989591200458,0,0.0799206933179795,0.888680347561975
"Monocytes_PB13",0.0284364278606491,0,0.971119860931459,0.000443711207892195
"Monocytes_PB14",0.184630200519539,0,0.595032268234058,0.220337531246403
"B cells_PB15",0.152831503142082,0,0.447307042134252,0.399861454723666
"T cells_PB16",0.155845037347425,0,0.761266766906053,0.0828881957465224
"NK cells_PB17",0.443194629842158,0.0432345464124157,0.430460839250435,0.0831099844949909
"Monocytes_PB18",0.120009173822454,0,0.817376198982988,0.0626146271945586
"NK cells_PB19",0.484270213630656,0.00187434196266158,0.427560217833564,0.0862952265731191
"Monocytes_PB20",0.19902969056571,0.0992619674199309,0.631616703138736,0.0700916388756233
"T cells_PB21",0.23359204740426,0.0081277663173732,0.601315314471946,0.156964871806421
"NK cells_PB22",0.294295541777073,0.0112385860614774,0.490223269458647,0.204242602702803
"T cells_PB23",0.304798869280256,0,0.584193561843283,0.111007568876461
"NK cells_PB24",0.469695516793051,0,0.392102556286984,0.138201926919965
"Monocytes_PB25",0.113320054361845,0,0.843897205167311,0.0427827404708432
"T cells_PB26",0.225038877475433,0.183211120319885,0.462210541716324,0.129539460488357
"T cells_PB27",0.264006532291409,0,0.67534196391779,0.0606515037908017
"Monocytes_PB28",0.112267210807445,0,0.851460644031851,0.0362721451607041
