,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.24999845996133926,0.2500018390881286,0.24999973669146658,0.24999996425906557
B cells_PB2,0.24999849902358007,0.25000183446921237,0.2499997191285267,0.2499999473786808
Monocytes_PB3,0.24999845381122657,0.25000187154838155,0.24999971515475172,0.24999995948564024
NK cells_PB4,0.24999845677267554,0.25000184040398754,0.2499997459634831,0.24999995685985368
B cells_PB5,0.24999846745927815,0.25000184339998777,0.24999972230034626,0.24999996684038786
Monocytes_PB6,0.2499984555725671,0.25000184436213085,0.2499997202244743,0.24999997984082778
T cells_PB7,0.24999847045490825,0.2500018561020202,0.24999972998048592,0.24999994346258567
NK cells_PB8,0.2499984528363556,0.25000183450156555,0.249999758381696,0.249999954280383
Monocytes_PB9,0.24999845295573497,0.250001864302911,0.24999971656280026,0.2499999661785538
T cells_PB10,0.24999845697291864,0.2500018443792722,0.2499997263253874,0.24999997232242174
Monocytes_PB11,0.24999845166681542,0.2500018398317183,0.24999972646598043,0.24999998203548568
B cells_PB12,0.24999850244175803,0.25000183825458383,0.24999971200442817,0.24999994729922995
Monocytes_PB13,0.2499984569268004,0.25000187195798496,0.24999971193361115,0.24999995918160348
Monocytes_PB14,0.24999845838136478,0.25000184685656046,0.2499997211542707,0.24999997360780396
B cells_PB15,0.24999847126695657,0.2500018451547305,0.2499997195721359,0.24999996400617694
T cells_PB16,0.24999846459758124,0.2500018512977799,0.24999972914913812,0.24999995495550084
NK cells_PB17,0.249998451482973,0.25000184261163566,0.24999973522641944,0.24999997067897187
Monocytes_PB18,0.24999845393179673,0.250001859295292,0.24999971855039926,0.24999996822251194
NK cells_PB19,0.24999845754762795,0.25000184229778083,0.24999973492983785,0.24999996522475348
Monocytes_PB20,0.24999845151722655,0.2500018562105037,0.24999972480293858,0.24999996746933106
T cells_PB21,0.24999845926617006,0.2500018525288419,0.24999971992375924,0.24999996828122883
NK cells_PB22,0.24999845758937192,0.2500018415463005,0.24999972474093868,0.24999997612338895
T cells_PB23,0.2499984644357638,0.2500018478043998,0.24999973437866962,0.24999995338116682
NK cells_PB24,0.24999845386565112,0.2500018429485066,0.2499997358332709,0.24999996735257143
Monocytes_PB25,0.24999845855987243,0.25000185509802253,0.2499997216638464,0.24999996467825877
T cells_PB26,0.2499984550490865,0.25000184302260875,0.24999972222555442,0.24999997970275037
T cells_PB27,0.24999846082988547,0.2500018545299321,0.2499997274909368,0.24999995714924572
Monocytes_PB28,0.24999845530642212,0.2500018625323175,0.24999971788521233,0.2499999642760481
NK cells_PB29,0.24999845400192472,0.25000183737945997,0.24999974093157554,0.24999996768703972
NK cells_PB30,0.2499984556593466,0.25000184450817303,0.24999972191587486,0.24999997791660536
T cells_PB31,0.2499984581861005,0.25000185151325816,0.2499997261707303,0.24999996412991116
NK cells_PB32,0.2499984595804926,0.2500018428778846,0.24999972844516624,0.24999996909645655
B cells_PB33,0.24999846223118077,0.2500018459987314,0.24999972223881145,0.24999996953127637
T cells_PB34,0.2499984565946269,0.2500018416955194,0.24999971833087065,0.24999998337898308
B cells_PB35,0.24999850017537822,0.25000183536978043,0.24999971995592654,0.2499999444989147
B cells_PB36,0.24999849488358478,0.25000183781146573,0.24999971880364527,0.24999994850130425
NK cells_PB37,0.24999845638962412,0.2500018421801024,0.24999973274249143,0.24999996868778204
Monocytes_PB38,0.24999845770987905,0.2500018420700633,0.24999972300078907,0.24999997721926845
B cells_PB39,0.24999848778475695,0.25000183588325664,0.24999972208937812,0.24999995424260835
T cells_PB40,0.24999845959377348,0.2500018475779295,0.2499997291950189,0.24999996363327814
T cells_PB41,0.24999846336875436,0.25000185660749796,0.2499997285116221,0.2499999515121256
NK cells_PB42,0.2499984535032797,0.25000184284090216,0.24999974209194323,0.24999996156387488
NK cells_PB43,0.24999845827408507,0.25000184495445527,0.24999972153983854,0.24999997523162115
Monocytes_PB44,0.2499984536967879,0.25000187473087376,0.24999971619992908,0.2499999553724094
T cells_PB45,0.2499984591515219,0.250001857172354,0.24999972392399641,0.2499999597521276
B cells_PB46,0.2499984903853568,0.2500018373476055,0.24999971724846073,0.24999995501857705
B cells_PB47,0.24999847271109904,0.2500018431217862,0.24999972092636316,0.24999996324075163
Monocytes_PB48,0.24999845266662613,0.25000186204331043,0.2499997192098353,0.24999996608022815
NK cells_PB49,0.2499984538555479,0.2500018396945244,0.24999974083066676,0.249999965619261
NK cells_PB50,0.24999845553335398,0.2500018418829365,0.24999972837644863,0.24999997420726092
NK cells_PB51,0.24999845553780464,0.250001834794718,0.24999976387543923,0.249999945792038
B cells_PB52,0.24999849272771976,0.2500018386946738,0.24999971781736083,0.24999995076024553
