,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.3839966332475824,0.16835258618799354,0.4476507805644241,0.0
B cells_PB2,0.430103596796541,0.17291140237175553,0.39698500083170357,0.0
Monocytes_PB3,0.36160422712082796,0.2272276025287986,0.4111681703503735,0.0
NK cells_PB4,0.3235455505027746,0.22301764573340932,0.453436803763816,0.0
B cells_PB5,0.42968680558261385,0.16465000381509082,0.4056631906022954,0.0
Monocytes_PB6,0.36363914303097017,0.20470270093306844,0.4316581560359613,0.0
T cells_PB7,0.3620567664744053,0.20486438717779956,0.4330788463477952,0.0
NK cells_PB8,0.2859985212368574,0.18554146433771163,0.528460014425431,0.0
Monocytes_PB9,0.3372289071414211,0.23516221698960207,0.4276088758689769,0.0
T cells_PB10,0.3941723568018679,0.1847857787701023,0.4210418644280298,0.0
Monocytes_PB11,0.3510930412482108,0.2189321412104131,0.42997481754137606,0.0
B cells_PB12,0.4364033868059263,0.1558854823063657,0.4077111308877081,0.0
Monocytes_PB13,0.4058119273906866,0.22352122475258585,0.3706668478567276,0.0
Monocytes_PB14,0.4093548375971922,0.18561343059062893,0.40503173181217883,0.0
B cells_PB15,0.42713092013742004,0.16657151117758712,0.4062975686849928,0.0
T cells_PB16,0.3689110519715952,0.19495982034890835,0.43612912767949635,0.0
NK cells_PB17,0.36963491616759186,0.1968893324016288,0.4334757514307793,0.0
Monocytes_PB18,0.3959719157278254,0.19858985264944048,0.4054382316227341,0.0
NK cells_PB19,0.36119123467235065,0.1867195529696363,0.452089212358013,0.0
Monocytes_PB20,0.39064772881246146,0.19087749643672672,0.41847477475081174,0.0
T cells_PB21,0.3632844740598781,0.22492214394313437,0.41179338199698745,0.0
NK cells_PB22,0.3621086505633715,0.21523617159418437,0.4226551778424442,0.0
T cells_PB23,0.3789780926019276,0.1971384913254156,0.4238834160726568,0.0
NK cells_PB24,0.3843141082164751,0.19528032088883585,0.42040557089468905,0.0
Monocytes_PB25,0.3802660154230668,0.2030363995071543,0.4166975850697789,0.0
T cells_PB26,0.4034739969205954,0.1966947660908605,0.39983123698854406,0.0
T cells_PB27,0.3481865935649237,0.195200109433698,0.4566132970013784,0.0
Monocytes_PB28,0.349920538068677,0.2434051556936563,0.40667430623766665,0.0
NK cells_PB29,0.32850645051657057,0.2004974597298082,0.4709960897536212,0.0
NK cells_PB30,0.3684972236615433,0.23149587009571274,0.40000690624274404,0.0
T cells_PB31,0.34704792380030736,0.2187090817189172,0.4342429944807754,0.0
NK cells_PB32,0.37079598958500254,0.19211554132347133,0.4370884690915261,0.0
B cells_PB33,0.40509092046863143,0.21520714184692188,0.37970193768444677,0.0
T cells_PB34,0.39876828769047823,0.19867435885544654,0.40255735345407523,0.0
B cells_PB35,0.41517395139563995,0.19041084669297506,0.3944152019113851,0.0
B cells_PB36,0.42418071307033,0.1669183674833008,0.4089009194463692,0.0
