,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.09156640185399591,0.3138457121484172,0.24432719141958514,0.3502606945780018
B cells_PB2,0.7605212904718591,0.08475383612317049,0.08578844525981631,0.0689364281451541
T cells_PB3,0.042806101292185615,0.18636935810772134,0.14722733850225606,0.6235972020978371
Monocytes_PB4,0.007273629657278827,0.6409886830633834,0.19648153614743022,0.15525615113190755
T cells_PB5,0.16127762607879173,0.28018219748162027,0.324278812215231,0.23426136422435695
T cells_PB6,0.14327240122461604,0.31271116774914476,0.3605159620363671,0.18350046898987202
Monocytes_PB7,0.2106218146268145,0.15817837551044542,0.3503312000771491,0.28086860978559103
T cells_PB8,0.010889861031295963,0.12592361272918853,0.14241772424498386,0.7207688019945316
Monocytes_PB9,0.07545373032530621,0.620396107214732,0.15360517337143872,0.1505449890885229
B cells_PB10,0.5814095849428622,0.18471012298141246,0.12221540400161668,0.11166488807410875
NK cells_PB11,0.2766575212005823,0.340887388028984,0.10779246014782264,0.27466263062261104
NK cells_PB12,0.02180204600197105,0.09467871216099129,0.7530849911094013,0.13043425072763626
NK cells_PB13,0.02106028956760266,0.15991520934587244,0.6757653367397739,0.14325916434675098
Monocytes_PB14,0.15872761702223348,0.31756829896607125,0.25042045333838686,0.27328363067330846
NK cells_PB15,0.14334486284292092,0.3106514101769525,0.3157757966661802,0.23022793031394648
B cells_PB16,0.13257868869117892,0.25671900215127624,0.39035614533917407,0.22034616381837074
NK cells_PB17,0.1206781748120612,0.29388509721852796,0.3498450064106499,0.2355917215587609
Monocytes_PB18,0.0,0.578472440878842,0.19654662402369324,0.2249809350974647
B cells_PB19,0.28126289861364934,0.2967084530974512,0.25934247622315454,0.1626861720657449
NK cells_PB20,0.11799997349182344,0.28760052180641793,0.3477332879839407,0.24666621671781774
B cells_PB21,0.5120533322125556,0.21534621796163347,0.14079066313175342,0.1318097866940575
T cells_PB22,0.19173753234966015,0.3024047662457837,0.31945965051391834,0.18639805089063785
T cells_PB23,0.18068854011236762,0.23724592551370424,0.30377341735546065,0.27829211701846746
