,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.09156635672365263,0.3138456349195864,0.2443271806532752,0.35026082770348577
B cells_PB2,0.7605211458470759,0.0847538870454456,0.08578849032324141,0.0689364767842371
T cells_PB3,0.04280611889173283,0.18636932903603826,0.1472272496318016,0.6235973024404273
Monocytes_PB4,0.007273655518040697,0.6409885952410638,0.19648155643292928,0.1552561928079663
T cells_PB5,0.16127760342996722,0.2801821812520499,0.3242788077273301,0.2342614075906528
T cells_PB6,0.14327240923544932,0.3127111567843421,0.36051585505645084,0.18350057892375785
Monocytes_PB7,0.21062186556064136,0.15817830979192687,0.35033131347329655,0.2808685111741352
T cells_PB8,0.01088991861948027,0.12592363669956608,0.14241765618671232,0.7207687884942413
Monocytes_PB9,0.07545366094765552,0.6203960112678384,0.1536052271267985,0.1505451006577076
B cells_PB10,0.5814095920708,0.18471008483965407,0.12221545836163103,0.11166486472791494
NK cells_PB11,0.27665745067071035,0.34088731051000065,0.10779244669865547,0.2746627921206334
NK cells_PB12,0.02180204030286673,0.09467871747673846,0.7530848696217732,0.13043437259862162
NK cells_PB13,0.021060286112870433,0.15991518032123708,0.675765396340967,0.1432591372249255
Monocytes_PB14,0.15872774594490535,0.31756821241041544,0.250420390947187,0.2732836506974921
NK cells_PB15,0.14334493977249338,0.31065134389073945,0.3157758091111596,0.23022790722560768
B cells_PB16,0.13257873363911138,0.25671887347562633,0.39035628409351475,0.22034610879174746
NK cells_PB17,0.12067816032760455,0.29388505440714746,0.34984499583889633,0.23559178942635148
Monocytes_PB18,0.0,0.5784723955360394,0.19654663183079946,0.22498097263316125
B cells_PB19,0.2812629522333133,0.29670837253255616,0.2593424756769427,0.16268619955718777
NK cells_PB20,0.11799992094431505,0.28760046231972813,0.3477333723122527,0.24666624442370397
B cells_PB21,0.5120532307722425,0.2153461811563936,0.140790623055619,0.13180996501574493
T cells_PB22,0.19173753933968082,0.30240476059320387,0.3194596476790152,0.18639805238810012
T cells_PB23,0.1806885462882854,0.23724588738461727,0.30377342343362157,0.27829214289347576
Monocytes_PB24,0.06731163399158857,0.4508726537070349,0.2634450678909686,0.21837064441040793
T cells_PB25,0.1352178805786634,0.23849835562552754,0.24194521068890587,0.3843385531069032
T cells_PB26,0.01913324598803872,0.16576319929815225,0.20083515746979935,0.6142683972440097
NK cells_PB27,0.11939798713509638,0.2626451743617454,0.33145567881409527,0.2865011596890629
Monocytes_PB28,0.00769318324056386,0.5620374011924473,0.26412844261807167,0.16614097294891714
Monocytes_PB29,0.047950698708305345,0.6088575545609242,0.18223608968838415,0.16095565704238615
Monocytes_PB30,0.17918249513008735,0.16157749219099704,0.3842852046194541,0.2749548080594616
NK cells_PB31,0.024700643972387547,0.22173220896379908,0.5314514931826955,0.22211565388111806
T cells_PB32,0.11932830694018372,0.37114422682676385,0.27559973124737536,0.23392773498567712
T cells_PB33,0.16067653502051282,0.3800873876436263,0.2886352012980947,0.17060087603776625
T cells_PB34,0.018457290902171544,0.05276536128809414,0.1627602411896954,0.766017106620039
T cells_PB35,0.023779239926193966,0.08466692995653645,0.13034105276660835,0.7612127773506613
B cells_PB36,0.6000721821431015,0.14371066497280086,0.17321669262165626,0.08300046026244134
NK cells_PB37,0.17098119515372454,0.2380186762324143,0.36041824961581964,0.23058187899804142
Monocytes_PB38,0.16724999532851972,0.2079669150126922,0.3622269633941875,0.26255612626460045
B cells_PB39,0.5628403897196077,0.11697671845166248,0.18312934815294896,0.13705354367578074
B cells_PB40,0.3201125939636613,0.25668328929953527,0.293688269504257,0.1295158472325465
NK cells_PB41,0.1431002946166794,0.3272946244364883,0.2551780346982294,0.27442704624860287
Monocytes_PB42,0.11823249654643331,0.5454194335469784,0.16194397440070926,0.17440409550587896
NK cells_PB43,0.1977394724558863,0.40521930053169664,0.1527659372619953,0.24427528975042184
B cells_PB44,0.6882553477430438,0.0679289286066463,0.1554915013801405,0.08832422227016941
B cells_PB45,0.1624448183219504,0.30867007833753607,0.3244968979395838,0.2043882054009296
NK cells_PB46,0.06419764497367701,0.1811296969572687,0.560981789833809,0.19369086823524542
T cells_PB47,0.13038796018247206,0.26086523711378873,0.32277181286192397,0.28597498984181535
Monocytes_PB48,0.029286240660751577,0.5493307906260905,0.26995908663222956,0.15142388208092847
B cells_PB49,0.42476469541826894,0.18700614281985548,0.27770237679142845,0.11052678497044711
B cells_PB50,0.09871323786174581,0.32988487155559304,0.3137643322496454,0.2576375583330158
NK cells_PB51,0.011988267282287015,0.09017089605554206,0.7727590346607577,0.12508180200141322
T cells_PB52,0.027688330986585002,0.19069888590233958,0.16566473580188085,0.6159480473091946
B cells_PB53,0.7143370349154644,0.056667400764229006,0.15715621695485252,0.07183934736545394
T cells_PB54,0.037587053945649145,0.13855841613762976,0.08048565168726853,0.7433688782294524
Monocytes_PB55,0.018068614660828066,0.6354482249726825,0.12841835275831678,0.2180648076081728
NK cells_PB56,0.019527767645869522,0.11428467769286907,0.7473372198218207,0.11885033483944075
B cells_PB57,0.020120491181248597,0.3371837669202449,0.3481204077408889,0.2945753341576177
T cells_PB58,0.15039679182844598,0.30948626467536816,0.2980453317583853,0.24207161173780062
NK cells_PB59,0.2006051003458721,0.3265634120625538,0.18774454399445953,0.28508694359711456
B cells_PB60,0.2039310696166932,0.3034490924972671,0.31009003654677075,0.18252980133926897
B cells_PB61,0.30991477338391543,0.2604526522929726,0.22770935940199788,0.20192321492111406
NK cells_PB62,0.0835512275928379,0.3537234211303748,0.3510759571790604,0.21164939409772693
Monocytes_PB63,0.028046031896612294,0.7798550929330855,0.11493629009093727,0.07716258507936506
T cells_PB64,0.09791969400170718,0.3171815108359047,0.28267875835105505,0.30222003681133314
Monocytes_PB65,0.10588910334105943,0.36275151271679396,0.2793313077731145,0.25202807616903217
B cells_PB66,0.4060027176183881,0.18786948526906855,0.2632339218977574,0.14289387521478605
T cells_PB67,0.11936395511149017,0.36635056441182257,0.3309528841243573,0.18333259635233007
NK cells_PB68,0.03168240813852184,0.13147172600376775,0.6262989085980183,0.2105469572596923
T cells_PB69,0.20122144834168385,0.2835485947662066,0.35530037244584456,0.1599295844462649
T cells_PB70,0.027319290817710094,0.0701447712615683,0.09629216013782284,0.8062437777828988
Monocytes_PB71,0.007936348224744705,0.7271388744844867,0.176915719866974,0.0880090574237947
NK cells_PB72,0.13433151835445223,0.2866204187787601,0.2953613706628868,0.2836866922039008
T cells_PB73,0.14626490530981615,0.3927069409856734,0.36252427062153786,0.09850388308297256
Monocytes_PB74,0.016724907555468387,0.7624327067119706,0.09627732134821498,0.12456506438434613
Monocytes_PB75,0.010360350468823791,0.6947783300444711,0.1265878027195764,0.1682735167671288
NK cells_PB76,0.01847790182845767,0.17202541352163328,0.614302944797946,0.19519373985196306
T cells_PB77,0.021635869917841367,0.14718987163173017,0.19627553864148517,0.6348987198089433
