,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.22910504157951755,0.27091318080946913,0.0,0.309362666766853,0.15269735291067832,0.037921757933482
Monocytes_PB2,0.0,0.2732905437037685,0.04155686554310766,0.46970646513856146,0.21544612561456244,0.0
DC_PB3,0.0,0.767860789527988,0.0,0.0,0.23213921047201197,0.0
NK cells_PB4,0.0565432788835269,0.12144194814322543,0.0365682139569023,0.0,0.5876882310287088,0.1977583279876366
DC_PB5,0.352087436352744,0.2532974928159905,0.055181566126788935,0.0,0.03607706567902349,0.30335643902545323
DC_PB6,0.35484926010937523,0.28477192511783084,0.0,0.10464731371958018,0.023805171226048857,0.23192632982716496
HSC_PB7,0.13854188660242758,0.1747732490670277,0.197039514289891,0.28250961981720246,0.13131599761022478,0.07581973261322648
B cells_PB8,0.6106838620535094,0.1269998405759602,0.0,5.0351617041521556e-05,0.0,0.2622659457534888
Monocytes_PB9,0.07909825509419677,0.21780710619746116,0.02485625798210578,0.36374734505866674,0.16099185929948465,0.15349917636808483
NK cells_PB10,0.08579973864082321,0.0,0.009490651311877185,0.0,0.6520383506505211,0.2526712593967784
NK cells_PB11,0.1787005917917856,0.26899838341295346,0.0,0.22746341735250117,0.16208667271072244,0.1627509347320373
DC_PB12,0.08809129603284575,0.6952887800936126,0.0,0.21661992387354162,0.0,0.0
NK cells_PB13,0.10796280651429006,0.0,0.007267170289655635,0.1425756542962757,0.6480855832939698,0.09410878560580897
DC_PB14,0.29664091744830223,0.2524968545361897,0.0018306803943136279,0.11820437643508917,0.00820091583746691,0.32262625534863826
T cells_PB15,0.1132872094744881,0.12836602661952323,0.03808570567477351,0.36372768443151715,0.2408484220938299,0.11568495170586807
T cells_PB16,0.04339068283276447,0.0,0.1364071868725654,0.7213399247893523,0.09886220550531788,0.0
B cells_PB17,0.1929315462731939,0.47294715418568706,0.17101351021521338,0.0,0.0,0.16310778932590567
NK cells_PB18,0.11470389873443795,0.0,0.07144271672336446,0.05730701553336666,0.43868784979028924,0.31785851921854175
HSC_PB19,0.20686153017501277,0.06881509285775766,0.35446328878903377,0.0,0.23213324815658978,0.13772684002160607
B cells_PB20,0.30638711523889806,0.31136943754049734,0.002596184903700862,0.09226836873085935,0.034418345992689704,0.2529605475933545
NK cells_PB21,0.11049735714911034,0.0,0.0,0.12037411571949878,0.4649384726795516,0.3041900544518392
HSC_PB22,0.05175744819051467,0.13435657730299275,0.009789389092761756,0.2914405982230969,0.17503584660925586,0.3376201405813781
B cells_PB23,0.4000462116757881,0.13236090194627814,0.0658612848326146,0.03586883792410984,0.0,0.3658627636212093
HSC_PB24,0.0,0.24719404386165428,0.3612461820163445,0.04573019314006014,0.1362461409653018,0.20958344001663934
B cells_PB25,0.39670511277063997,0.25279904098259953,0.0,0.02610220553023558,0.0,0.32439364071652504
T cells_PB26,0.004557361503059335,0.25506857978423597,0.008701455488218034,0.3030345330072604,0.13869429172389286,0.28994377849333336
HSC_PB27,0.22623218028986297,0.09144000604237452,0.13867148946368255,0.18595911653668634,0.11688059762796288,0.24081661003943064
Monocytes_PB28,0.0,0.0597088595833316,0.0,0.4091804024411965,0.3008305570579712,0.23028018091750072
NK cells_PB29,0.19284043603709744,0.0,0.0,0.12696099529224886,0.5162520153347703,0.16394655333588348
NK cells_PB30,0.18913321409660694,0.028597579512058723,0.0005803061829805048,0.3305138944792813,0.165920476318813,0.28525452941025947
T cells_PB31,0.05273110597457367,0.16956665582372069,0.04454124045228554,0.3907469102762125,0.0785823442012673,0.26383174327194026
HSC_PB32,0.2723422875777312,0.14794462464839653,0.24700154792918433,0.11939071658000033,0.0,0.21332082326468754
DC_PB33,0.19420229555151244,0.17609664253818397,0.0,0.2630580019342167,0.15896190823074877,0.20768115174533813
NK cells_PB34,0.0,0.10999989886009412,0.0,0.0,0.7148446653791922,0.17515543576071357
B cells_PB35,0.5887115116979443,0.10707041986289635,0.048785988555398285,0.06112654145481159,0.047509196744013785,0.1467963416849358
HSC_PB36,0.0,0.11574636062398426,0.5986269623152232,0.06498191020359427,0.2206447668571983,0.0
T cells_PB37,0.2920686567362148,0.0,0.022834993735108444,0.11112722526260282,0.4130396294147122,0.16092949485136174
DC_PB38,0.12229258402272972,0.29382131313357,0.0,0.2671482460363401,0.0,0.3167378568073603
NK cells_PB39,0.18687828173686988,0.0,0.0,0.01604823262191405,0.45726044237328956,0.3398130432679264
NK cells_PB40,0.22574697752337108,0.0,0.0,0.15782006589742034,0.49022076536758735,0.12621219121162117
HSC_PB41,0.006101565874180723,0.0,0.3253142583223741,0.31805082910302457,0.14772048289619433,0.2028128638042261
Monocytes_PB42,0.1539504092483783,0.04513064505438909,0.0,0.4270530210182941,0.10911992067428297,0.2647460040046554
Monocytes_PB43,0.34259243657476035,0.11780072179224947,0.09408903617665101,0.0,0.0,0.44551780545633923
NK cells_PB44,0.19205506905749864,0.0,0.0,0.15394152057432836,0.5937436855857412,0.060259724782431905
NK cells_PB45,0.11487797638234079,0.0,0.0,0.1632098040841716,0.4771960233540093,0.2447161961794783
DC_PB46,0.02666620801036593,0.4808773091700618,0.0036801417998060075,0.2319064318210025,0.14885517194159376,0.10801473725717008
NK cells_PB47,0.061225705097992945,0.20066858966056983,0.0161221497850708,0.10340535966066604,0.39129418931160764,0.2272840064840927
HSC_PB48,0.05346196454983905,0.0,0.3066681561858112,0.062042043409332844,0.2034077455206547,0.3744200903343622
T cells_PB49,0.2514530060051138,0.029882934916640565,0.05864465160592706,0.29893318112421025,0.146115231267866,0.21497099508024226
DC_PB50,0.22658078072831728,0.3972353904280694,0.0,0.1478909230439533,0.0,0.22829290579966008
DC_PB51,0.0,0.7451283338318496,0.0,0.05279394069197619,0.09664845103962715,0.10542927443654714
B cells_PB52,0.4144134137855635,0.22149203624173952,0.030121508474339715,0.0,0.0,0.3339730414983574
NK cells_PB53,0.11005200310897689,0.07457186641095968,0.032018619632664426,0.0,0.6088914465568351,0.1744660642905639
DC_PB54,0.016866979282943798,0.7008331714643666,0.0,0.19672630948931868,0.08557353976337088,0.0
NK cells_PB55,0.14522215201384628,0.0,0.0,0.1869458607072006,0.4667008951982908,0.2011310920806623
T cells_PB56,0.37969446096687776,0.0,0.030691854935793694,0.0,0.0,0.5896136840973285
T cells_PB57,0.19741743607581644,0.10737828268698107,0.06317415749699644,0.37505502109544125,0.23247074247397229,0.02450436017079241
Monocytes_PB58,0.0032798799442277774,0.21736811260248487,0.0,0.21096069127637027,0.04676293550760893,0.5216283806693081
DC_PB59,0.3350261833338441,0.358499866489076,0.02263125350241181,0.14398693331051196,0.09014985654417722,0.0497059068199788
HSC_PB60,0.0,0.0,0.19094894735277107,0.12410476442747471,0.284710933687029,0.4002353545327252
DC_PB61,0.08105354566930488,0.4113477361730864,0.0,0.24227170484880223,0.07685981431364555,0.18846719899516096
DC_PB62,0.10600635941961324,0.45105604875017086,0.0,0.07289873759635453,0.014549100708916527,0.3554897535249448
HSC_PB63,0.16146555533826473,0.0,0.8021453520788453,0.0,0.036389092582890005,0.0
DC_PB64,0.06404179946380506,0.5530588083575276,0.0,0.11311851523776383,0.03212864405054893,0.2376522328903546
Monocytes_PB65,0.0940440373669045,0.10654557823343591,0.08775588435918863,0.08359474100753857,0.16381443299080736,0.464245326042125
DC_PB66,0.06037561967301864,0.5776296082002249,0.0,0.177204737078342,0.008841163494769858,0.17594887155364453
DC_PB67,0.25567407814600995,0.4252471837797977,0.036693151554301584,0.16912563666064034,0.0,0.11325994985925049
HSC_PB68,0.0,0.0,0.5133250783184033,0.22895375591198297,0.2577211657696137,0.0
HSC_PB69,0.17358067909829616,0.0,0.0894535178117074,0.5027393477149504,0.10550347939913288,0.12872297597591295
B cells_PB70,0.5202851964631046,0.09160824346347268,0.0,0.05969928791596612,0.0,0.3284072721574567
HSC_PB71,0.03940564703358815,0.18356618491132196,0.5991566693058888,0.0,0.00665118087940526,0.1712203178697958
DC_PB72,0.04638237994220007,0.17384169007257794,0.028006620191585084,0.20217806621891352,0.27273587440504155,0.27685536916968184
NK cells_PB73,0.21420497945491274,0.16530947014453734,0.016187205630105922,0.21491594582112142,0.16010401066932103,0.22927838828000158
T cells_PB74,0.10400382941444446,0.17380164196400108,0.042673855951648486,0.10230989062741501,0.10049808906968746,0.4767126929728035
Monocytes_PB75,0.05172927920833302,0.18219496048232534,0.055558573944564524,0.41834543510631483,0.17765755658838772,0.11451419467007462
NK cells_PB76,0.22768564513442813,0.0,0.033021890967610476,0.05503329068083103,0.6355642749977666,0.048694898219363965
Monocytes_PB77,0.04546440771682365,0.1165834274211984,0.1117580010703062,0.46019457080967396,0.24181735901681006,0.024182233965187695
T cells_PB78,0.14630416806974397,0.0,0.05568863692289871,0.6095122118004799,0.1884949832068774,0.0
B cells_PB79,0.28140039847169823,0.37435741245695603,0.0,0.08590774311579255,0.0,0.2583344459555532
B cells_PB80,0.19875373188839274,0.2529692212350743,0.0,0.06635063095045157,0.0,0.48192641592608143
Monocytes_PB81,0.0628270032343422,0.1750059892868669,0.03627341870803717,0.4647813066340059,0.2343690288904339,0.026743253246313964
Monocytes_PB82,0.06944093780153249,0.0,0.07209485574583425,0.4996084261046073,0.10334233368894927,0.2555134466590766
T cells_PB83,0.22501454109419183,0.19228447103473015,0.09032344508676951,0.1288819377428298,0.2051291351212209,0.1583664699202578
DC_PB84,0.1746160169984582,0.3091563640896659,0.0,0.38680527463031406,0.053522173615263485,0.07590017066629844
DC_PB85,0.09255596152551449,0.522337522878969,0.0,0.13493736413993196,0.05627987549258617,0.19388927596299832
NK cells_PB86,0.20533854609015542,0.0,0.008687830188969889,0.27594798532016834,0.42219060559687516,0.08783503280383119
HSC_PB87,0.1160486784731992,0.045220171852950186,0.6142475406120345,0.034666509881792304,0.18981709918002385,0.0
NK cells_PB88,0.12726999617607734,0.013184669716642014,0.009038226442080867,0.055044408819610084,0.49073779982247406,0.30472489902311567
B cells_PB89,0.31469705565505773,0.2824636701349209,0.0,0.008589356333365664,0.0,0.39424991787665575
HSC_PB90,0.0,0.0,0.22954886292247814,0.43110671119666255,0.3393444258808593,0.0
HSC_PB91,0.2481554162122806,0.04044751804152657,0.23144097047810577,0.3561657069695607,0.12379038829852637,0.0
Monocytes_PB92,0.2229545436524027,0.0,0.0,0.45383924143489046,0.12634659912458907,0.19685961578811775
DC_PB93,0.03691858871387565,0.6823867898886652,0.0,0.2132183453020692,0.06747627609538993,0.0
HSC_PB94,0.0,0.0722248264498529,0.5328949225077129,0.11829284519245979,0.19187166456219976,0.08471574128777472
DC_PB95,0.03531883370397579,0.6071406791841376,0.0,0.22490661808932688,0.009697894862063669,0.12293597416049604
Monocytes_PB96,0.17742148854079418,0.0,0.04755829195431378,0.48697198099662753,0.12695494574556024,0.16109329276270437
HSC_PB97,0.03666233610726867,0.04306427622078828,0.3166594534962404,0.30952363384267134,0.2259633345129516,0.06812696582007975
