,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.046153066697895935,0.5681747524971957,0.03228662475302574,0.21013532429239506,0.010891660677176547,0.13235857108231103
Monocytes_PB2,0.0,0.0,0.0007104664584305269,0.7906015726392867,0.027628940156550874,0.18105902074573185
DC_PB3,0.0,0.5491377582450181,0.048880848663016944,0.19245091404662654,0.012003417278333853,0.19752706176700455
NK cells_PB4,0.012307176816222908,0.008378179849829729,0.0014387437840027624,0.2463933840903703,0.47847802961943386,0.25300448584014046
DC_PB5,0.09688116148355226,0.2573826060841475,0.0,0.04929332180078876,0.031403242584201435,0.5650396680473101
DC_PB6,0.09411963194791785,0.37308115874943265,0.01849694885292308,0.13691275813436188,0.0,0.3773895023153646
HSC_PB7,0.016977761572361874,0.03942062575030863,0.11330803341911207,0.4144051153626325,0.061650214806991316,0.3542382490885935
B cells_PB8,0.6242234048380695,0.006463156784650791,0.0,0.04371411339847446,0.021400607827309653,0.3041987171514956
Monocytes_PB9,0.0,0.0,0.011037793384473867,0.5524372108647237,0.01380785211595842,0.4227171436348439
NK cells_PB10,0.003940232356916316,0.0,0.006811261476466797,0.08673726778054992,0.699111178116664,0.20340006026940283
NK cells_PB11,0.09425891678721154,0.09706254943133472,0.0,0.27090767416220224,0.1748852565078681,0.3628856031113834
DC_PB12,0.0,0.640682766084274,0.0,0.1853024811031582,0.0,0.17401475281256767
NK cells_PB13,0.0,0.0,0.0,0.12732548949556702,0.7577695285914047,0.11490498191302835
DC_PB14,0.11817426362375352,0.1375869701303407,0.0,0.04176568369347626,0.0,0.7024730825524296
T cells_PB15,0.004268762834705074,0.06936863346671976,0.027994305493153758,0.45882611295163095,0.17211687000274217,0.2674253152510483
T cells_PB16,0.0,0.0,0.0,0.7488410848641048,0.0,0.25115891513589517
B cells_PB17,0.28036432450483917,0.04731090698366698,0.0,0.3316481842648093,0.16510394010508725,0.1755726441415972
NK cells_PB18,0.04428576094210217,0.0,0.0,0.21230173239374703,0.5825370261294909,0.16087548053466003
HSC_PB19,0.18506908172032663,0.036497120548049176,0.3869259431945894,0.08265593691747063,0.01602318648320828,0.2928287311363559
B cells_PB20,0.2890140820533268,0.040804905555171356,0.0,0.2786829218964689,0.0,0.39149809049503287
NK cells_PB21,0.08173538737788794,0.0003222756172033427,0.0192474631075391,0.15997493498075768,0.5362896635882373,0.2024302753283746
HSC_PB22,0.08274961854685674,0.0,0.20051603928177592,0.13496088816386223,0.07997894448114619,0.501794509526359
B cells_PB23,0.3006839627416767,0.003287471387340173,0.0,0.1290800577000068,0.005260192637854413,0.5616883155331219
HSC_PB24,0.01834247128564987,0.0,0.4504647901324596,0.13024810095617148,0.05039084919334425,0.3505537884323748
B cells_PB25,0.450371597329634,0.0,0.0,0.1546509639349715,0.0,0.39497743873539454
T cells_PB26,0.017342635862782053,0.0,0.0,0.37126592263732633,0.0,0.6113914414998917
HSC_PB27,0.03748536881352838,0.021142365734217818,0.2561462583656669,0.19226809704839318,0.0,0.49295791003819367
Monocytes_PB28,0.0,0.0,0.0,0.45505290892199823,0.04742141722584821,0.49752567385215357
NK cells_PB29,0.05292655274353643,0.062183902130300645,0.0024490392898767646,0.18037668071720422,0.4463900603309308,0.2556737647881511
NK cells_PB30,0.07962762772050314,0.030811850006976706,0.0,0.23605861624949798,0.1678257285099101,0.48567617751311215
T cells_PB31,0.012243522527858222,0.0,0.0,0.4944855850879437,0.0,0.4932708923841981
HSC_PB32,0.2232082076806727,0.0,0.16544252294766523,0.31180047478742356,0.05102265765952785,0.24852613692471073
DC_PB33,0.09457949393933303,0.16007306780912256,0.0,0.228529272533124,0.08129666000287623,0.4355215057155442
NK cells_PB34,0.0,0.03541344551708749,0.0,0.05477816290551038,0.5491662402935833,0.36064215128381893
B cells_PB35,0.9768554315591926,0.0,0.023144568440807388,0.0,0.0,0.0
HSC_PB36,0.009409930147715573,0.010419353639508312,0.7058316502430035,0.13224018799390963,0.016561421418064468,0.1255374565577984
T cells_PB37,0.045424929898202,0.020599969909716544,0.00939004832651347,0.45357377550693984,0.1373325693630041,0.33367870699562413
DC_PB38,0.07312828010041005,0.16641571845599182,0.0,0.2790786347777769,0.0,0.4813773666658213
NK cells_PB39,0.09168917226752656,0.02066932499325388,0.016900922274824485,0.030254228011150866,0.5685247200299581,0.27196163242328614
NK cells_PB40,0.1293398671713617,0.0,0.03367109178203066,0.1939686970067401,0.4658150027627209,0.17720534127714654
HSC_PB41,0.0,0.0,0.17889521577826437,0.39770959002103307,0.0,0.4233951942007026
Monocytes_PB42,0.06463917357354952,0.011594816958937553,0.0,0.4474725808598011,0.0019769400127685093,0.4743164885949434
Monocytes_PB43,0.11546477567095781,0.025718724707067358,0.0,0.08800883834363192,0.0,0.770807661278343
NK cells_PB44,0.0,0.03940394483349585,0.0,0.09138964047189922,0.6521272948882298,0.217079119806375
NK cells_PB45,0.009453519658738332,0.0,0.0,0.23597414288304386,0.3314400157939503,0.4231323216642675
DC_PB46,0.0,0.6593141513842062,0.017612606189711322,0.22376702444093774,0.019842045243205462,0.07946417274193915
NK cells_PB47,0.047180473388307415,0.11894317717609008,0.008577213162265021,0.13195334541283824,0.44684717753354286,0.24649861332695638
HSC_PB48,0.05065354812069673,0.0,0.40198800709075133,0.0978203961310501,0.0,0.44953804865750185
T cells_PB49,0.1249080399684745,0.0,0.0,0.39641792790207303,0.11996722111016504,0.3587068110192875
DC_PB50,0.07156309223142956,0.1643950647278048,0.004616462983942521,0.09775300876321949,0.1414890770407774,0.5201832942528263
DC_PB51,0.01177233927786511,0.8091499227733552,0.01759673265226584,0.12990840290283265,0.0,0.03157260239368119
B cells_PB52,0.6250089456050999,0.056325745079395875,0.0,0.02248455969387235,0.0,0.29618074962163177
NK cells_PB53,0.08870746401674758,0.00774812595240383,0.0,0.0,0.7222810927705566,0.18126331726029202
DC_PB54,0.12663868968533054,0.5429551265401038,0.0005553510599897402,0.146631591878312,0.07640788252662113,0.1068113583096429
NK cells_PB55,0.018125743218357464,0.005938910382892433,0.0012365378950058418,0.24788965038127278,0.564460604361098,0.16234855376137355
T cells_PB56,0.057397881070291826,0.0034019664803005742,0.0,0.1116167846601217,0.0,0.8275833677892859
T cells_PB57,0.1730409705946649,0.0,0.0,0.6266645928969721,0.027822896581226716,0.17247153992713637
Monocytes_PB58,0.0,0.07038260347528941,0.11585844168794032,0.1811261082622096,0.0,0.6326328465745605
DC_PB59,0.12442575485972439,0.14303336770722516,0.0,0.4030342744353546,0.07252477398386761,0.25698182901382827
HSC_PB60,0.0,0.0,0.3171153871929482,0.09653545323196357,0.0,0.5863491595750883
DC_PB61,0.0,0.4489499722817113,0.000336678770533892,0.2390902542254379,0.0,0.3116230947223169
DC_PB62,0.04438465912757861,0.24324066702281133,0.01152421624415138,0.08438760472004228,0.02852660887660246,0.5879362440088141
HSC_PB63,0.04204987072916436,0.0,0.6976112072187173,0.05751950768236539,0.0,0.20281941436975298
DC_PB64,0.15591377763665568,0.2863123187638133,0.0,0.2594528832300361,0.04676604737742341,0.25155497299207147
Monocytes_PB65,0.07221040593162188,0.0,0.0,0.20591068991324293,0.039439769785134034,0.682439134370001
DC_PB66,0.0,0.4284337107471784,0.01931066808652136,0.21638232767285268,0.08666203876409782,0.24921125472934977
DC_PB67,0.12935871423963644,0.09227032386060106,0.0,0.36503416989405363,0.08556846681958508,0.3277683251861239
HSC_PB68,0.0,0.0,0.537314883448125,0.14608916528082577,0.0037211857580264854,0.31287476551302273
HSC_PB69,0.0823865501245938,0.005578979206905833,0.1804691809522972,0.4107112501403294,0.1176924700726393,0.20316156950323447
B cells_PB70,0.7264244098590162,0.004626313693136695,0.0,0.10993772821607282,0.03392976277696339,0.1250817854548109
HSC_PB71,0.12134712258249071,0.0,0.5923614672430754,0.0,0.0,0.28629141017443394
DC_PB72,0.009504102374631673,0.11786984266642148,0.03977370614322754,0.3024925551887328,0.21105912468117,0.3193006689458166
NK cells_PB73,0.09732225973699116,0.0746072003870087,0.0033055203404300823,0.3582265260728109,0.08419107825144334,0.3823474152113159
T cells_PB74,0.023051220200575238,0.0,0.0,0.2614742048552471,0.0,0.7154745749441778
Monocytes_PB75,0.007402897578071637,0.0,0.0,0.6151230143497788,0.0,0.37747408807214955
NK cells_PB76,0.03128948588686664,0.015083518159408562,0.009851350863877293,0.14210446098404914,0.7087254339474309,0.09294575015836745
Monocytes_PB77,0.04303940180095378,0.015566932951146719,0.053488498037157585,0.5677000162811818,0.042311507453363977,0.2778936434761961
T cells_PB78,0.03913156697752268,0.0,0.0,0.6502472276234285,0.10938198208268582,0.2012392233163631
B cells_PB79,0.3107719598562417,0.037996919644977756,0.0,0.337074603229203,0.009408313100323876,0.3047482041692537
B cells_PB80,0.12370969657335132,0.019634337049440623,0.0,0.18970734660728342,0.0,0.6669486197699247
Monocytes_PB81,0.028994934670799007,0.0,0.02553685945651422,0.6965037579035376,0.11069946877486882,0.13826497919428035
Monocytes_PB82,0.0,0.0,0.0,0.5287507362213373,0.06852284070419862,0.4027264230744642
T cells_PB83,0.11842361045305749,0.05404580499922896,0.0,0.29252204798668074,0.1387821698002897,0.396226366760743
DC_PB84,0.06592634811697554,0.21203660557534318,0.0,0.4477329985522233,0.0,0.274304047755458
DC_PB85,0.0,0.44429885700930055,0.03090878328112748,0.06061176499793025,0.0,0.46418059471164175
NK cells_PB86,0.0,0.039106651366997855,0.0046410683216035545,0.3369482690662016,0.3011405722023228,0.31816343904287414
HSC_PB87,0.04034482938653307,0.005929952618797797,0.6250506400159873,0.03447692651879488,0.0,0.2941976514598869
NK cells_PB88,0.05648218096927866,0.023828105405973406,0.0,0.04620760730110752,0.5414171150159213,0.33206499130771916
B cells_PB89,0.7143447457328923,0.0,0.008795535477303352,0.02663224049161632,0.009014891164049563,0.24121258713413848
HSC_PB90,0.03349985855923316,0.01922829298174822,0.35262942803993325,0.2304157525940944,0.13809847987107157,0.22612818795391948
HSC_PB91,0.09705285472964542,0.07927116370117551,0.166218022661078,0.4109507421730711,0.04216345067634739,0.20434376605868262
Monocytes_PB92,0.0,0.027602840536960327,0.0039051407314625217,0.5417555826570065,0.0,0.4267364360745706
DC_PB93,0.0,0.6847207273082065,0.023893386240121852,0.14717714154961797,0.004570458387799485,0.13963828651425406
HSC_PB94,0.0,0.0,0.5337195196577516,0.2377338817990309,0.0,0.22854659854321757
DC_PB95,0.0,0.6986821938453958,0.043400311470819124,0.1533072736184934,0.0,0.10461022106529169
Monocytes_PB96,0.06651740781859537,0.014486867685935946,0.023676611313508473,0.3905906759096047,0.027605187153614433,0.47712325011874107
HSC_PB97,0.03517222731677337,0.01056695843245246,0.4645528695743765,0.266930778838297,0.0,0.22277716583810056
DC_PB98,0.09380255094172107,0.24290327344599594,0.0,0.18874139989482014,0.027063362674769675,0.44748941304269324
DC_PB99,0.0,0.20505742253538295,0.0,0.31334963807644667,0.0,0.4815929393881704
HSC_PB100,0.04168224191159517,0.0025356482581931237,0.18123465411640108,0.28172514781304997,0.11107662370145831,0.3817456841993023
T cells_PB101,0.27921162910008096,0.0,0.018984062586204335,0.5675056726359182,0.13429863567779649,0.0
HSC_PB102,0.0087259175522091,0.025107544430582083,0.5733684511525349,0.1323125267954551,0.0,0.26048556006921886
B cells_PB103,0.22516570205789502,0.07195743219481658,0.0,0.40509801849861254,0.008929202733756273,0.28884964451491957
B cells_PB104,0.4011540322902325,0.0,0.0,0.31498031893391915,0.03324275416751193,0.2506228946083363
DC_PB105,0.09574632629125673,0.611673885968438,0.0,0.2630631215056069,0.0,0.029516666234698313
Monocytes_PB106,0.0,0.056584690694425815,0.031300376209595915,0.26186197757470536,0.02193820267767539,0.6283147528435975
T cells_PB107,0.04601291888790352,0.13787739555223247,0.03672668462004329,0.31256026183336566,0.1450365044060048,0.32178623470045026
NK cells_PB108,0.004035118272323356,0.06237170843019646,0.006235085035223269,0.061784796778292635,0.64553590665504,0.22003738482892432
B cells_PB109,0.2607575047092397,0.0,0.0,0.2737792548814022,0.0,0.465463240409358
HSC_PB110,0.16482592828598636,0.0009250705230170242,0.15653227250294618,0.1827613239661954,0.01457091936951939,0.4803844853523357
T cells_PB111,0.04877906592711872,0.010588618117028806,0.10803856878518747,0.4161344106810632,0.04922007749256872,0.367239258997033
HSC_PB112,0.2620811773947887,0.0,0.26707926972724355,0.16648403020975983,0.007633098525150558,0.2967224241430575
B cells_PB113,0.7578198956064118,0.003267390844279274,0.0,0.04885807722499164,0.0,0.19005463632431724
Monocytes_PB114,0.031047634690348668,0.03807658984745517,0.0,0.6965940015695955,0.07497098373941007,0.15931079015319055
HSC_PB115,0.0,0.03458776835613758,0.5355777667209736,0.1967683574895858,0.04632878846560294,0.18673731896770007
T cells_PB116,0.05358483968611563,0.0,0.0,0.18684668184074105,0.02203519026845088,0.7375332882046924
T cells_PB117,0.06907778459761833,0.007009893060052385,0.0029650410736675975,0.17602092807135664,0.09422759061616483,0.6506987625811402
NK cells_PB118,0.031849156164613715,0.0,0.0,0.3490857227742727,0.1623210354028175,0.45674408565829616
NK cells_PB119,0.057419222267235975,0.0,0.0,0.0,0.6882700302465083,0.2543107474862556
HSC_PB120,0.0,0.0,0.5064861951869989,0.18870624287166124,0.0551489237775197,0.24965863816382022
DC_PB121,0.18356982490295778,0.6731902074722683,0.0,0.0,0.06073738808761936,0.08250257953715456
B cells_PB122,0.47576566878576626,0.10859857786460082,0.03286804876003196,0.05431624638776652,0.12724670550605952,0.20120475269577484
T cells_PB123,0.08975902850356736,0.0029382450671749825,0.0,0.4965853067990528,0.08775143224741913,0.3229659873827857
DC_PB124,0.0,0.14342233923250447,0.0,0.25227899967196377,0.0,0.6042986610955318
HSC_PB125,0.08983139204545779,0.0,0.23153392507144,0.3181870864207276,0.0,0.36044759646237445
HSC_PB126,0.011063172789427396,0.0,0.3903022339236895,0.42613155865149055,0.0024661587467520556,0.17003687588864053
NK cells_PB127,0.04823592889743801,0.019780607329606955,0.0005994332117202679,0.13237443112061156,0.6199786393912933,0.1790309600493298
DC_PB128,0.0,0.8194034642020975,0.019486489687592288,0.0,0.021793461420572674,0.13931658468973762
NK cells_PB129,0.008891706251081226,0.012815025318315593,0.0,0.45906669130358135,0.02789006407056428,0.49133651305645754
T cells_PB130,0.10756940628460944,0.017759089397317886,0.0,0.4559819745882148,0.0,0.4186895297298578
Monocytes_PB131,0.08658464693247094,0.03642944508523567,0.0,0.5177967964041248,0.020625338306126322,0.33856377327204223
T cells_PB132,0.034156749153794894,0.023602434687717257,0.0034293989555421725,0.4700247144268632,0.12481234916044333,0.3439743536156391
T cells_PB133,0.14668956083106005,0.0,0.024577474638106164,0.41204899237169296,0.09040239935197387,0.326281572807167
T cells_PB134,0.0,0.07933051112129091,0.06062138296466727,0.44070434889243415,0.09299572156006201,0.32634803546154556
NK cells_PB135,0.046835640068201186,0.0,0.0,0.03633381480960566,0.7411807089362097,0.17564983618598357
T cells_PB136,0.09468570976493558,0.006657471777203975,0.0027587804989831393,0.48639303536172135,0.007320128530944897,0.4021848740662109
T cells_PB137,0.20373713028265805,0.0,0.0,0.26626459020529486,0.10938621679604157,0.42061206271600543
B cells_PB138,0.5167158402686595,0.04651355594943265,0.0,0.11021561788591228,0.0,0.32655498589599563
HSC_PB139,0.10821048270694301,0.07241126868393961,0.3134066697155739,0.16671649915610848,0.0,0.3392550797374351
HSC_PB140,0.02755700557150803,0.0033881684346733906,0.7378267809752378,0.03184525384808235,0.0,0.19938279117049834
NK cells_PB141,0.031172037973133598,0.009748696706120908,0.008339810526908523,0.0,0.7843072982442848,0.16643215654955226
Monocytes_PB142,0.027152388125561085,0.09837191447740913,0.0075540193321149435,0.30258181163626563,0.1497512407723127,0.4145886256563366
HSC_PB143,0.005637655018690819,0.0,0.5183476825491335,0.1846541320100869,0.0065050707719690425,0.2848554596501196
DC_PB144,0.0,0.3353048541576333,0.0,0.11552462315664097,0.016620922658178605,0.5325496000275471
T cells_PB145,0.038990858359007556,0.018316580342875234,0.0,0.5553123409731299,0.0,0.38738022032498737
Monocytes_PB146,0.07255801032562732,0.0,0.0,0.12245461402584763,0.05253471313259059,0.7524526625159345
Monocytes_PB147,0.06121728873309643,0.0036302060481513735,0.0032279272563656963,0.45019072668797805,0.08839816631935178,0.3933356849550567
DC_PB148,0.1303027441630927,0.3539212762876925,0.0,0.30523939398295963,0.0022204198128356364,0.20831616575341966
NK cells_PB149,0.06147366818652458,0.09178075071631381,0.017474091874319753,0.26865152020391636,0.05369055248175863,0.5069294165371668
Monocytes_PB150,0.04747102429704221,0.007372152111091459,0.0,0.28320805841158736,0.0,0.661948765180279
T cells_PB151,0.08393976257219533,0.00010884799174002987,0.0,0.20564896198455848,0.0,0.7103024274515062
NK cells_PB152,0.06348420077723563,0.0,0.0,0.2210671927208261,0.2389250479586981,0.4765235585432401
HSC_PB153,0.0,0.0,0.20719669063261137,0.43425990801092373,0.04520001221451593,0.313343389141949
T cells_PB154,0.10935117507684061,0.028826527105731477,0.0,0.35499089702338377,0.0,0.5068314007940441
Monocytes_PB155,0.0,0.0,0.0,0.8093491839768263,0.0,0.19065081602317369
T cells_PB156,0.11484186399790759,0.10326733105829684,0.006510228243325463,0.44741226927462274,0.008162092963324472,0.319806214462523
T cells_PB157,0.03174001860101194,0.07753523182157994,0.0,0.3343090916901217,0.12104722226356959,0.4353684356237169
Monocytes_PB158,0.028321646108625424,0.0,0.0,0.6840245397672224,0.022970525811805403,0.26468328831234683
Monocytes_PB159,0.02567833845682146,0.029163891913800206,0.0,0.25042270356779656,0.047417135469087074,0.6473179305924948
NK cells_PB160,0.004909735894819654,0.0,0.0,0.1673958442878077,0.6111048978452334,0.2165895219721393
DC_PB161,0.08467034145493026,0.28321835399518774,0.0,0.32635715880436583,0.029019950943432578,0.27673419480208356
T cells_PB162,0.09516281354771533,0.0,0.0,0.340462070490731,0.0,0.5643751159615535
Monocytes_PB163,0.004898927744040326,0.0686405075909036,0.04942036999259039,0.44576475260005943,0.0,0.4312754420724062
B cells_PB164,0.3202588288554324,0.18272058326151003,0.0024651674328451116,0.10462491809664237,0.02809571485504639,0.3618347874985237
B cells_PB165,0.08967951940789794,0.020076889122334206,0.0,0.30694502703326865,0.0,0.5832985644364993
DC_PB166,0.016935302401466915,0.5913089151016393,0.0,0.06868205039902929,0.0873579904391049,0.23571574165875975
NK cells_PB167,0.0,0.0244707523956346,0.013785479810180877,0.25365073442190017,0.3722278442100663,0.33586518916221797
B cells_PB168,0.17820636357873743,0.0,0.0,0.2823435944723383,0.0,0.5394500419489243
NK cells_PB169,0.12945276091889718,0.004635873419423701,0.0,0.2651800368847914,0.13679918834507646,0.46393214043181114
Monocytes_PB170,0.026904929671127543,0.0,0.0,0.5280382998975259,0.11134542608145546,0.3337113443498909
DC_PB171,0.04180110545134576,0.5457409960834092,0.0,0.1678315340409967,0.0,0.24462636442424834
B cells_PB172,0.07469317021542729,0.059775315949275244,0.01691910433812541,0.2580230750058654,0.17419630110731887,0.41639303338398775
B cells_PB173,0.6341170074917432,0.0,0.018820577681410086,0.0771760617521862,0.13611398628595367,0.1337723667887068
HSC_PB174,0.06963686518294329,0.08211698027086504,0.3112218301394792,0.2004183305214472,0.012870020972426028,0.3237359729128392
T cells_PB175,0.07615210152583043,0.03408804848309541,0.018763087995087857,0.310178782527239,0.07533102778383435,0.48548695168491285
