"","NK cells","T cells","Monocytes","B cells"
"NK cells_PB1",0.323084032363747,0.492690587155271,0.152554618723248,0.0316707617577342
"B cells_PB2",1.02560522551999e-06,0.159066686040681,0.0601502309769114,0.780782057377182
"T cells_PB3",1.06707017273632e-19,0.766772136163974,0.188588386803235,0.0446394770327907
"B cells_PB4",0.00873831536088349,0.349443752202852,0.112292282036607,0.529525650399657
"NK cells_PB5",0.150691675171493,0.634592735822853,0.181233919402867,0.0334816696027865
"NK cells_PB6",0.160827428029754,0.616711907573009,0.158290332663759,0.0641703317334776
"NK cells_PB7",0.0884614928202874,0.598993267942905,0.2119329408313,0.100612298405508
"B cells_PB8",1.77961923476047e-06,0.198349903939928,0.0427174555177694,0.758930860923068
"T cells_PB9",1.29078608470517e-19,0.68131521588591,0.262919169875065,0.0557656142390251
"NK cells_PB10",0.516602810738124,0.366812063421595,0.0705983262428341,0.0459867995974471
"Monocytes_PB11",-2.49010914033676e-19,0.845895915480076,0.0562688922490824,0.0978351922708412
"T cells_PB12",-9.57405448949204e-20,0.877397652759611,0.12014873357635,0.00245361366403947
"Monocytes_PB13",0.0127989187831677,0.444500508205368,0.527196214953773,0.0155043580576909
"NK cells_PB14",0.205331970002552,0.561780615088553,0.159030751625107,0.0738566632837874
"T cells_PB15",0.0294886869847056,0.397260752510592,0.367769259373267,0.205481301131436
"T cells_PB16",0.0497038500614201,0.39695799673943,0.400069635492884,0.153268517706267
"B cells_PB17",-3.03840335847198e-20,0.521398710097274,0.150881536118984,0.327719753783742
"B cells_PB18",-7.44828836356682e-20,0.403143657347865,0.126047480847617,0.470808861804518
"Monocytes_PB19",5.13385124168087e-09,0.664229803408158,0.267467915566559,0.0683022758914318
"Monocytes_PB20",7.43194491038549e-20,0.700802771006812,0.20153280138161,0.0976644276115783
"Monocytes_PB21",7.8125523771975e-20,0.526866270174882,0.405151938176904,0.0679817916482142
"T cells_PB22",0.0761237216953255,0.353678742563641,0.367726504794933,0.2024710309461
"NK cells_PB23",0.251126686802632,0.553838097730209,0.165021979301914,0.0300132361652451
"B cells_PB24",8.08316171441122e-07,0.477419184479737,0.140188479023762,0.38239152818033
"NK cells_PB25",0.405544692683438,0.446481825098151,0.0965224847547802,0.0514509974636301
"B cells_PB26",2.56534400894267e-06,0.305704850744254,0.0585977380647625,0.635694845846974
"Monocytes_PB27",5.35311532194867e-19,0.754221099129405,0.163168086008646,0.0826108148619487
"Monocytes_PB28",1.60248284105499e-19,0.577731861109099,0.303127200783843,0.119140938107058
"B cells_PB29",0.0133669135597621,0.346393591985699,0.112125445245762,0.528114049208776
"NK cells_PB30",0.0911663631995339,0.643026739871796,0.225892974757451,0.0399139221712188
"B cells_PB31",0.0112239050203624,0.373201885355233,0.110779514620666,0.504794695003738
"T cells_PB32",0.0455466813729203,0.363750074150041,0.367084836550584,0.223618407926455
"NK cells_PB33",0.0863881633996629,0.629789775750778,0.21880157301816,0.0650204878313993
"T cells_PB34",5.39835442715408e-19,0.870800665190666,0.0974772957595212,0.0317220390498132
"Monocytes_PB35",4.8000915949397e-19,0.321982110291384,0.643125194769655,0.0348926949389606
"NK cells_PB36",0.630772952987644,0.261167542406756,0.0720545860013384,0.0360049186042615
"NK cells_PB37",0.264991923589834,0.520621071361996,0.139296375228541,0.0750906298196284
"T cells_PB38",0.0858259111562844,0.305069474339982,0.428271933025064,0.180832681478669
"NK cells_PB39",0.54360025834746,0.343047660243649,0.0699745033822613,0.0433775780266306
"NK cells_PB40",0.384609940193968,0.441553965170045,0.10790570708426,0.0659303875517273
"Monocytes_PB41",-7.13808927962679e-20,0.763544211007531,0.123581911061348,0.112873877931121
"T cells_PB42",6.10010708767311e-20,0.602238554596567,0.278152607906272,0.119608837497162
"B cells_PB43",1.26676113359645e-21,0.662891497958967,0.235107545883954,0.102000956157079
"Monocytes_PB44",9.47534247872283e-20,0.389707276416968,0.573684832750409,0.0366078908326235
"NK cells_PB45",0.242228053612772,0.550347732012524,0.127430093588006,0.0799941207866971
"B cells_PB46",4.85492019906209e-08,0.341335027053955,0.109861704610052,0.54880321978679
"NK cells_PB47",0.277222234752993,0.509061929046009,0.133133274914737,0.0805825612862615
"Monocytes_PB48",6.24057992157567e-19,0.597314061831716,0.34352589190945,0.0591600462588338
"Monocytes_PB49",2.16139663702562e-19,0.573255155728487,0.361342593106709,0.0654022511648041
"NK cells_PB50",0.17194471854808,0.581454023105961,0.145729694380673,0.100871563965287
"T cells_PB51",-1.68529141792593e-19,0.866431655945442,0.0968364534148854,0.0367318906396727
"Monocytes_PB52",1.41766041069368e-21,0.461566282703179,0.498107127028971,0.0403265902678503
"Monocytes_PB53",-1.26855109524956e-19,0.395777459214701,0.598305180978416,0.00591735980688322
"NK cells_PB54",0.695045383573055,0.225745967317593,0.0447478865020412,0.03446076260731
"Monocytes_PB55",0.00678253285335629,0.526312288026896,0.399243825667656,0.0676613534520916
"B cells_PB56",1.07307386453588e-06,0.177041930643364,0.0497564891631168,0.773200507119654
"NK cells_PB57",0.128915674775794,0.623656285533592,0.18382709522151,0.0636009444691042
"B cells_PB58",0.00280111738468352,0.562506973963456,0.207036017872602,0.227655890779258
"Monocytes_PB59",4.55908469580313e-21,0.807588990112655,0.0824307930391245,0.109980216848221
"T cells_PB60",0.0132594240767319,0.502638502338291,0.328173986419046,0.155928087165931
"Monocytes_PB61",1.90701411626977e-20,0.695958275929174,0.263576000353416,0.0404657237174099
"Monocytes_PB62",0.0162595026580652,0.672459493616059,0.189623702948149,0.121657300777727
"B cells_PB63",8.38976740860129e-07,0.235388454393027,0.0521850670685409,0.712425639561692
"T cells_PB64",0.0309762862531089,0.506924186940024,0.301733871268192,0.160365655538675
"Monocytes_PB65",9.71678878772951e-22,0.743634206097915,0.196563161783703,0.0598026321183828
"Monocytes_PB66",-1.98510028043296e-20,0.616144664351911,0.33809673356597,0.0457586020821194
"T cells_PB67",0.0962021622832035,0.352697734802425,0.352276946093545,0.198823156820827
"Monocytes_PB68",3.13938888450473e-19,0.436147205677973,0.480870289519426,0.0829825048026007
"T cells_PB69",0.0606457686759264,0.312739547517612,0.399208796444463,0.227405887361998
"T cells_PB70",-7.8888829576733e-19,0.909050212657217,0.0714252443877764,0.0195245429550066
"NK cells_PB71",0.684692484757007,0.223028955316573,0.0628441498701979,0.029434410056222
"T cells_PB72",0.048121469217281,0.385849588061771,0.324993374971746,0.241035567749203
"T cells_PB73",0.0892301453380278,0.221412594860016,0.45606539100972,0.233291868792236
"B cells_PB74",2.41817987038935e-06,0.187764315271132,0.068280859139008,0.74395240740999
"Monocytes_PB75",0.00812245517158937,0.514076332584948,0.423102972203285,0.0546982400401777
"B cells_PB76",0.00889510935235309,0.335886064404512,0.0724022615160902,0.582816564727044
"T cells_PB77",3.78673499388073e-20,0.775078347332341,0.176160521463599,0.0487611312040595
"NK cells_PB78",0.117899957508838,0.636178829411742,0.214536320341264,0.0313848927381551
"NK cells_PB79",0.31526813850919,0.443850539526048,0.155374541515267,0.0855067804494946
"T cells_PB80",0.0720070706467843,0.343816457046028,0.423098154060493,0.161078318246694
"B cells_PB81",1.12676119432679e-06,0.182435689711029,0.0547900489578496,0.762773134569928
"T cells_PB82",1.42430183405515e-19,0.687620862395077,0.21647517952218,0.0959039580827429
"T cells_PB83",0.0163847311757166,0.501657088783374,0.365532676605365,0.116425503435544
"B cells_PB84",5.33799595077196e-05,0.673347700002049,0.195832898015234,0.130766022023209
"T cells_PB85",0.0436718395775792,0.517345975593626,0.296281774953482,0.142700409875312
"B cells_PB86",8.21772370009596e-20,0.489632338965403,0.12932465598158,0.381043005053018
"B cells_PB87",0.0178696093995633,0.310401207621157,0.0729096210211186,0.598819561958161
"B cells_PB88",1.23905556035876e-06,0.383996038855774,0.0900000757571029,0.526002646331563
"T cells_PB89",-3.52822051520225e-19,0.85680829746108,0.0774129679027528,0.065778734636167
"T cells_PB90",0.0213024759746244,0.614913430967862,0.278548011518256,0.0852360815392578
"B cells_PB91",-1.59119464404774e-19,0.611976559327137,0.170965590166478,0.217057850506385
"T cells_PB92",1.02066302138246e-20,0.764453445235943,0.145140107412715,0.090406447351342
"B cells_PB93",0.0109301383529191,0.302455310471662,0.0798491807564108,0.606765370419008
"T cells_PB94",0.0364309693055742,0.658290230923288,0.233093677663862,0.0721851221072765
"B cells_PB95",9.91232110313541e-07,0.285900379986167,0.0886605451089154,0.625438083672808
"NK cells_PB96",0.417894242312466,0.408507869506559,0.105189648070213,0.0684082401107622
"B cells_PB97",4.38250639581182e-07,0.406074770011475,0.126704381478897,0.467220410258988
"T cells_PB98",0.0248861224784524,0.588464768937556,0.275246735191052,0.111402373392941
"B cells_PB99",7.28361341627477e-20,0.702507074887349,0.188043860937006,0.109449064175644
"NK cells_PB100",0.1155254989707,0.65718818644559,0.177395581581579,0.0498907330021307
"Monocytes_PB101",1.70060262051006e-21,0.828830226030332,0.0554610763936239,0.115708697576044
"T cells_PB102",5.62027053189537e-21,0.712660610134275,0.23078987119821,0.0565495186675144
"T cells_PB103",0.0548011031651903,0.498521285894533,0.29100835576507,0.155669255175206
"Monocytes_PB104",-5.60437443152252e-21,0.614984721166427,0.325426082463082,0.0595891963704909
"Monocytes_PB105",0.00937317707044285,0.392091818221813,0.591465921854271,0.00706908285347232
"Monocytes_PB106",-4.87497094848396e-19,0.765932345850584,0.181553126935157,0.0525145272142591
"B cells_PB107",0.00100588315612806,0.455525780918507,0.136487195504335,0.40698114042103
"T cells_PB108",4.64561939734525e-19,0.746562785855416,0.158790504689473,0.0946467094551111
"Monocytes_PB109",0.000596511197293703,0.756145547903345,0.142074996144475,0.101182944754886
"NK cells_PB110",0.0967253231638261,0.675295878361117,0.172920536448545,0.0550582620265115
"B cells_PB111",-2.9153640989529e-19,0.524558233209066,0.164559812509453,0.310881954281481
"B cells_PB112",2.04760285953106e-20,0.585603731915236,0.216450876742293,0.197945391342471
"B cells_PB113",5.82825941481012e-07,0.193068943861234,0.0450561787942317,0.761874294518593
"B cells_PB114",0.00999349327879961,0.311700335140956,0.0558421691872256,0.622464002393018
"Monocytes_PB115",6.92378333688518e-20,0.570065900106425,0.384471544474137,0.0454625554194381
"Monocytes_PB116",0.00242926221910103,0.414625402053024,0.582872937119246,7.23986086292511e-05
"T cells_PB117",9.23414023763785e-20,0.811512207077566,0.143001673761201,0.0454861191612322
"T cells_PB118",0.0573542747273003,0.416132750187889,0.42305081614532,0.103462158939491
"B cells_PB119",5.57390587240735e-07,0.173766062398407,0.0504714434283219,0.775761936782684
"Monocytes_PB120",1.36953639382689e-21,0.580476615885978,0.348973242960183,0.070550141153839
"T cells_PB121",8.75056926535706e-19,0.799705271577015,0.146877559520561,0.0534171689024248
"Monocytes_PB122",0.00563555152939336,0.36234527522329,0.556948115816091,0.0750710574312254
"T cells_PB123",0.0284613854542611,0.486969843543251,0.344096746828479,0.140472024174009
"T cells_PB124",0.100664558832193,0.323434027158504,0.378842827143662,0.19705858686564
"Monocytes_PB125",-3.24124121973642e-19,0.7189647098336,0.179097515883464,0.101937774282936
"B cells_PB126",0.000719829863585879,0.450640103532524,0.147988287839213,0.400651778764677
"B cells_PB127",3.03022746382072e-06,0.229499826320186,0.0781124024218807,0.692384741030469
"Monocytes_PB128",7.68275921069539e-20,0.408003355186374,0.525023787877285,0.0669728569363409
"B cells_PB129",3.43456196973107e-05,0.70008029410101,0.220702686276695,0.0791826740025977
"Monocytes_PB130",5.07963018567481e-20,0.59785766841191,0.328883776462653,0.0732585551254369
"Monocytes_PB131",0.00263706843958418,0.680793846293524,0.259722302652527,0.0568467826143641
"B cells_PB132",1.78665188611991e-19,0.583404877545624,0.160090995134224,0.256504127320153
"NK cells_PB133",0.128357232088681,0.622256908528538,0.162586575464756,0.086799283918025
"B cells_PB134",0.0282253829508958,0.496041615548739,0.136414422858685,0.33931857864168
"Monocytes_PB135",-9.90504045360372e-20,0.356038776363521,0.627369370864396,0.0165918527720825
"NK cells_PB136",0.295918948919488,0.529881186495429,0.143380021885634,0.0308198426994489
"Monocytes_PB137",-9.9074582091702e-20,0.616712934769963,0.312987723629102,0.0702993416009345
"Monocytes_PB138",-2.90702521786488e-20,0.552830432867837,0.421093874313156,0.0260756928190072
"NK cells_PB139",0.290008695347869,0.516085726249801,0.151528467244975,0.0423771111573548
"NK cells_PB140",0.858857378022069,0.0878199396847936,0.0510114235697757,0.00231125872336209
"NK cells_PB141",0.7559424964728,0.194859728513018,0.0168021077613129,0.03239566725287
"Monocytes_PB142",-3.08887979349858e-20,0.756723444909757,0.177456343556824,0.0658202115334183
"NK cells_PB143",0.400773769775146,0.434901522753036,0.12192769943062,0.042397008041198
"Monocytes_PB144",-1.24639235086489e-20,0.663483773215893,0.222686391881906,0.113829834902202
"T cells_PB145",0.0440751622659565,0.51238185138123,0.312645838200017,0.130897148152796
"T cells_PB146",0.113508157342865,0.24485154588703,0.425591061946472,0.216049234823633
"NK cells_PB147",0.539362885762677,0.337162466152845,0.0888264176097063,0.0346482304747719
"Monocytes_PB148",-1.15126997043871e-19,0.59975667442747,0.329968476553366,0.0702748490191633
"Monocytes_PB149",0.00720259978919433,0.835627510152671,0.0728911319350811,0.0842787581230535
