,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.0,0.2867383539534022,0.27865731216362877,0.43460433388296904
B cells_PB2,0.8388122984724857,0.06498470367343162,0.0,0.09620299785408268
T cells_PB3,0.0,0.34161449639108477,0.0,0.6583855036089152
B cells_PB4,0.6359154938448103,0.1469795665314756,0.0,0.21710493962371413
NK cells_PB5,0.0,0.373226287185441,0.05401766626439476,0.5727560465501642
NK cells_PB6,0.0,0.3506086555351157,0.06916751180615713,0.5802238326587271
NK cells_PB7,0.0,0.4880225979786906,0.003530616606099669,0.5084467854152098
B cells_PB8,0.8168494288161152,0.05340985273571687,0.0,0.12974071844816787
T cells_PB9,0.0,0.5144297644755588,0.0,0.4855702355244411
NK cells_PB10,0.0,0.08861117538911038,0.6650607728454443,0.2463280517654454
Monocytes_PB11,0.0,0.06453875149587568,0.0,0.9354612485041243
T cells_PB12,0.0,0.15011142032743446,0.0,0.8498885796725656
Monocytes_PB13,0.0,0.7909151211795863,0.0,0.2090848788204137
NK cells_PB14,0.0,0.3138105326952474,0.12563031794785323,0.5605591493568994
T cells_PB15,0.08944929682594387,0.6659479648982767,0.0,0.2446027382757795
T cells_PB16,0.026573533060808348,0.7192248756255956,0.0,0.25420159131359615
B cells_PB17,0.27071411560906344,0.25980572102391125,0.0,0.46948016336702536
B cells_PB18,0.5469339240888972,0.15539960313260714,0.0,0.29766647277849567
Monocytes_PB19,0.0,0.5825703525368214,0.0,0.4174296474631785
Monocytes_PB20,0.0,0.39368234530165247,0.0,0.6063176546983476
Monocytes_PB21,0.0,0.7221984439235039,0.0,0.27780155607649615
T cells_PB22,0.0514963418070306,0.7118545665780416,0.0,0.23664909161492778
NK cells_PB23,0.0,0.31697292618879214,0.18473760754719426,0.4982894662640137
B cells_PB24,0.3737633498467668,0.2248541568102199,0.0,0.40138249334301335
NK cells_PB25,0.0,0.1598805731246822,0.4821890958904436,0.357930330984874
B cells_PB26,0.7632874738839535,0.0631758379041614,0.0,0.17353668821188506
Monocytes_PB27,0.0,0.2986255473264357,0.0,0.7013744526735644
Monocytes_PB28,0.0,0.6242633099463072,0.0,0.3757366900536928
B cells_PB29,0.6109319174463281,0.1437202969315532,0.0,0.24534778562211876
NK cells_PB30,0.0,0.4803870070037436,0.0,0.5196129929962563
B cells_PB31,0.5808904818320592,0.13658061613888078,0.0,0.2825289020290601
T cells_PB32,0.09242104725813856,0.6711036824617133,0.0,0.23647527028014811
NK cells_PB33,0.0,0.43737740561656296,0.0062634437609141915,0.5563591506225228
T cells_PB34,0.0,0.14180561692989188,0.0,0.8581943830701082
Monocytes_PB35,0.0,0.858763669374962,0.0,0.141236330625038
NK cells_PB36,0.0,0.08029766086915119,0.8136455254337625,0.10605681369708646
NK cells_PB37,0.0,0.2603225778909582,0.25291662329542397,0.4867607988136179
T cells_PB38,0.04313221297176032,0.734266929252804,0.0,0.22260085777543562
NK cells_PB39,0.0,0.08865195134945263,0.7054839767925812,0.2058640718579662
NK cells_PB40,0.0,0.1881045341522015,0.449363492082783,0.36253197376501556
Monocytes_PB41,0.041459760483952474,0.2019206348794142,0.0,0.7566196046366334
T cells_PB42,0.010443634188596559,0.543564029361667,0.0,0.4459923364497365
B cells_PB43,0.006329609424979574,0.4871071203357582,0.0,0.5065632702392622
Monocytes_PB44,0.0,0.817977231685984,0.0,0.18202276831401595
NK cells_PB45,0.0,0.2700515629651377,0.21183609231985467,0.5181123447150077
B cells_PB46,0.6519748361232622,0.1328779229426781,0.0,0.21514724093405968
