,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.0,0.2576307618917821,0.30201516855073535,0.4403540695574825
B cells_PB2,0.7937972727878068,0.10222827915148616,0.0,0.1039744480607071
T cells_PB3,0.0,0.32418311770698427,0.0,0.6758168822930158
B cells_PB4,0.6195681157510611,0.1766765245106739,0.0,0.20375535973826514
NK cells_PB5,0.0,0.31801235481957835,0.08115647098720412,0.6008311741932175
NK cells_PB6,0.0,0.30222029880807744,0.08941324514068359,0.608366456051239
NK cells_PB7,0.0,0.408307794011541,0.0,0.591692205988459
B cells_PB8,0.7615880604365004,0.08558737472384388,0.0,0.15282456483965576
T cells_PB9,0.0,0.44492319026683874,0.0,0.5550768097331612
NK cells_PB10,0.0,0.12304512322750315,0.5401214033158451,0.33683347345665177
Monocytes_PB11,0.013623410089919767,0.11630896374472505,0.0,0.8700676261653553
T cells_PB12,0.0,0.2068218511626146,0.0,0.7931781488373854
Monocytes_PB13,0.0,0.688331226442564,0.0,0.311668773557436
NK cells_PB14,0.0,0.280331093662689,0.16655101157470414,0.5531178947626069
T cells_PB15,0.14213414237388233,0.546727442690836,0.0,0.31113841493528166
T cells_PB16,0.057822930554796564,0.594630770058878,0.0,0.34754629938632553
B cells_PB17,0.3214861384571858,0.2595451528649145,0.0,0.4189687086778997
B cells_PB18,0.5084865060903638,0.1888548814486681,0.0,0.3026586124609681
Monocytes_PB19,0.0,0.4918169791322058,0.0,0.5081830208677942
Monocytes_PB20,0.0031276731732985015,0.3561267575983149,0.0,0.6407455692283865
Monocytes_PB21,0.0,0.6092462497814353,0.0,0.3907537502185646
T cells_PB22,0.10372110218831723,0.5781601205973296,0.0,0.31811877721435333
NK cells_PB23,0.0,0.27739545407562394,0.2240422517480437,0.49856229417633235
B cells_PB24,0.39780618209612717,0.22725240046664322,0.0,0.3749414174372296
NK cells_PB25,0.0,0.17623693650775218,0.4260052512336587,0.39775781225858914
B cells_PB26,0.6995143051355408,0.10024926237098386,0.0,0.20023643249347534
Monocytes_PB27,0.011466706895985473,0.2986127444585382,0.0,0.6899205486454764
Monocytes_PB28,0.0,0.5196220628699517,0.0,0.48037793713004834
B cells_PB29,0.5814049144218498,0.18477075919371058,0.0,0.2338243263844396
NK cells_PB30,0.0,0.39814327624723655,0.0,0.6018567237527634
B cells_PB31,0.528616127246024,0.17426393944606372,0.0,0.29711993330791225
T cells_PB32,0.15816339604434237,0.542039559050784,0.0,0.29979704490487347
NK cells_PB33,0.0,0.37149360255703734,0.013853391109299399,0.6146530063336633
T cells_PB34,4.4766148429611915e-05,0.19668686700494079,0.0,0.8032683668466295
Monocytes_PB35,0.0,0.7672176532344255,0.0,0.2327823467655745
NK cells_PB36,0.0,0.11160777850962537,0.7462326752752307,0.14215954621514384
NK cells_PB37,0.0,0.2508997292991724,0.26013030172591983,0.4889699689749078
T cells_PB38,0.10119692323067332,0.6114084063081776,0.0,0.287394670461149
NK cells_PB39,0.0,0.11377331378489183,0.5960284537252285,0.29019823248987964
NK cells_PB40,0.0,0.19960550070388156,0.4157688397884158,0.3846256595077027
Monocytes_PB41,0.06242416644549514,0.2369536127596968,0.0,0.700622220794808
T cells_PB42,0.02201219664599293,0.4662466255446758,0.0,0.5117411778093314
B cells_PB43,0.025750884389235663,0.4215502830325423,0.0,0.552698832578222
Monocytes_PB44,0.0,0.7133905291996546,0.0,0.2866094708003453
NK cells_PB45,0.0,0.25682192995671044,0.24560390838961452,0.497574161653675
B cells_PB46,0.6221546157201476,0.17039874983731454,0.0,0.20744663444253778
NK cells_PB47,0.0,0.24682377148995546,0.2637338766015185,0.4894423519085261
Monocytes_PB48,0.0,0.5464479102634185,0.0,0.45355208973658145
Monocytes_PB49,0.0,0.5635253713628106,0.0,0.4364746286371895
NK cells_PB50,0.0,0.27158997237138327,0.12316156287180935,0.6052484647568074
T cells_PB51,0.0,0.17865942973988902,0.0,0.8213405702601109
Monocytes_PB52,0.0,0.6630718964350698,0.0,0.3369281035649303
Monocytes_PB53,0.0,0.72121922656997,0.0,0.2787807734300301
NK cells_PB54,0.0,0.07059107301766798,0.8614206741239534,0.06798825285837863
Monocytes_PB55,0.0,0.5978132491778718,0.0,0.40218675082212824
B cells_PB56,0.7425287033930458,0.09729964618365072,0.0,0.16017165042330347
NK cells_PB57,0.0,0.33669091354226616,0.0,0.6633090864577339
B cells_PB58,0.19324439326846107,0.3527046930551263,0.0,0.4540509136764126
Monocytes_PB59,0.058902588870634084,0.16463882374975897,0.0,0.7764585873796069
T cells_PB60,0.08894381656648473,0.5177389621848658,0.0,0.3933172212486496
Monocytes_PB61,0.0,0.43434760247017207,0.0,0.565652397529828
Monocytes_PB62,0.040705546516844444,0.3560750530120233,0.0,0.6032194004711322
B cells_PB63,0.7363234330825149,0.08724157734781264,0.0,0.17643498956967257
T cells_PB64,0.027731964353938286,0.5165421011166749,0.0,0.45572593452938687
Monocytes_PB65,0.0,0.35681823853316874,0.0,0.6431817614668313
Monocytes_PB66,0.0,0.5474244529640775,0.0,0.45257554703592257
T cells_PB67,0.09021958276542914,0.5629426643530046,0.0,0.3468377528815663
Monocytes_PB68,0.0,0.6713701070345005,0.0,0.3286298929654996
T cells_PB69,0.17595804439050033,0.5744214234575337,0.0,0.24962053215196606
T cells_PB70,0.0,0.15239730892315845,0.0,0.8476026910768416
NK cells_PB71,0.0,0.09708888589344414,0.7255262934730431,0.17738482063351277
T cells_PB72,0.13696973536594292,0.5306553026956039,0.0,0.3323749619384531
T cells_PB73,0.18460346751867948,0.6309032662436121,0.003980824461399889,0.18051244177630843
B cells_PB74,0.7393755787889361,0.1110561958704881,0.0,0.1495682253405758
Monocytes_PB75,0.0,0.6212363598467465,0.0,0.37876364015325337
B cells_PB76,0.6489633109847915,0.12288122580328993,0.0,0.22815546321191854
T cells_PB77,0.0,0.32068032950737596,0.0,0.679319670492624
NK cells_PB78,0.0,0.38614616276501723,0.01791729272805968,0.5959365445069231
NK cells_PB79,0.0,0.2957913713487739,0.29711030985060777,0.4070983188006183
T cells_PB80,0.06891711955567462,0.6175447759324949,0.0,0.31353810451183045
B cells_PB81,0.7500372680021747,0.09678449724075897,0.0,0.1531782347570663
T cells_PB82,0.028043376478653705,0.37604322214093894,0.0,0.5959134013804073
T cells_PB83,0.047671136133118255,0.5544074697449065,0.0,0.39792139412197525
B cells_PB84,0.06802324007359815,0.35434797385134464,0.0,0.5776287860750573
T cells_PB85,0.05837270979579498,0.4845426383591398,0.0,0.45708465184506525
B cells_PB86,0.352354143550717,0.222992935141376,0.0,0.424652921307907
B cells_PB87,0.6646931364709886,0.12038536972742565,0.0,0.21492149380158576
B cells_PB88,0.579495490829594,0.13706459911493035,0.0,0.2834399100554758
T cells_PB89,0.0036516096185443556,0.1521892254336013,0.0,0.8441591649478543
T cells_PB90,0.0,0.48669445115402044,0.0,0.5133055488459796
B cells_PB91,0.11747861787172414,0.32959182591894026,0.0,0.5529295562093356
T cells_PB92,0.03232505683335048,0.2799008567659992,0.0,0.6877740864006504
B cells_PB93,0.7152622389242864,0.11910882406018905,0.0,0.16562893701552456
T cells_PB94,0.0,0.4051524056489579,0.0,0.5948475943510422
B cells_PB95,0.665790803495835,0.1304691579439201,0.0,0.2037400385602449
NK cells_PB96,0.0,0.18596398865081107,0.443818384614076,0.37021762673511294
B cells_PB97,0.5056375708902816,0.20129817151684376,0.0,0.2930642575928746
T cells_PB98,0.03197376570319935,0.47349659613191025,0.0,0.49452963816489043
B cells_PB99,0.05739545098172009,0.33547059329950085,0.0,0.607133955718779
NK cells_PB100,0.0,0.3274752152565521,0.0,0.6725247847434479
Monocytes_PB101,0.09934707298260587,0.11990130300971175,0.0,0.7807516240076824
T cells_PB102,0.0,0.40190213564409505,0.0,0.598097864355905
T cells_PB103,0.03089729967956393,0.5130633754661039,0.0,0.45603932485433224
Monocytes_PB104,0.0,0.5328618534190849,0.0,0.4671381465809152
Monocytes_PB105,0.0,0.730850875446572,0.0,0.26914912455342793
Monocytes_PB106,0.0,0.32673030785374624,0.0,0.6732696921462538
B cells_PB107,0.42195000788183173,0.22345479154383843,0.0,0.3545952005743299
T cells_PB108,0.025060185544197724,0.2896871573099188,0.0,0.6852526571458835
Monocytes_PB109,0.05622999536823669,0.2712335346572871,0.0,0.6725364699744762
NK cells_PB110,0.0,0.3501496756874104,0.0,0.6498503243125896
B cells_PB111,0.3349976893869094,0.26617192293332087,0.0,0.3988303876797697
B cells_PB112,0.12066237293518633,0.38324920670943097,0.0,0.49608842035538275
B cells_PB113,0.7937991664198394,0.08076977031243562,0.0,0.12543106326772505
