,B cells,Monocytes,NK cells,T cells
NK cells_PB1,0.0,0.2780834550068651,0.37523989806769775,0.3466766469254371
B cells_PB2,0.9404384625809519,0.0521093480112267,0.00745218940782135,0.0
T cells_PB3,0.01376116683347105,0.35992808472301424,0.012543391720904733,0.61376735672261
B cells_PB4,0.8756951609078355,0.09428295445072603,0.00896362166391018,0.021058262977528247
NK cells_PB5,0.0,0.37707534110060653,0.10533400347277808,0.5175906554266154
NK cells_PB6,0.013049375715551577,0.3416739602231384,0.1329376265638106,0.5123390374974995
NK cells_PB7,0.041159562443880464,0.48504544667528565,0.044158443756232756,0.42963654712460114
B cells_PB8,0.9515437207654537,0.040154709238553854,0.004205033596079055,0.00409653639991337
T cells_PB9,0.006499464810553842,0.5325777573032827,0.0035690524472997845,0.45735372543886366
NK cells_PB10,0.0,0.09956059605691454,0.6817881657072699,0.21865123823581573
Monocytes_PB11,0.05101386530042315,0.09143655421809388,0.0,0.8575495804814829
T cells_PB12,0.01672142002022181,0.20719209227387028,0.0,0.7760864877059078
Monocytes_PB13,0.0,0.8351238774112472,0.002790799887375028,0.1620853227013779
NK cells_PB14,0.00570554068668683,0.3255015827092297,0.21524480671105053,0.45354806989303303
T cells_PB15,0.3882103488449274,0.5298398042249863,0.0,0.0819498469300863
T cells_PB16,0.22173342078854857,0.6604525436459505,0.0,0.11781403556550103
B cells_PB17,0.6211422485263806,0.1684259495320063,0.0,0.21043180194161323
B cells_PB18,0.792634104576109,0.10139157073554862,0.0,0.10597432468834235
Monocytes_PB19,0.010850529351367372,0.5907689952385783,0.0,0.39838047541005434
Monocytes_PB20,0.047500401735044724,0.3797534718289182,0.010262221356722598,0.5624839050793145
Monocytes_PB21,0.0,0.742916067410658,0.0,0.257083932589342
T cells_PB22,0.30076180187980767,0.6222901131313663,0.003929033366455393,0.07301905162237064
NK cells_PB23,0.0,0.3095417332443566,0.2998069759252982,0.39065129083034517
B cells_PB24,0.7242429754117182,0.1294834925957834,0.0,0.14627353199249832
NK cells_PB25,0.0,0.16600454600194975,0.5425657970763493,0.291429656921701
B cells_PB26,0.9279305906637411,0.048910592214585616,0.0,0.02315881712167336
Monocytes_PB27,0.09893625165071401,0.29218560410169614,0.0,0.6088781442475898
Monocytes_PB28,0.07607128282735177,0.6152882298742539,0.0005639771090406819,0.30807651018935367
B cells_PB29,0.8413559440722103,0.09942802463831421,0.0,0.059216031289475585
NK cells_PB30,0.009055830589116956,0.49655235815497833,0.04870204035222423,0.44568977090368034
B cells_PB31,0.8243974336228704,0.09033058883733966,0.0,0.08527197753978995
T cells_PB32,0.36691203562776986,0.5584220513177058,0.01012496157944019,0.06454095147508425
NK cells_PB33,0.00887535331146368,0.4367027746097761,0.05248880567439142,0.5019330664043689
T cells_PB34,0.020727248259347367,0.17586444931591033,0.0,0.8034083024247423
Monocytes_PB35,0.0020843675659426774,0.9332120634491937,0.005797386840396621,0.05890618214446697
NK cells_PB36,0.0075467430451647425,0.10118898974454456,0.8479544061247161,0.04330986108557465
NK cells_PB37,0.061344444607437,0.2530316176551346,0.3425945715356683,0.3430293662017601
T cells_PB38,0.2155518601575106,0.6885238366959491,0.008688391799977966,0.08723591134656236
NK cells_PB39,0.0,0.08237329640982341,0.7341613460385564,0.18346535755162013
NK cells_PB40,0.0,0.18868259690387998,0.5381606968724657,0.27315670622365434
Monocytes_PB41,0.24369710920185472,0.191970734954451,0.0,0.5643321558436942
T cells_PB42,0.16675170022340294,0.5058437408400831,0.00020803492831141098,0.32719652400820237
B cells_PB43,0.13612424712575058,0.4562902601122516,0.005101895235294286,0.4024835975267036
Monocytes_PB44,0.0,0.8571481634882876,0.0015537551060097227,0.14129808140570257
NK cells_PB45,0.01166336823439376,0.28507534998641154,0.2999008157112217,0.40336046606797293
B cells_PB46,0.8598964304490067,0.08935187676456915,0.0,0.05075169278642418
NK cells_PB47,0.003915512059392614,0.2577384603377179,0.3602652640721516,0.3780807635307379
Monocytes_PB48,0.0,0.6724376084394572,0.0,0.3275623915605429
Monocytes_PB49,0.0,0.6858973553668931,0.0,0.3141026446331069
