"","NK cells","T cells","Monocytes","B cells"
"NK cells_PB1",0.285808689189315,0.436775417387537,0.26226292857388,0.0151529648492684
"B cells_PB2",0.0146262152466741,0.123033984723063,0.111983893347712,0.750355906682551
"T cells_PB3",0,0.702249988559843,0.27154839824605,0.0262016131941072
"B cells_PB4",0.00713489810672137,0.237755657873717,0.201228580554275,0.553880863465287
"NK cells_PB5",0.133557173521553,0.577665156036481,0.268393244458384,0.0203844259835821
"NK cells_PB6",0.164105667919309,0.541882411954449,0.281669410028643,0.0123425100975988
"NK cells_PB7",0.0859016877692531,0.496090642563102,0.349156215233106,0.0688514544345388
"B cells_PB8",0.00892597189004483,0.174202033602637,0.0894170694728533,0.727454925034464
"T cells_PB9",0,0.615261502960755,0.351700708528435,0.0330377885108099
"NK cells_PB10",0.451884054402666,0.361397275418487,0.152267367054991,0.0344513031238555
"Monocytes_PB11",0.0227230633866171,0.793187187359845,0.100153660607414,0.0839360886461242
"T cells_PB12",0.0058909751711624,0.809630613809663,0.184478411019174,0
"Monocytes_PB13",0.0203334466601135,0.298362917050005,0.681303636289881,0
"NK cells_PB14",0.217114038197849,0.482120465699502,0.259865432057711,0.0409000640449382
"T cells_PB15",0.0295218888824521,0.320316091562102,0.495666114006878,0.154495905548568
"T cells_PB16",0.0474208369003969,0.299075429613588,0.577485818772126,0.0760179147138895
"B cells_PB17",0.00918370638608484,0.451875884294043,0.238468609059055,0.300471800260817
"B cells_PB18",0,0.304351444424336,0.202292134458188,0.493356421117477
"Monocytes_PB19",0,0.585711915301014,0.390305905493627,0.0239821792053599
"Monocytes_PB20",0,0.662008487898197,0.299931040335829,0.0380604717659732
"Monocytes_PB21",0.00455909890712787,0.451760496417868,0.524071719496682,0.019608685178323
"T cells_PB22",0.0816793929577196,0.253265825849876,0.584623661186263,0.0804311200061413
"NK cells_PB23",0.252092699399411,0.445284829796196,0.294223906948154,0.00839856385623933
"B cells_PB24",0.0163764361480204,0.400031130979848,0.212478153239362,0.371114279632769
"NK cells_PB25",0.35461738924971,0.425403541667002,0.196389746976126,0.0235893221071624
"B cells_PB26",0.00255112446789533,0.219105536525307,0.106231078794621,0.672112260212177
