,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.11807883609594907,0.3010845324153912,0.0,0.2212390036709573,0.10693278702932783,0.25266484078837476
Monocytes_PB2,0.13890668777009194,0.20477395103729046,0.0,0.35051822070527144,0.11156183909896532,0.1942393013883808
DC_PB3,0.09918235642644602,0.3259015447676382,0.0,0.17092286901526263,0.058306466736682286,0.3456867630539709
NK cells_PB4,0.16666662440217989,0.16666666342816525,0.1666664910982344,0.16666670438964,0.16666677792848622,0.16666673875329432
DC_PB5,0.15681691076092907,0.2741156150847101,0.0,0.12483119255491298,0.1065736444115628,0.33766263718788514
DC_PB6,0.1666666763156776,0.16666691134487024,0.166666114502355,0.16666682176037143,0.16666650812742906,0.16666696794929672
HSC_PB7,0.1359921296061213,0.23101962752098576,0.0,0.2627468680590997,0.08630006198772411,0.283941312826069
B cells_PB8,0.33357054357416605,0.2020733780051659,0.0,0.1359984675220945,0.13182668395921243,0.1965309269393611
Monocytes_PB9,0.16666644114073484,0.1666671924407179,0.166665124712836,0.16666753163102158,0.16666613876249975,0.16666757131218995
NK cells_PB10,0.166666626123354,0.16666666761233936,0.1666664973238356,0.16666666703418495,0.1666667842163405,0.16666675768994554
NK cells_PB11,0.16666350060902246,0.16667255436414805,0.1666538275854435,0.16666809384781728,0.166662824132457,0.16667919946111173
DC_PB12,0.12935266732948109,0.4165592231285315,0.0,0.18199777402290615,0.11413257929824688,0.15795775622083422
NK cells_PB13,0.1666666162247754,0.1666666724787675,0.16666647730969988,0.1666666769558818,0.16666680960838964,0.16666674742248588
DC_PB14,0.13813612909954176,0.2744912037951153,0.0,0.11887122380953757,0.10437384685614554,0.3641275964396598
T cells_PB15,0.12974487109711946,0.21623469888183414,0.0,0.29555389360396644,0.14001586916262815,0.2184506672544519
T cells_PB16,0.16666657667934914,0.16666666968413987,0.16666628796460928,0.16666709823001152,0.1666666109117935,0.16666675653009674
B cells_PB17,0.25773147119122425,0.20141327219426608,0.0,0.2352524103203517,0.13989255214064605,0.16571029415351193
NK cells_PB18,0.16666662522337475,0.16666667800434737,0.16666647494760617,0.16666667513338604,0.16666681522878332,0.16666673146250227
HSC_PB19,0.16666653652304164,0.16666699680221161,0.16666616845907375,0.16666669155637168,0.1666663323174788,0.16666727434182252
B cells_PB20,0.17380425724900556,0.20898682283351433,0.0,0.1880808240917136,0.06699189504851541,0.36213620077725106
NK cells_PB21,0.16666664419398303,0.16666667172794675,0.1666664754731046,0.1666666803557268,0.1666668124081028,0.16666671584113604
HSC_PB22,0.10690195275212278,0.23425366630593106,0.0,0.18866942575001847,0.05733392213226817,0.4128410330596596
B cells_PB23,0.1666667961287298,0.16666680671422485,0.16666612359454822,0.1666666397074784,0.1666665987257741,0.16666703512924455
HSC_PB24,0.16666656473845143,0.16666677305069094,0.16666637265754097,0.16666680423839245,0.16666660768347,0.1666668776314542
B cells_PB25,0.16666704373939598,0.16666689682701538,0.16666566998821342,0.16666664000678907,0.166666478973399,0.16666727046518715
T cells_PB26,0.1666666046407469,0.1666666753437648,0.16666642401334048,0.1666667255389557,0.16666664671973658,0.16666692374345562
HSC_PB27,0.1666664716878313,0.1666671418386704,0.1666658764191194,0.16666659587784985,0.16666623240297118,0.16666768177355795
Monocytes_PB28,0.16666224661527554,0.16667093822114354,0.16664950883279414,0.166674982500771,0.1666609345954894,0.16668138923452636
NK cells_PB29,0.16666661784666398,0.16666667178448136,0.16666648593665348,0.16666670100606962,0.1666667770171351,0.16666674640899642
NK cells_PB30,0.16666661219100598,0.16666673185999967,0.16666625251786266,0.16666675684926832,0.16666665607289613,0.16666699050896738
T cells_PB31,0.1326442987222008,0.20822789968950622,0.0,0.24988862091591907,0.07684028952053172,0.33239889115184207
HSC_PB32,0.2188808566355125,0.21838703987334881,0.0,0.24087524521815296,0.07859480132250687,0.24326205695047884
DC_PB33,0.16666675565520297,0.1666671907457205,0.16666561341259795,0.16666683017163791,0.16666661703327218,0.16666699298156842
NK cells_PB34,0.16666662381868066,0.1666666673594151,0.16666650576954894,0.16666665850815998,0.16666681108805195,0.1666667334561432
B cells_PB35,0.3376170438332678,0.20720643993262847,0.0,0.17467372525898464,0.10086972207797767,0.17963306889714142
HSC_PB36,0.0,0.41935374864394065,0.16052250897279782,0.08860431306092763,0.016961980416912534,0.31455744890542137
