,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.0,0.7506823730110873,0.2409408455150959,0.0,0.0,0.008376781473816737
Monocytes_PB2,0.0,0.010118929288824956,0.3275654852970051,0.5859899827708287,0.0,0.07632560264334133
DC_PB3,0.0,0.8346154914507249,0.1653845085492752,0.0,0.0,0.0
NK cells_PB4,0.0,0.10432034509883079,0.3051314969218962,0.0,0.442084867973112,0.14846329000616104
DC_PB5,0.019417693218176386,0.43307753484050576,0.3023558825521341,0.0,0.0,0.2451488893891837
DC_PB6,0.0,0.5642258718495322,0.2595858198578107,0.0,0.0,0.17618830829265708
HSC_PB7,0.0,0.16863498231224328,0.41968273793383176,0.2397509805656969,0.0,0.171931299188228
B cells_PB8,0.6728219552662968,0.0,0.2844654181611483,0.0,0.0,0.0427126265725549
Monocytes_PB9,0.0,0.0690100463866779,0.36040961026901003,0.3251620476964707,0.0,0.24541829564784132
NK cells_PB10,0.0,0.0,0.2764551907796372,0.0,0.6539116522354188,0.06963315698494393
NK cells_PB11,0.0,0.24906489065374965,0.3451063811201641,0.10607443950815454,0.0,0.29975428871793175
DC_PB12,0.0,0.8433718814345262,0.15662811856547382,0.0,0.0,0.0
NK cells_PB13,0.0,0.0,0.32089645963043245,0.0,0.6727861238711408,0.006317416498426831
DC_PB14,0.02119108017597626,0.37186699070320894,0.3129764363176493,0.0,0.0,0.29396549280316553
T cells_PB15,0.0,0.22835088252492605,0.3117785398489216,0.257571043360757,0.04643813762432687,0.15586139664106852
T cells_PB16,0.0,0.0,0.3555727213623344,0.5468671130314413,0.0,0.09756016560622434
B cells_PB17,0.30084661227016746,0.22501393153224694,0.3434943043106928,0.0,0.0784777689623696,0.05216738292452332
NK cells_PB18,0.0,0.034541909714675835,0.3461423350831923,0.0,0.40345853366790424,0.2158572215342277
HSC_PB19,0.05997319936694372,0.09319799051145547,0.6698721447506495,0.0,0.0,0.1769566653709514
B cells_PB20,0.22458454651211193,0.222890332823762,0.33991462588398264,0.0,0.0,0.21261049478014338
NK cells_PB21,0.0,0.08105367357748168,0.3175140179601267,0.0,0.48961149613467647,0.11182081232771517
HSC_PB22,0.0,0.09370631660186249,0.5747781592328819,0.0,0.0,0.33151552416525554
B cells_PB23,0.33441283214435086,0.0,0.33871668794891074,0.0,0.0,0.3268704799067384
HSC_PB24,0.011560246041259784,0.02606216242349568,0.7361051145088209,0.0,0.0,0.22627247702642372
B cells_PB25,0.5048097861005941,0.0,0.3629035817337724,0.0,0.0,0.13228663216563347
T cells_PB26,0.0,0.09571472498910397,0.3703386597420486,0.1372590500661453,0.0,0.396687565202702
HSC_PB27,0.0,0.13427236735314624,0.5403284106757786,0.0,0.0,0.32539922197107507
Monocytes_PB28,0.0,0.05454363488786337,0.3645497317828421,0.27307872055590093,0.0,0.3078279127733935
NK cells_PB29,0.0,0.1846203248244792,0.3079641476304551,0.0,0.3683961070673671,0.13901942047769855
NK cells_PB30,0.0,0.25024077602302985,0.3267165460943753,0.04890590829346908,0.07435175756594757,0.2997850120231782
T cells_PB31,0.0,0.05562967742647424,0.3617378274130743,0.2917942670731869,0.0,0.29083822808726456
HSC_PB32,0.19774757210923977,0.15164767114545935,0.4900242138961698,0.06015084645724499,0.0,0.10042969639188602
DC_PB33,0.02533425107975976,0.4471761366363979,0.3063932498717692,0.0,0.02025947539408505,0.20083688701798807
NK cells_PB34,0.0,0.0,0.2552986319085105,0.0,0.6441422402267063,0.10055912786478334
B cells_PB35,0.6943421781686522,0.0,0.30008985640263086,0.0,0.0,0.005567965428716887
HSC_PB36,0.0,0.08801481218389177,0.8425174719601696,0.0,0.023684351735615915,0.045783364120322634
T cells_PB37,0.0,0.14991975874917962,0.3386698124768454,0.2265729544740283,0.09779419171918496,0.18704328258076167
DC_PB38,0.0,0.47414808756972854,0.3071799991622125,0.00784584990435592,0.0,0.21082606336370296
NK cells_PB39,0.02512633236629477,0.0,0.2909406216993383,0.0,0.5006856727187512,0.18324737321561568
NK cells_PB40,0.0,0.10935127869923336,0.26730269885235736,0.0,0.3431217045156504,0.2802243179327589
HSC_PB41,0.0,0.10626432845633843,0.5296595717420602,0.11924691271592909,0.0,0.2448291870856722
Monocytes_PB42,0.0,0.16598806239951744,0.3535300964676201,0.17367706131135396,0.0,0.3068047798215084
Monocytes_PB43,0.13168901294262533,0.005547230781499909,0.3297322297284324,0.0,0.0,0.5330315265474425
NK cells_PB44,0.0,0.009577013925458991,0.2851499694030841,0.0,0.677840329427124,0.02743268724433277
NK cells_PB45,0.0,0.10708743953890426,0.3504786335896638,0.020302905954287364,0.2296675518498927,0.2924634690672519
DC_PB46,0.0,0.8129909274250896,0.1870090725749104,0.0,0.0,0.0
NK cells_PB47,0.0,0.2055512816153957,0.32158756626217355,0.0,0.2748677447071478,0.19799340741528304
HSC_PB48,0.0036915631824151265,0.06283084396438542,0.6942550725374041,0.0,0.0,0.23922252031579536
T cells_PB49,0.0,0.11432997218309765,0.35102813056982024,0.19524223013527495,0.0,0.33939966711180725
DC_PB50,0.0,0.47575227235538187,0.2869284751168113,0.0,0.0,0.2373192525278068
DC_PB51,0.0,0.8988239087688444,0.10117609123115556,0.0,0.0,0.0
B cells_PB52,0.6334954337957718,0.0,0.2925420352145348,0.0,0.0,0.07396253098969348
NK cells_PB53,0.005958785989644177,0.0,0.28033506642750294,0.0,0.7137061475828528,0.0
DC_PB54,0.0,0.8145546446937679,0.18544535530623207,0.0,0.0,0.0
NK cells_PB55,0.0,0.11482656750507443,0.3516899617952277,0.04196344500226258,0.4441616279477156,0.047358397749719734
T cells_PB56,0.0,0.040226920321570186,0.35089156058742765,0.0,0.0,0.6088815190910022
T cells_PB57,0.09646692353964466,0.1269708911512119,0.34263941128350606,0.3615255706653235,0.0,0.07239720336031391
Monocytes_PB58,0.0,0.22567919695248984,0.35451124102749515,0.0,0.0,0.419809562020015
DC_PB59,0.033120859813540515,0.451132105187422,0.3241784399974963,0.04578731644501754,0.0,0.14578127855652365
HSC_PB60,0.0,0.027294849524094864,0.5967272644157741,0.0,0.0,0.3759778860601311
