name,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.10390865405210027,0.718285832565137,0.05734775949021297,0.1006547713350854,0.0,0.019802982557464432
Monocytes_PB2,0.0,0.20141886575959725,0.10000401904048084,0.665092001678538,0.03348511352138394,0.0
DC_PB3,0.0,0.6956380504649363,0.006617818447715934,0.17455430171224998,0.047892679647751825,0.07529714972734594
NK cells_PB4,0.1374016401874439,0.03430429451979085,0.09879857332132633,0.25019314901661166,0.4793023429548271,0.0
DC_PB5,0.310530413823839,0.297629670079003,0.10158799446698079,0.194579191059235,0.0,0.09567273057094221
DC_PB6,0.0677110235649438,0.4508229686730474,0.05694074342755276,0.2572315910585538,0.0576025259759662,0.10969114729993606
HSC_PB7,0.0,0.17072432104080026,0.18851964649884967,0.5181507046404682,0.12260532781988201,0.0
B cells_PB8,0.8845184799586698,0.0,0.11118601178442156,0.0,0.004295508256908562,0.0
Monocytes_PB9,0.05852135778605236,0.009746398418591436,0.11717891458293128,0.581599373980037,0.10504397258658998,0.127909982645798
NK cells_PB10,0.028707062026762934,0.0,0.10411332961536168,0.0,0.7508539893093439,0.11632561904853143
NK cells_PB11,0.11339399303955165,0.14466505017501682,0.0896208781316428,0.3972361434539269,0.20430660110746604,0.050777334092395855
DC_PB12,0.0,0.8157732422190962,0.020390411077336957,0.1604604927436433,0.0033758539599235,0.0
NK cells_PB13,0.0,0.022341819611923348,0.1326553802580002,0.22339806283465116,0.6216047372954252,0.0
DC_PB14,0.476970733458807,0.20180132493308445,0.13070964900137458,0.10303268686029217,0.05651680094661005,0.03096880479983178
T cells_PB15,0.04119181174223279,0.21150258406283587,0.09531331225135983,0.5603015748347875,0.09169071710878393,0.0
T cells_PB16,0.0030279983913745214,0.1021718835817363,0.06708576083457146,0.780682330603732,0.04703202658858561,0.0
B cells_PB17,0.2769009578601202,0.022696265138067915,0.09646399329492748,0.44930615624886583,0.15463262745801845,0.0
NK cells_PB18,0.1013291078618833,0.06832922522075045,0.11216838623657244,0.18252928015863765,0.5356440005221561,0.0
HSC_PB19,0.20596543144980164,0.08662967382381749,0.6349430045574437,0.00073112061087824,0.0,0.07173076955805892
B cells_PB20,0.34760718272142743,0.19868118783495664,0.08605749440912294,0.31464949405885734,0.0,0.05300464097563571
NK cells_PB21,0.21880786329637764,0.040192080102864965,0.11612901822272327,0.13090113615611954,0.4939699022219146,0.0
HSC_PB22,0.15233436016897084,0.013755397281800546,0.4964792832118585,0.1746392714312986,0.0,0.16279168790607154
B cells_PB23,0.2664258677097359,0.07421806856684518,0.07689649281503169,0.20236905129896843,0.07847893971537853,0.30161157989404014
HSC_PB24,0.048232786121486314,0.0,0.700904242486331,0.0007989620679473247,0.0,0.2500640093242354
B cells_PB25,0.7233094440205593,0.0,0.12203987994299201,0.09127441032308219,0.0,0.06337626571336648
