,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.17176155581849986,0.6098325300035555,0.0,0.11389404520402925,0.1045118689739153,0.0
Monocytes_PB2,0.054578119352081185,0.08202342686075413,0.0,0.6707166990469497,0.16477864197158051,0.02790311276863431
DC_PB3,0.0,0.7514761831200972,0.0,0.08645207678428808,0.1620717400956147,0.0
NK cells_PB4,0.2800104343512384,0.2466086551473159,0.0,0.16072509334892726,0.3126558171525184,0.0
DC_PB5,0.4014657701574711,0.4832496181963812,0.0,0.0,0.11528461164614758,0.0
DC_PB6,0.2545338268483512,0.5862656126082753,0.0,0.08029700755986799,0.07890355298350549,0.0
HSC_PB7,0.18174871254843994,0.2494467910866213,0.2063864498870629,0.19107006458015152,0.17134798189772432,0.0
B cells_PB8,0.5319269703386802,0.14601279509277473,0.03232260764345133,0.12283648520609537,0.16690114171899834,0.0
Monocytes_PB9,0.2454957810979961,0.10361948352615478,0.0,0.4899581528986449,0.1609265824772041,0.0
NK cells_PB10,0.1571512373472193,0.2253182855391325,0.0,0.15121873848698922,0.4663117386266591,0.0
NK cells_PB11,0.2912773247138645,0.4171135151151181,0.0,0.14459930274866606,0.14700985742235112,0.0
DC_PB12,0.0,0.86664906925857,0.0,0.041542300234224575,0.09180863050720534,0.0
NK cells_PB13,0.20487253666768024,0.19359920255018312,0.0,0.17099740707483566,0.43053085370730104,0.0
DC_PB14,0.32945320894348196,0.451969173874339,0.0,0.0,0.21857761718217902,0.0
T cells_PB15,0.24579557843535108,0.4470279617125219,0.0,0.05108360443631614,0.25609285541581084,0.0
T cells_PB16,0.16894747720174605,0.09965971494615736,0.0,0.518774817010833,0.2126179908412637,0.0
B cells_PB17,0.44442544506009996,0.3560312308004584,0.023460281842495077,0.01166658526176923,0.16441645703517727,0.0
NK cells_PB18,0.21647913418820638,0.19434238103237536,0.0,0.2591971090762417,0.32998137570317654,0.0
HSC_PB19,0.15686581183280476,0.24517578101625853,0.3842370008305376,0.09698665444454076,0.11673475187585841,0.0
B cells_PB20,0.3810800261991357,0.35426101175433605,0.0,0.26465896204652817,0.0,0.0
NK cells_PB21,0.24727151302423622,0.3877414053379303,0.08160820934598344,0.0,0.28337887229185027,0.0
HSC_PB22,0.19763542955291338,0.28963801883554074,0.2832502069905684,0.0,0.2294763446209774,0.0
B cells_PB23,0.4388227155146971,0.28431199995607487,0.0,0.13989269277249566,0.1369725917567325,0.0
HSC_PB24,0.28044273876135184,0.08894626850886382,0.39533465092750414,0.09578244449349207,0.13949389730878808,0.0
B cells_PB25,0.4653921827254701,0.1689727144734335,0.06069035780271867,0.15968460619199182,0.145260138806386,0.0
T cells_PB26,0.2148917516005729,0.11841632516375242,0.0,0.4312774073496784,0.23541451588599627,0.0
HSC_PB27,0.3134945488250703,0.19171011578402322,0.28871510960875657,0.02974899878436352,0.17633122699778647,0.0
Monocytes_PB28,0.1300635839550781,0.022027474468094107,0.0,0.5786504783600079,0.26925846321681984,0.0
NK cells_PB29,0.2737764567865297,0.4356568828771746,0.0,0.03477222558356432,0.25579443475273134,0.0
NK cells_PB30,0.36072752469657904,0.35074812227062324,0.0,0.0733040074212424,0.2152203456115552,0.0
T cells_PB31,0.2851022507292746,0.08103072262875965,0.07991023309208549,0.3882016902333332,0.16575510331654722,0.0
HSC_PB32,0.3122237161548024,0.16269854212133422,0.2642576710824171,0.12914737304375687,0.13167269759768943,0.0
DC_PB33,0.3098118774535994,0.4576173408804236,0.0,0.02384228258469063,0.20872849908128638,0.0
NK cells_PB34,0.0,0.5455613309249102,0.0,0.0,0.4544386690750898,0.0
B cells_PB35,0.4394487668482458,0.2521624090170768,0.06091881390658566,0.13649603628743184,0.11097397394066,0.0
HSC_PB36,0.15874243843725777,0.14830948950539682,0.3500944710807906,0.14076195839655944,0.2020916425799953,0.0
T cells_PB37,0.27986087807202653,0.21481936562970008,0.0,0.24213107185543237,0.26318868444284105,0.0
DC_PB38,0.30875384274650597,0.462371687379496,0.0,0.17236872206937162,0.05650574780462634,0.0
NK cells_PB39,0.3715373417886844,0.28034802497307126,0.0,0.0,0.34811463323824426,0.0
NK cells_PB40,0.17970428789720108,0.3469665859833421,0.08100236627295203,0.2211886828523363,0.17113807699416841,0.0
HSC_PB41,0.20225706014965597,0.02246356218452027,0.3191593972692133,0.311774770752058,0.1443452096445525,0.0
Monocytes_PB42,0.2012506143221385,0.29372147520710146,0.0,0.31513704649041996,0.18989086398034014,0.0
Monocytes_PB43,0.5510231131314574,0.16795385392341008,0.0,0.12305628757007843,0.15796674537505423,0.0
NK cells_PB44,0.0,0.556997451180125,0.0,0.0,0.443002548819875,0.0
NK cells_PB45,0.16993362253827088,0.10565840149536787,0.0,0.3979889595169688,0.3264190164493925,0.0
DC_PB46,0.04726701175569924,0.760903281441077,0.0,0.04991417116697837,0.14191553563624526,0.0
NK cells_PB47,0.188317885939474,0.4968782163302739,0.0,0.0,0.3148038977302521,0.0
HSC_PB48,0.16667503355424232,0.20760002608907413,0.4260493251480492,0.05519232749518183,0.14448328771345234,0.0
T cells_PB49,0.23674950799153757,0.22899165640899838,0.0,0.37475313064198446,0.15950570495747965,0.0
DC_PB50,0.22547123745075065,0.5315526127500657,0.0,0.0,0.24297614979918356,0.0
