,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.32886317156082273,0.11421518662038987,0.5569216418187874,0.0
B cells_PB2,0.5844147252347959,0.027517099197193792,0.3880681755680104,0.0
NK cells_PB3,0.13857292304229862,0.061263774899677714,0.8001633020580237,0.0
T cells_PB4,0.07918629728937217,0.22453141762778017,0.6962822850828477,0.0
T cells_PB5,0.02761117306240387,0.4317431007662381,0.540645726171358,0.0
NK cells_PB6,0.13327680053137372,0.16410796726118604,0.7026152322074402,0.0
T cells_PB7,0.0,0.4282321397672454,0.5717678602327546,0.0
NK cells_PB8,0.0,0.0977249425037875,0.9022750574962125,0.0
Monocytes_PB9,0.08821582631181217,0.3582726215290834,0.5535115521591044,0.0
B cells_PB10,0.5694364444321978,0.014135305300629245,0.41642825026717306,0.0
Monocytes_PB11,0.30885733228899676,0.01465897997301925,0.676483687737984,0.0
B cells_PB12,0.5863608766932057,0.012224719846363355,0.40141440346043095,0.0
T cells_PB13,0.25823078332576327,0.05099410014967804,0.6907751165245587,0.0
NK cells_PB14,0.027534782609246935,0.21651757542087452,0.7559476419698785,0.0
B cells_PB15,0.2318356468372743,0.17394925252668134,0.5942151006360444,0.0
Monocytes_PB16,0.474129218114261,0.0,0.525870781885739,0.0
T cells_PB17,0.0,0.4148355012746055,0.5851644987253944,0.0
T cells_PB18,0.04831364051955317,0.18739278108133398,0.7642935783991128,0.0
T cells_PB19,0.1591276210804007,0.319720367776505,0.5211520111430943,0.0
T cells_PB20,0.0,0.3924721622706935,0.6075278377293065,0.0
T cells_PB21,0.1860724238348665,0.09681020011555437,0.7171173760495791,0.0
Monocytes_PB22,0.18412811939129095,0.0,0.8158718806087091,0.0
NK cells_PB23,0.0,0.10782901100362983,0.8921709889963702,0.0
Monocytes_PB24,0.2781665353212078,0.13656906508223238,0.5852643995965598,0.0
T cells_PB25,0.0,0.3123481717864036,0.6876518282135964,0.0
T cells_PB26,0.3709248092129694,0.0,0.6290751907870306,0.0
NK cells_PB27,0.0,0.11005310519421915,0.8899468948057808,0.0
Monocytes_PB28,0.08896561343197419,0.25391210799418223,0.6571222785738435,0.0
B cells_PB29,0.45889137668153573,0.010953911315606912,0.5301547120028574,0.0
T cells_PB30,0.1010484356725613,0.39322568648165906,0.5057258778457797,0.0
Monocytes_PB31,0.0,0.3529195110795378,0.6470804889204622,0.0
T cells_PB32,0.16082993405879648,0.30226896218958277,0.5369011037516207,0.0
T cells_PB33,0.15845217660451183,0.39946473091180573,0.44208309248368244,0.0
NK cells_PB34,0.11279255259681548,0.058448282275301515,0.828759165127883,0.0
T cells_PB35,0.4283280219875719,0.0,0.5716719780124281,0.0
NK cells_PB36,0.15196664813085167,0.0,0.8480333518691484,0.0
NK cells_PB37,0.029039891399259794,0.263303413601635,0.7076566949991052,0.0
T cells_PB38,0.12561014696202435,0.4192773219479886,0.45511253108998706,0.0
NK cells_PB39,0.0,0.013550137278507457,0.9864498627214925,0.0
Monocytes_PB40,0.11695916017204512,0.30648939926467894,0.5765514405632759,0.0
NK cells_PB41,0.013664511710630843,0.23116706575796334,0.7551684225314058,0.0
B cells_PB42,0.5512418823801957,0.0501123783562668,0.3986457392635376,0.0
T cells_PB43,0.0,0.533983956884242,0.4660160431157579,0.0
NK cells_PB44,0.08810775937889223,0.015251350226096708,0.896640890395011,0.0
T cells_PB45,0.12353064476256746,0.4154932734127851,0.4609760818246475,0.0
NK cells_PB46,0.0,0.012215005769886237,0.9877849942301138,0.0
B cells_PB47,0.4082280816581978,0.10617834427756093,0.48559357406424125,0.0
NK cells_PB48,0.10135916600331865,0.007057785863399287,0.891583048133282,0.0
T cells_PB49,0.3082741052957083,0.13750401340033633,0.5542218813039554,0.0
Monocytes_PB50,0.3558647712968373,0.0,0.6441352287031628,0.0
Monocytes_PB51,0.0405915372218558,0.49429895931463597,0.46510950346350816,0.0
Monocytes_PB52,0.0,0.483068987886772,0.5169310121132279,0.0
Monocytes_PB53,0.0,0.5566978633130818,0.44330213668691826,0.0
NK cells_PB54,0.0,0.036305831729498673,0.9636941682705014,0.0
Monocytes_PB55,0.17056446467353245,0.15830362191129502,0.6711319134151725,0.0
Monocytes_PB56,0.044409222525631085,0.505140965494752,0.4504498119796169,0.0
NK cells_PB57,0.21557385220020298,0.18396103292465366,0.6004651148751434,0.0
T cells_PB58,0.14224624211202455,0.23870668648015164,0.6190470714078238,0.0
T cells_PB59,0.15675174637281378,0.4174639585365261,0.42578429509066007,0.0
T cells_PB60,0.05147438233557657,0.3812531599476896,0.5672724577167338,0.0
NK cells_PB61,0.0,0.13240455734169235,0.8675954426583077,0.0
B cells_PB62,0.2620669156981694,0.047386308131677456,0.6905467761701531,0.0
Monocytes_PB63,0.12987386561823677,0.5150764752510256,0.3550496591307376,0.0
Monocytes_PB64,0.03689221877416806,0.27220793489752715,0.6908998463283048,0.0
B cells_PB65,0.5575192883415703,0.0011393747561851038,0.44134133690224464,0.0
B cells_PB66,0.5587698266060505,0.0834207161937457,0.35780945720020385,0.0
Monocytes_PB67,0.3864991154741273,0.0,0.6135008845258727,0.0
Monocytes_PB68,0.18495288725681816,0.39467302943940746,0.42037408330377435,0.0
T cells_PB69,0.11118148004925904,0.4218449830936052,0.4669735368571358,0.0
Monocytes_PB70,0.10271049637361282,0.47230049079525876,0.42498901283112844,0.0
B cells_PB71,0.57660221610343,0.008748842318268515,0.4146489415783015,0.0
T cells_PB72,0.030936461314612362,0.37799569044198555,0.5910678482434021,0.0
