,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.048367956177653756,0.21918777808557335,0.7324442657367729,0.0
B cells_PB2,0.14120840033708937,0.21998696177598417,0.6388046378869265,0.0
NK cells_PB3,0.0,0.17536171011681725,0.8246382898831827,0.0
T cells_PB4,0.0,0.2016268140852651,0.7983731859147348,0.0
T cells_PB5,0.0,0.25283637613963517,0.7471636238603647,0.0
NK cells_PB6,0.0,0.20657031059415001,0.7934296894058499,0.0
T cells_PB7,0.0,0.2497427891442669,0.750257210855733,0.0
NK cells_PB8,0.0,0.17283779087606183,0.8271622091239381,0.0
Monocytes_PB9,0.0,0.24172168029669697,0.7582783197033032,0.0
B cells_PB10,0.1185561958380619,0.2119181710443365,0.6695256331176016,0.0
Monocytes_PB11,0.0,0.1772433032197368,0.8227566967802632,0.0
B cells_PB12,0.13598769044696668,0.2223720301101652,0.6416402794428681,0.0
T cells_PB13,0.0,0.19180801457264793,0.808191985427352,0.0
NK cells_PB14,0.0,0.22410484445333487,0.7758951555466651,0.0
B cells_PB15,0.0,0.21702766536729953,0.7829723346327004,0.0
Monocytes_PB16,0.0,0.20427270193418237,0.7957272980658175,0.0
T cells_PB17,0.0,0.2385559712018663,0.7614440287981337,0.0
T cells_PB18,0.0,0.21192819491483963,0.7880718050851604,0.0
T cells_PB19,0.0,0.2501159500574185,0.7498840499425815,0.0
T cells_PB20,0.0,0.250569430407404,0.749430569592596,0.0
T cells_PB21,0.0,0.2008049204569727,0.7991950795430274,0.0
Monocytes_PB22,0.0,0.1748729329640071,0.8251270670359929,0.0
NK cells_PB23,0.0,0.21590142366924753,0.7840985763307525,0.0
Monocytes_PB24,0.0,0.22499576012041478,0.7750042398795851,0.0
T cells_PB25,0.0,0.2434159728547509,0.7565840271452491,0.0
T cells_PB26,0.0003349090576614878,0.21477636683388743,0.7848887241084511,0.0
NK cells_PB27,0.0,0.19678840743030598,0.803211592569694,0.0
Monocytes_PB28,0.0,0.25054785191273676,0.7494521480872633,0.0
B cells_PB29,0.06596803193705507,0.22557412120106218,0.7084578468618827,0.0
T cells_PB30,0.0,0.26100606254932335,0.7389939374506767,0.0
Monocytes_PB31,0.0,0.2556736877275486,0.7443263122724514,0.0
T cells_PB32,0.0,0.2543298769769492,0.7456701230230507,0.0
T cells_PB33,0.0,0.2670664139960668,0.7329335860039332,0.0
NK cells_PB34,0.0,0.16762343286410336,0.8323765671358967,0.0
T cells_PB35,0.0,0.1504745712628848,0.8495254287371152,0.0
NK cells_PB36,0.0,0.15503148832683616,0.8449685116731639,0.0
NK cells_PB37,0.0,0.2178044164300355,0.7821955835699644,0.0
T cells_PB38,0.0,0.28751358767413115,0.7124864123258688,0.0
NK cells_PB39,0.0,0.16450856567211386,0.8354914343278861,0.0
Monocytes_PB40,0.0,0.23345365154914652,0.7665463484508533,0.0
NK cells_PB41,0.0,0.20785405993600767,0.7921459400639923,0.0
B cells_PB42,0.033504274051252954,0.2224377849550139,0.7440579409937331,0.0
T cells_PB43,0.0,0.2860106680042223,0.7139893319957776,0.0
NK cells_PB44,0.0,0.1448096572212928,0.8551903427787072,0.0
T cells_PB45,0.0,0.2754593853312028,0.7245406146687972,0.0
NK cells_PB46,0.0,0.16473299339312508,0.8352670066068749,0.0
B cells_PB47,0.0,0.2256565558222305,0.7743434441777696,0.0
NK cells_PB48,0.0,0.18717975777136053,0.8128202422286395,0.0
T cells_PB49,0.0,0.22875664849680102,0.7712433515031991,0.0
Monocytes_PB50,0.0,0.190692248506013,0.809307751493987,0.0
Monocytes_PB51,0.0,0.30374204512421193,0.696257954875788,0.0
Monocytes_PB52,0.0,0.27731462707335264,0.7226853729266474,0.0
Monocytes_PB53,0.0,0.30188756929528826,0.6981124307047117,0.0
NK cells_PB54,0.0,0.1462401035085021,0.8537598964914979,0.0
Monocytes_PB55,0.0,0.2562723053503045,0.7437276946496955,0.0
Monocytes_PB56,0.0,0.2962030936903658,0.7037969063096341,0.0
NK cells_PB57,0.0,0.2194317657635897,0.7805682342364104,0.0
T cells_PB58,0.0,0.24427134914079482,0.7557286508592053,0.0
T cells_PB59,0.0,0.28127302673121185,0.7187269732687882,0.0
T cells_PB60,0.0,0.23729766013059753,0.7627023398694025,0.0
NK cells_PB61,0.0,0.1962752480317132,0.8037247519682869,0.0
B cells_PB62,0.03790927326249072,0.21339174410843945,0.7486989826290698,0.0
Monocytes_PB63,0.0,0.2891906464923265,0.7108093535076735,0.0
Monocytes_PB64,0.0,0.21693112280145233,0.7830688771985478,0.0
B cells_PB65,0.0,0.22234777914005355,0.7776522208599466,0.0
B cells_PB66,0.02154396236969907,0.2375756644058778,0.7408803732244232,0.0
Monocytes_PB67,0.0,0.17834846750884198,0.8216515324911581,0.0
Monocytes_PB68,0.0,0.2559287930618951,0.7440712069381049,0.0
T cells_PB69,0.0,0.2752735576178241,0.7247264423821759,0.0
Monocytes_PB70,0.0,0.29441158667366313,0.7055884133263369,0.0
B cells_PB71,0.09661802451697539,0.21831775180905263,0.6850642236739719,0.0
T cells_PB72,0.0,0.24582518275702087,0.7541748172429791,0.0
B cells_PB73,0.0,0.2268646678155558,0.7731353321844441,0.0
B cells_PB74,0.11074033931333775,0.21248519500480967,0.6767744656818525,0.0
T cells_PB75,0.0,0.1998503270573226,0.8001496729426774,0.0
NK cells_PB76,0.0,0.18584101856975904,0.8141589814302409,0.0
Monocytes_PB77,0.0,0.27641457531822616,0.7235854246817739,0.0
Monocytes_PB78,0.0,0.17853074597746377,0.8214692540225362,0.0
B cells_PB79,0.022029444134281085,0.20856971323988127,0.7694008426258377,0.0
B cells_PB80,0.0,0.23562829241219865,0.7643717075878013,0.0
B cells_PB81,0.11625892616200036,0.21704914378561266,0.666691930052387,0.0
B cells_PB82,0.12794577726189654,0.21088048015513972,0.6611737425829636,0.0
Monocytes_PB83,0.0,0.21576064978569148,0.7842393502143085,0.0
NK cells_PB84,0.0,0.2206084010200069,0.7793915989799932,0.0
T cells_PB85,0.0,0.2460551009786686,0.7539448990213314,0.0
NK cells_PB86,0.0,0.20960988427162525,0.7903901157283748,0.0
T cells_PB87,0.0,0.1845175075213906,0.8154824924786095,0.0
NK cells_PB88,0.0,0.18298782140251474,0.8170121785974853,0.0
NK cells_PB89,0.0,0.1629038548682804,0.8370961451317196,0.0
T cells_PB90,0.0,0.23456007734439238,0.7654399226556076,0.0
T cells_PB91,0.0,0.2778702209964503,0.7221297790035498,0.0
Monocytes_PB92,0.0,0.2703351514081162,0.7296648485918837,0.0
NK cells_PB93,0.0,0.1583733586763165,0.8416266413236835,0.0
B cells_PB94,0.05024246689314386,0.2273961761317923,0.7223613569750639,0.0
B cells_PB95,0.12364269807884591,0.206172340695079,0.6701849612260751,0.0
B cells_PB96,0.07987115907982657,0.2092743016810525,0.7108545392391209,0.0
B cells_PB97,0.04336150769510528,0.22675128495170294,0.7298872073531918,0.0
Monocytes_PB98,0.0,0.2275588179118164,0.7724411820881837,0.0
NK cells_PB99,0.0,0.22505717810917897,0.7749428218908211,0.0
Monocytes_PB100,0.0,0.16784048567721035,0.8321595143227896,0.0
Monocytes_PB101,0.0,0.15193473808690683,0.8480652619130931,0.0
T cells_PB102,0.0,0.19409342969947002,0.8059065703005299,0.0
NK cells_PB103,0.0,0.20847604034070422,0.7915239596592958,0.0
B cells_PB104,0.036283304722124904,0.23307546372330115,0.7306412315545738,0.0
NK cells_PB105,0.0,0.1712563898693295,0.8287436101306704,0.0
Monocytes_PB106,0.0,0.21465688428118246,0.7853431157188175,0.0
NK cells_PB107,0.0,0.20156863217517604,0.7984313678248239,0.0
Monocytes_PB108,0.0,0.26713826343649,0.7328617365635098,0.0
B cells_PB109,0.0,0.2345414161219875,0.7654585838780125,0.0
Monocytes_PB110,0.0,0.16631867618125928,0.8336813238187407,0.0
T cells_PB111,0.0,0.27106527384905105,0.728934726150949,0.0
NK cells_PB112,0.0,0.19239750602280875,0.8076024939771913,0.0
T cells_PB113,0.0,0.18206665832079436,0.8179333416792056,0.0
T cells_PB114,0.0,0.1949404593687942,0.8050595406312058,0.0
B cells_PB115,0.08562411972855911,0.20376010934901476,0.7106157709224261,0.0
Monocytes_PB116,0.0,0.28044510026225045,0.7195548997377496,0.0
Monocytes_PB117,0.0,0.2709593797635472,0.7290406202364529,0.0
NK cells_PB118,0.0,0.20716516993982156,0.7928348300601784,0.0
B cells_PB119,0.11188306452797211,0.19544886893333585,0.6926680665386921,0.0
NK cells_PB120,0.0,0.17292959210311853,0.8270704078968815,0.0
NK cells_PB121,0.0,0.15504555999498826,0.8449544400050117,0.0
NK cells_PB122,0.0,0.16568625452798677,0.8343137454720132,0.0
NK cells_PB123,0.0,0.2070838401300443,0.7929161598699558,0.0
B cells_PB124,0.0,0.23537288962135544,0.7646271103786446,0.0
B cells_PB125,0.0,0.2150240367257067,0.7849759632742932,0.0
T cells_PB126,0.0,0.2338220657532636,0.7661779342467363,0.0
B cells_PB127,0.10503768834949395,0.21701591338081644,0.6779463982696896,0.0
B cells_PB128,0.15906415520139733,0.19860647632470724,0.6423293684738953,0.0
T cells_PB129,0.0,0.2806772031646477,0.7193227968353524,0.0
B cells_PB130,0.007971893851771102,0.22254790651212086,0.769480199636108,0.0
B cells_PB131,0.018083817815529646,0.2337714065436064,0.748144775640864,0.0
Monocytes_PB132,0.0,0.20883664797854293,0.791163352021457,0.0
B cells_PB133,0.0,0.22295387012684265,0.7770461298731574,0.0
NK cells_PB134,0.0,0.1860244994620493,0.8139755005379508,0.0
Monocytes_PB135,0.0,0.2921592498957368,0.7078407501042632,0.0
Monocytes_PB136,0.0,0.2143018604706213,0.7856981395293787,0.0
Monocytes_PB137,0.0,0.2442375158772,0.7557624841228,0.0
B cells_PB138,0.0789718798555321,0.2133311902819559,0.707696929862512,0.0
T cells_PB139,0.0,0.24595229245485065,0.7540477075451494,0.0
Monocytes_PB140,0.0,0.31598456264066177,0.6840154373593381,0.0
B cells_PB141,0.15280201468087817,0.2003019462617281,0.6468960390573938,0.0
NK cells_PB142,0.0,0.1980226700378464,0.8019773299621535,0.0
NK cells_PB143,0.0,0.19431961995255112,0.8056803800474489,0.0
Monocytes_PB144,0.0,0.2027328178030671,0.7972671821969329,0.0
T cells_PB145,0.0,0.22775935660609922,0.7722406433939007,0.0
NK cells_PB146,0.0,0.21112456175422167,0.7888754382457783,0.0
B cells_PB147,0.04356256868556875,0.2225593796647474,0.7338780516496839,0.0
NK cells_PB148,0.0,0.19046927948338613,0.8095307205166139,0.0
T cells_PB149,0.0,0.28967400289821377,0.7103259971017862,0.0
T cells_PB150,0.0,0.24561276128022005,0.75438723871978,0.0
NK cells_PB151,0.0,0.15061664183314152,0.8493833581668585,0.0
T cells_PB152,0.0,0.24666209098558275,0.7533379090144171,0.0
NK cells_PB153,0.0,0.22577932600539216,0.7742206739946077,0.0
T cells_PB154,0.0,0.22561750918011714,0.7743824908198829,0.0
Monocytes_PB155,0.0,0.2929468737634418,0.7070531262365581,0.0
Monocytes_PB156,0.0,0.20092366702401482,0.7990763329759852,0.0
T cells_PB157,0.0,0.20346629822634682,0.7965337017736531,0.0
NK cells_PB158,0.0,0.1793549522055917,0.8206450477944083,0.0
Monocytes_PB159,0.0,0.2125151681516092,0.7874848318483907,0.0
B cells_PB160,0.09850399372219193,0.20109331366677197,0.7004026926110362,0.0
NK cells_PB161,0.0,0.20150010145783834,0.7984998985421615,0.0
NK cells_PB162,0.0,0.18108354564233548,0.8189164543576645,0.0
NK cells_PB163,0.0,0.1736305244530578,0.8263694755469422,0.0
NK cells_PB164,0.0,0.18447427107915246,0.8155257289208475,0.0
Monocytes_PB165,0.0,0.180245898978823,0.819754101021177,0.0
NK cells_PB166,0.0,0.17038647585724406,0.8296135241427559,0.0
NK cells_PB167,0.0,0.1955636525557728,0.8044363474442272,0.0
NK cells_PB168,0.0,0.226750511352783,0.7732494886472171,0.0
NK cells_PB169,0.0,0.22245543443472282,0.7775445655652772,0.0
NK cells_PB170,0.0,0.16123673791209323,0.8387632620879067,0.0
NK cells_PB171,0.0,0.18125887548246528,0.8187411245175348,0.0
T cells_PB172,0.0,0.27271439600188446,0.7272856039981155,0.0
B cells_PB173,0.05569503890351816,0.2098066390477436,0.7344983220487382,0.0
Monocytes_PB174,0.0,0.19829228091427964,0.8017077190857204,0.0
B cells_PB175,0.06257290466126494,0.23362014474205478,0.7038069505966803,0.0
NK cells_PB176,0.0,0.2201239345574286,0.7798760654425714,0.0
T cells_PB177,0.0,0.1690172841406202,0.8309827158593799,0.0
Monocytes_PB178,0.0,0.212070526027554,0.787929473972446,0.0
T cells_PB179,0.0,0.17208350390770671,0.8279164960922932,0.0
Monocytes_PB180,0.0,0.16240425530725333,0.8375957446927467,0.0
B cells_PB181,0.009899581949310333,0.24409589057415146,0.7460045274765382,0.0
B cells_PB182,0.0,0.22184529418924306,0.7781547058107569,0.0
T cells_PB183,0.0,0.15639635332104085,0.8436036466789592,0.0
Monocytes_PB184,0.0,0.2820402600267922,0.7179597399732078,0.0
T cells_PB185,0.0,0.23800181874870596,0.761998181251294,0.0
NK cells_PB186,0.0,0.18196078307562924,0.8180392169243706,0.0
B cells_PB187,0.07584768039401966,0.20152061559384282,0.7226317040121375,0.0
Monocytes_PB188,0.0,0.2360168043697336,0.7639831956302665,0.0
NK cells_PB189,0.0,0.1913879741786117,0.8086120258213884,0.0
Monocytes_PB190,0.0,0.18584319741405717,0.8141568025859428,0.0
B cells_PB191,0.0,0.222563438530508,0.777436561469492,0.0
NK cells_PB192,0.0,0.17435934858632454,0.8256406514136755,0.0
NK cells_PB193,0.0,0.16245407261228406,0.8375459273877159,0.0
NK cells_PB194,0.0,0.1872207520184204,0.8127792479815796,0.0
Monocytes_PB195,0.0,0.22654151391708205,0.7734584860829179,0.0
B cells_PB196,0.05750770499123076,0.21272120420799367,0.7297710908007756,0.0
T cells_PB197,0.0,0.18775067079792013,0.8122493292020798,0.0
B cells_PB198,0.17029048080760675,0.20033439851901638,0.6293751206733769,0.0
NK cells_PB199,0.0,0.1578335707335068,0.8421664292664932,0.0
NK cells_PB200,0.0,0.16218795390867946,0.8378120460913205,0.0
B cells_PB201,0.08909953270056077,0.22530769430274789,0.6855927729966915,0.0
Monocytes_PB202,0.0018724612871513758,0.1835085736139123,0.8146189650989364,0.0
NK cells_PB203,0.0,0.2088382124183997,0.7911617875816003,0.0
T cells_PB204,0.0,0.1750838851676447,0.8249161148323553,0.0
T cells_PB205,0.0,0.2160526380348179,0.7839473619651822,0.0
NK cells_PB206,0.0,0.23004464022080676,0.7699553597791933,0.0
NK cells_PB207,0.0,0.21582197718704801,0.784178022812952,0.0
NK cells_PB208,0.0,0.17256303486112537,0.8274369651388747,0.0
T cells_PB209,0.0,0.277043514770264,0.7229564852297359,0.0
Monocytes_PB210,0.0,0.17811536220493665,0.8218846377950634,0.0
B cells_PB211,0.055257202209340404,0.22671826697975725,0.7180245308109023,0.0
B cells_PB212,0.1275094874708351,0.22579729660396444,0.6466932159252005,0.0
B cells_PB213,0.08595243220034186,0.2348481449898608,0.6791994228097973,0.0
T cells_PB214,0.0,0.2399566482127798,0.7600433517872203,0.0
T cells_PB215,0.0,0.19020104190069329,0.8097989580993067,0.0
B cells_PB216,0.034389064911249455,0.2157528294163079,0.7498581056724426,0.0
NK cells_PB217,0.0,0.21596904679057793,0.7840309532094221,0.0
T cells_PB218,0.0,0.19434756844321285,0.8056524315567871,0.0
T cells_PB219,0.0,0.21040365106765835,0.7895963489323418,0.0
NK cells_PB220,0.0,0.17391508354627241,0.8260849164537275,0.0
Monocytes_PB221,0.0,0.24524256844307696,0.754757431556923,0.0
NK cells_PB222,0.0,0.1723760117290815,0.8276239882709184,0.0
T cells_PB223,0.0,0.2834345392950657,0.7165654607049344,0.0
B cells_PB224,0.02708825991314401,0.2238217702131009,0.7490899698737552,0.0
B cells_PB225,0.0,0.24612535848508396,0.753874641514916,0.0
NK cells_PB226,0.0,0.19962847260153105,0.8003715273984688,0.0
T cells_PB227,0.0,0.1594621654202561,0.8405378345797438,0.0
NK cells_PB228,0.0,0.19041098215929453,0.8095890178407055,0.0
NK cells_PB229,0.0,0.1552856381410017,0.8447143618589983,0.0
T cells_PB230,0.0,0.20898867924717707,0.791011320752823,0.0
T cells_PB231,0.0,0.17943847369735638,0.8205615263026437,0.0
B cells_PB232,0.04349065994338483,0.2108840417060114,0.7456252983506036,0.0
Monocytes_PB233,0.0,0.22151171631399316,0.7784882836860068,0.0
NK cells_PB234,0.0,0.18821558528895102,0.811784414711049,0.0
