"","NK cells","T cells","Monocytes","B cells"
"B cells_PB1",-3.20635991107618e-19,0.353399985328367,0.0522441517532843,0.594355862918349
"B cells_PB2",-1.91241955018188e-19,0.145512021871979,0.00913037168247713,0.845357606445544
"NK cells_PB3",0.45579553081159,0.424427316843438,0.0554705416107244,0.0643066107342469
"T cells_PB4",3.56930551802406e-05,0.63998372862754,0.245260966307453,0.114719612009828
"T cells_PB5",0.0116750100907542,0.367288301419672,0.356698964070917,0.264337724418657
"NK cells_PB6",0.0927379875320908,0.498791873644687,0.186646728857214,0.221823409966008
"T cells_PB7",0.0364940291978804,0.301610601442681,0.373261113015027,0.288634256344412
"NK cells_PB8",0.327817223443491,0.558834064970368,0.0439453783235415,0.0694033332625988
"Monocytes_PB9",4.7978231790514e-06,0.51010364752708,0.34456561680933,0.145325937840411
"B cells_PB10",9.68580809837421e-20,0.162899383251086,0.0330694799843378,0.804031136764576
"Monocytes_PB11",0.0190288578081194,0.767721046317277,0.0531176830612962,0.160132412813308
"B cells_PB12",1.88013377003434e-19,0.0978373333705824,0.0191931909927621,0.882969475636656
"T cells_PB13",1.15311404179632e-05,0.757895171911894,0.147010808677001,0.0950824882706866
"NK cells_PB14",0.173079572270049,0.471076078127346,0.214096854478,0.141747495124606
"B cells_PB15",3.92316401219145e-08,0.528403758835269,0.16064917337499,0.310947028558101
"Monocytes_PB16",0.0170800112626559,0.624800055108473,0.121737787991547,0.236382145637324
"T cells_PB17",0.0405768696342435,0.443698898192787,0.381944270412497,0.133779961760472
"T cells_PB18",0.0292370643298927,0.569058555603107,0.2174775076197,0.1842268724473
"T cells_PB19",0.0158850347623165,0.474940078127783,0.279238519566026,0.229936367543875
"T cells_PB20",0.0420293144075838,0.484873401795005,0.303415044845991,0.16968223895142
"T cells_PB21",4.5164102827261e-05,0.590200314217578,0.166849704661514,0.24290481701808
"Monocytes_PB22",2.34547365151277e-05,0.708248482266826,0.115895498804563,0.175832564192096
"NK cells_PB23",0.230112992974428,0.488815409568057,0.211155051691495,0.06991654576602
"Monocytes_PB24",1.11998019388192e-05,0.555033596342467,0.213099031975145,0.231856171880449
"T cells_PB25",1.06864005413133e-05,0.516490839868787,0.267352114996753,0.216146358733919
"T cells_PB26",6.97436308858869e-06,0.648176562162009,0.15327237303157,0.198544090443333
"NK cells_PB27",0.164985361402926,0.512385286253564,0.168353874103662,0.154275478239847
"Monocytes_PB28",0.00607496163554011,0.584118422075486,0.314126746114872,0.0956798701741013
"B cells_PB29",5.97084048512215e-20,0.255818144142499,0.049869867790136,0.694311988067365
"T cells_PB30",0.0271938472148484,0.27399496756681,0.384892672790814,0.313918512427528
"Monocytes_PB31",2.19263571977474e-06,0.535330624581768,0.370624025363854,0.0940431574186576
"T cells_PB32",0.0298532785061126,0.334333286039809,0.315598549692038,0.320214885762041
"T cells_PB33",0.0288595161606593,0.269938639768337,0.361222456586278,0.339979387484726
"NK cells_PB34",0.638341183763094,0.276916483387128,0.0533438653079759,0.0313984675418021
"T cells_PB35",6.07549690439825e-06,0.85051041604302,0.0754804221933715,0.0740030862667044
"NK cells_PB36",0.529553325971382,0.381263165195807,0.0577402508137066,0.031443258019104
