,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.3025337457878362,0.4055274643841038,0.0,0.29193878982805993
B cells_PB2,0.527982009132781,0.2554809765011457,0.01311232379914592,0.20342469056692733
NK cells_PB3,0.3128612358507039,0.38700463034988836,0.010775630821942784,0.28935850297746496
T cells_PB4,0.24031394961708905,0.46998441039106376,0.0,0.2897016399918473
T cells_PB5,0.244841928358437,0.6052225844039177,0.0,0.14993548723764535
NK cells_PB6,0.20037289177991574,0.48194725587285225,0.028346803405154247,0.28933304894207784
T cells_PB7,0.3715548751582874,0.6199669599344111,0.0,0.008478164907301444
NK cells_PB8,0.14794239016093036,0.3202033177033049,0.23495418480050875,0.2969001073352559
Monocytes_PB9,0.22507860101356925,0.610399196510253,0.0,0.16452220247617774
B cells_PB10,0.33800162782208226,0.3272544263573257,0.06844696943599657,0.2662969763845955
Monocytes_PB11,0.3137379522774919,0.2887323640473066,0.0,0.3975296836752014
B cells_PB12,0.5566713898336694,0.30552122378832774,0.072338358180737,0.06546902819726584
T cells_PB13,0.12146617100578581,0.36066927785063574,0.043555889141522364,0.4743086620020562
NK cells_PB14,0.10038223686731276,0.47885991869082734,0.06901956180884969,0.35173828263301027
B cells_PB15,0.21719905019207664,0.4534288308947277,0.008261279664938174,0.3211108392482574
Monocytes_PB16,0.24393383329045998,0.3725422329296683,0.0,0.3835239337798717
T cells_PB17,0.3462743757729393,0.5849450341772392,0.0,0.06878059004982164
T cells_PB18,0.2963685781921537,0.44952603982289496,0.0,0.2541053819849514
T cells_PB19,0.20532806226834113,0.6222159047886081,0.0,0.17245603294305076
T cells_PB20,0.1187671949109277,0.5602485043750961,0.008901156924238684,0.31208314378973756
T cells_PB21,0.27380774938390184,0.43197653520398765,0.0,0.2942157154121105
Monocytes_PB22,0.21122545563602993,0.40245836616637615,0.0,0.38631617819759395
NK cells_PB23,0.15315346019301782,0.47022262747967825,0.07872961006799156,0.2978943022593123
Monocytes_PB24,0.16709699458729127,0.4308997686268727,0.0801035036085788,0.32189973317725734
T cells_PB25,0.21741837301964326,0.5522926087929606,0.0,0.23028901818739625
T cells_PB26,0.11161710829072784,0.3950924264731256,0.06770333869312624,0.42558712654302033
