,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.38717148174198207,0.34190602776894563,0.0,0.27092249048907224
B cells_PB2,0.5863222162590717,0.2492591176794984,0.0,0.16441866606143005
NK cells_PB3,0.10772499982667952,0.29853620620852067,0.34241300318744305,0.25132579077735673
T cells_PB4,0.13653431956503959,0.44932724692716236,0.0,0.41413843350779816
T cells_PB5,0.16840121742552958,0.5365623372728874,0.0,0.29503644530158313
NK cells_PB6,0.14926231767154385,0.44214491245836496,0.04208292926348332,0.3665098406066079
T cells_PB7,0.16763245914281807,0.5463675476089372,0.0,0.2859999932482448
NK cells_PB8,0.11635163709473059,0.29858374282249883,0.402551064947183,0.18251355513558756
Monocytes_PB9,0.09289858059824803,0.5469990419002329,0.0,0.36010237750151913
B cells_PB10,0.4643696684524018,0.3162558905947085,0.0,0.21937444095288977
Monocytes_PB11,0.26549292356110976,0.31224529800905093,0.0,0.42226177842983936
B cells_PB12,0.6103305051412238,0.26829550678362857,0.0010058795682498052,0.12036810850689778
T cells_PB13,0.1458373814882522,0.3884187934859921,0.0,0.4657438250257556
NK cells_PB14,0.10663661173221692,0.44648353629188847,0.06631645106541227,0.38056340091048246
B cells_PB15,0.26169277797552554,0.42872252725323695,0.0,0.30958469477123757
Monocytes_PB16,0.18023463087952238,0.39325853240458647,0.0,0.4265068367158911
T cells_PB17,0.1156538793283672,0.5441264136172184,0.0,0.3402197070544145
T cells_PB18,0.16417046322713127,0.4393461197156373,0.0,0.39648341705723134
T cells_PB19,0.09852791448653393,0.5309382081595195,0.0,0.3705338773539465
T cells_PB20,0.09615102218861411,0.5219951435472814,0.0,0.3818538342641045
T cells_PB21,0.1565420029016919,0.42951318223255514,0.0,0.41394481486575296
Monocytes_PB22,0.23148515461781458,0.3738247157603198,0.0,0.3946901296218656
NK cells_PB23,0.10315911253036021,0.4172528201019643,0.13303844179626445,0.34654962557141106
Monocytes_PB24,0.17002969998952144,0.4611877320053021,0.0,0.3687825680051764
T cells_PB25,0.13111913757671506,0.4985129103329621,0.0,0.3703679520903229
T cells_PB26,0.11167315935607434,0.41860580442788725,0.0,0.46972103621603833
NK cells_PB27,0.11933107555329996,0.42067159968155576,0.07133142531239034,0.388665899452754
Monocytes_PB28,0.09689946710873809,0.5122685345673,0.0,0.39083199832396176
B cells_PB29,0.4388436447381059,0.3267452389750505,0.0,0.23441111628684366
T cells_PB30,0.16976832766913047,0.557507511368455,0.0,0.27272416096241453
Monocytes_PB31,0.11406413483912535,0.5405507075776401,0.0,0.3453851575832345
T cells_PB32,0.1781555852290821,0.5154755345272402,0.0,0.30636888024367775
T cells_PB33,0.16118744263927764,0.5608219077741219,0.0,0.27799064958660047
NK cells_PB34,0.11131171020123118,0.2788429595596333,0.4508704205219096,0.15897490971722594
T cells_PB35,0.11849298825209732,0.35420934736937254,0.0,0.5272976643785301
NK cells_PB36,0.10174973903426948,0.29446279063748926,0.3761257746496261,0.2276616956786152
NK cells_PB37,0.11001178799976807,0.41578577939631783,0.12452053564608498,0.3496818969578292
T cells_PB38,0.19088094539491832,0.5532416719516344,0.0,0.2558773826534473
NK cells_PB39,0.10406302364957906,0.32756513069432497,0.3343853040043082,0.2339865416517878
Monocytes_PB40,0.14074530868682136,0.48473759946872963,0.0,0.374517091844449
NK cells_PB41,0.1232338234145171,0.45213469904789494,0.02080949251942116,0.4038219850181668
B cells_PB42,0.3889372064326393,0.35713774748749605,0.0,0.2539250460798646
T cells_PB43,0.16988089266317097,0.5517389759098438,0.0,0.27838013142698526
NK cells_PB44,0.12215339036492368,0.2806515616098076,0.41831380997484197,0.17888123805042677
T cells_PB45,0.16234522854046438,0.5239239804375969,0.0,0.3137307910219386
NK cells_PB46,0.10627411542520925,0.34138282624477984,0.2984605066407287,0.2538825516892822
B cells_PB47,0.30949338684851746,0.4119567910924959,0.0,0.2785498220589866
NK cells_PB48,0.09698895894532628,0.38175788484791784,0.21946896743172548,0.30178418877503044
T cells_PB49,0.15134920857129272,0.45686420572771674,0.0,0.39178658570099045
Monocytes_PB50,0.17397690234260824,0.38479928325653534,0.0,0.4412238144008564
Monocytes_PB51,0.0883285148917586,0.6387910105139,0.0,0.2728804745943414
Monocytes_PB52,0.09182793309219185,0.5736122290460097,0.0,0.33455983786179844
Monocytes_PB53,0.10933021632502243,0.6150985903161751,0.0,0.2755711933588024
NK cells_PB54,0.11924637491152154,0.2791365156966718,0.4565172917906866,0.14509981760112006
Monocytes_PB55,0.10194437937451356,0.5308288443245429,0.0,0.36722677630094364
Monocytes_PB56,0.0829290814397,0.6345874428987599,0.0,0.2824834756615401
NK cells_PB57,0.11503145076746336,0.475581139576002,0.016902920682934964,0.3924844889735996
T cells_PB58,0.1704589330757495,0.5120178460030494,0.0,0.31752322092120117
T cells_PB59,0.21862845768233075,0.5197949420066632,0.0,0.2615766003110061
T cells_PB60,0.12204328703785829,0.5265543572340435,0.0,0.3514023557280981
NK cells_PB61,0.09954838141093766,0.3744996477403706,0.2220900581065394,0.3038619127421524
B cells_PB62,0.33246171204819625,0.38044570246587206,0.0,0.28709258548593175
Monocytes_PB63,0.08339754191527016,0.6164708412527738,0.0,0.30013161683195594
Monocytes_PB64,0.1929185031373742,0.4555133931688383,0.0,0.3515681036937874
B cells_PB65,0.31185376507216855,0.38628829015011296,0.0,0.3018579447777184
B cells_PB66,0.41592942513331066,0.36092687453249656,0.0,0.22314370033419273
Monocytes_PB67,0.19223903911941104,0.3779672125960611,0.0,0.42979374828452777
Monocytes_PB68,0.09708965584354019,0.5875530018908324,0.0,0.3153573422656274
T cells_PB69,0.17822332176902705,0.5384247474746269,0.0,0.28335193075634607
Monocytes_PB70,0.06922522545026662,0.652118776406705,0.0,0.27865599814302844
B cells_PB71,0.50768191297371,0.3065842047323357,0.0,0.18573388229395427
T cells_PB72,0.12359829168911182,0.5465576160502158,0.0,0.32984409226067235
B cells_PB73,0.14525205757048285,0.4696157169607337,0.0,0.38513222546878345
B cells_PB74,0.5445791734239614,0.2707470270448111,0.0,0.1846737995312275
T cells_PB75,0.13719017952710807,0.4316249018436503,0.0,0.43118491862924163
NK cells_PB76,0.12446671898370104,0.3104954688283276,0.3168370728609519,0.2482007393270194
Monocytes_PB77,0.0933331555260662,0.5887471419339904,0.0,0.3179197025399433
Monocytes_PB78,0.2251056750281102,0.348195379024897,0.0,0.4266989459469928
B cells_PB79,0.3566576329908774,0.3603061103313258,0.0,0.28303625667779675
B cells_PB80,0.20655977230208852,0.4344522073097357,0.0,0.3589880203881759
B cells_PB81,0.5381102770105932,0.28272017663455057,0.004650035274301922,0.17451951108055427
B cells_PB82,0.4658724279525832,0.3249117729422312,0.0,0.20921579910518545
Monocytes_PB83,0.15612997860678116,0.4398870128568429,0.0,0.403983008536376
NK cells_PB84,0.13216190329463268,0.44479263236173,0.0,0.4230454643436373
T cells_PB85,0.14928227497792795,0.49133492429652514,0.0,0.3593828007255469
NK cells_PB86,0.15428030727233213,0.39277600001849494,0.09823625268076742,0.3547074400284056
T cells_PB87,0.1388123446173224,0.4143472737837063,0.0,0.4468403815989712
NK cells_PB88,0.10725725513944653,0.33544808842801005,0.3111202288637222,0.24617442756882124
NK cells_PB89,0.09197780314183113,0.2933492913598937,0.462971676041687,0.15170122945658832
T cells_PB90,0.16589018288871818,0.4813659745979183,0.0,0.3527438425133635
T cells_PB91,0.14090700001064568,0.5485440790618096,0.0,0.31054892092754477
Monocytes_PB92,0.11868813120620489,0.5634924540414465,0.0,0.31781941475234865
NK cells_PB93,0.1181736553040457,0.2846408341003724,0.3878251764394466,0.20936033415613536
B cells_PB94,0.4497431395262823,0.3405070763426156,0.0,0.20974978413110193
B cells_PB95,0.5283304480674521,0.27979315286968165,0.0,0.19187639906286627
B cells_PB96,0.4204526945362536,0.3365534163608932,0.0,0.24299388910285327
B cells_PB97,0.4426393637333787,0.35321505589780366,0.0,0.2041455803688176
Monocytes_PB98,0.10353192757021913,0.4934567147784525,0.0,0.40301135765132834
NK cells_PB99,0.13139950819205656,0.4628530126499696,0.0,0.40574747915797377
Monocytes_PB100,0.24449318696424488,0.35273951215130855,0.0,0.4027673008844466
Monocytes_PB101,0.2881632202090397,0.2946920739029299,0.0,0.4171447058880303
T cells_PB102,0.11217525239074431,0.4592117053652052,0.0,0.4286130422440504
NK cells_PB103,0.1303050093351817,0.4089126690593948,0.12040448560723016,0.34037783599819343
B cells_PB104,0.3708048542560849,0.3926923205272476,0.0,0.2365028252166674
NK cells_PB105,0.10065002681606817,0.28747653303364473,0.43039167317028765,0.18148176697999946
Monocytes_PB106,0.2093008877544736,0.40800761499383265,0.0,0.3826914972516938
NK cells_PB107,0.13491278510536758,0.38783387480513665,0.16735143568200736,0.3099019044074884
Monocytes_PB108,0.10011353423283598,0.5741210613983672,0.0,0.3257654043687967
B cells_PB109,0.2849977642895423,0.4085890003009243,0.0,0.30641323540953336
Monocytes_PB110,0.25285190402453606,0.31636599621149736,0.0,0.43078209976396664
T cells_PB111,0.1744410977486526,0.49605694807839606,0.0,0.3295019541729513
NK cells_PB112,0.13156860212022858,0.4200440278462211,0.0454505342272659,0.40293683580628437
T cells_PB113,0.1367391756473234,0.3703909691031947,0.0,0.49286985524948185
T cells_PB114,0.12232764443920557,0.40891726123266764,0.0,0.46875509432812673
B cells_PB115,0.4663204403789447,0.30739976119819584,0.0,0.2262797984228594
Monocytes_PB116,0.1005774501972577,0.6246404082382123,0.0,0.2747821415645299
Monocytes_PB117,0.07964777808537471,0.5976068184088994,0.0,0.32274540350572595
NK cells_PB118,0.1088662020219822,0.4488041326241191,0.06270423621994811,0.37962542913395053
B cells_PB119,0.5576997794370598,0.2709820617162879,0.0,0.17131815884665222
NK cells_PB120,0.08228356821854173,0.37175764109356113,0.2477471757899248,0.2982116148979724
NK cells_PB121,0.10476635619070292,0.3092660999137971,0.37903008108516967,0.20693746281033024
NK cells_PB122,0.10068951320080062,0.27993774715968,0.40672982340584785,0.21264291623367151
NK cells_PB123,0.11770196067407405,0.4006016961081819,0.13358195908238382,0.34811438413536033
B cells_PB124,0.1961612322360747,0.4722873720073326,0.0,0.3315513957565926
B cells_PB125,0.26951705832430484,0.4336416072338498,0.0,0.29684133444184546
T cells_PB126,0.1985577562747298,0.4588036654022525,0.0,0.34263857832301786
B cells_PB127,0.5185776461076258,0.29898937441910567,0.0,0.18243297947326867
B cells_PB128,0.553763473596974,0.2789719342199903,0.0,0.16726459218303574
T cells_PB129,0.1654636069575937,0.5754018384833818,0.0,0.2591345545590245
B cells_PB130,0.4001177316127766,0.3592103203070052,0.0,0.24067194808021813
B cells_PB131,0.3416438370182988,0.39165255106178865,0.0,0.2667036119199125
Monocytes_PB132,0.1861877167593321,0.4055084274571737,0.0,0.40830385578349415
B cells_PB133,0.19724548760388233,0.45652940346753584,0.0,0.3462251089285817
NK cells_PB134,0.14295917104609718,0.3802249925327263,0.16722551388725945,0.3095903225339172
Monocytes_PB135,0.0744385497848074,0.6460090346857988,0.0,0.2795524155293937
Monocytes_PB136,0.20247120940467583,0.43244787059585044,0.0,0.36508091999947373
Monocytes_PB137,0.12216753846528026,0.5248660550385096,0.0,0.3529664064962102
B cells_PB138,0.48642774909666414,0.30843429552490903,0.0,0.20513795537842688
T cells_PB139,0.1917556512477278,0.4749133613587257,0.0,0.3333309873935465
Monocytes_PB140,0.08585639573315139,0.651019314060074,0.0,0.2631242902067747
B cells_PB141,0.5848377830962503,0.2695274214778386,0.0,0.14563479542591118
NK cells_PB142,0.13630012449917545,0.4115230754210828,0.11237970279916927,0.3397970972805725
NK cells_PB143,0.15252801978994718,0.3389718604735571,0.2540332361340204,0.25446688360247527
Monocytes_PB144,0.15087223634250035,0.4468878884374756,0.0,0.4022398752200241
T cells_PB145,0.18269330986571633,0.49547856715433103,0.0,0.3218281229799526
NK cells_PB146,0.13991893729326854,0.4518292953794669,0.0,0.40825176732726454
B cells_PB147,0.45434923196097915,0.3415132139745773,0.0,0.2041375540644436
NK cells_PB148,0.11831107410017759,0.36671893813417383,0.20077406653037433,0.31419592123527423
T cells_PB149,0.15524766043158492,0.5604933678732389,0.0,0.28425897169517617
T cells_PB150,0.19119309271937182,0.511134127641646,0.0,0.2976727796389822
NK cells_PB151,0.12386572797329762,0.27536766857702927,0.44145697496674446,0.1593096284829286
T cells_PB152,0.13837802763900484,0.5218205437695215,0.0,0.3398014285914738
NK cells_PB153,0.0771310117722514,0.46954017776114476,0.031577003676395696,0.4217518067902082
T cells_PB154,0.16205641539692103,0.4600904658202549,0.0,0.377853118782824
Monocytes_PB155,0.0724859560654808,0.6339716906493562,0.0,0.29354235328516304
Monocytes_PB156,0.18161079342685055,0.4265971713148168,0.0,0.39179203525833267
T cells_PB157,0.12042428371391162,0.4486624871869854,0.0,0.43091322909910285
NK cells_PB158,0.10355170762213367,0.3150941387152147,0.3562717679267821,0.22508238573586944
Monocytes_PB159,0.2390222643493714,0.400952964881663,0.0,0.3600247707689655
B cells_PB160,0.49374582677963114,0.2889748227391043,0.0,0.21727935048126468
NK cells_PB161,0.09620214035945993,0.38870794125026986,0.13967306635065568,0.3754168520396145
NK cells_PB162,0.09762264406515406,0.32684825627466046,0.28288402972065885,0.2926450699395266
NK cells_PB163,0.10818438723918883,0.3224232043277538,0.2991275894767923,0.2702648189562651
NK cells_PB164,0.12977866759856233,0.3499474592886053,0.24833235773532286,0.2719415153775096
Monocytes_PB165,0.2250967119989441,0.35750396569410053,0.0,0.41739932230695537
NK cells_PB166,0.11134040110044757,0.3171704842329555,0.40009990541609947,0.1713892092504974
NK cells_PB167,0.15616933516833734,0.37526487373753376,0.153326321527895,0.315239469566234
NK cells_PB168,0.09540134231381385,0.44735078983045967,0.04300346266928837,0.41424440518643807
NK cells_PB169,0.17143143177254047,0.45780710932914376,0.0,0.37076145889831574
NK cells_PB170,0.13227467946615182,0.3306248753722424,0.3212569500688856,0.2158434950927202
NK cells_PB171,0.09438337201385613,0.3489383731165336,0.3486185895802782,0.20805966528933206
T cells_PB172,0.17543133513534592,0.5501100591304592,0.0,0.2744586057341949
B cells_PB173,0.42405719256392144,0.33842343570905026,0.0,0.23751937172702817
Monocytes_PB174,0.20265837137917464,0.4159123292402966,0.0,0.3814292993805288
B cells_PB175,0.5037855490103389,0.33931279759028077,0.0,0.1569016533993802
NK cells_PB176,0.14487840600947888,0.45512612158186483,0.0,0.3999954724086563
T cells_PB177,0.15707153843059626,0.41441624903231283,0.0,0.4285122125370909
Monocytes_PB178,0.17439871485566086,0.4612091068109991,0.0,0.3643921783333401
T cells_PB179,0.1357061392771079,0.3496487449083032,0.0,0.5146451158145888
Monocytes_PB180,0.2521494826086384,0.34088005229852186,0.0,0.4069704650928397
B cells_PB181,0.3079707112911886,0.40258374778091777,0.0,0.2894455409278937
