"","NK cells","T cells","Monocytes","B cells"
"B cells_PB1",0.619228395423121,0,0.312681320008234,0.0680902845686453
"B cells_PB2",0.538706261455801,0,0.236210662506322,0.225083076037877
"NK cells_PB3",0.799615247416236,0,0.200384752583764,0
"T cells_PB4",0.600104705873481,0,0.399895294126519,0
"T cells_PB5",0.427437403960865,0,0.571957889922584,0.000604706116550993
"NK cells_PB6",0.629862092303637,0,0.370137907696363,0
"T cells_PB7",0.434378259891268,0,0.565178707355819,0.000443032752912529
"NK cells_PB8",0.808138975289168,0,0.191861024710832,0
"Monocytes_PB9",0.47772306577153,0,0.52227693422847,0
"B cells_PB10",0.535870970973252,0,0.287704677067949,0.176424351958799
"Monocytes_PB11",0.73701091909134,0,0.26250917085347,0.000479910055189556
"B cells_PB12",0.493678844481945,0,0.280071784857858,0.226249370660197
"T cells_PB13",0.683055112967375,0,0.316944887032625,0
"NK cells_PB14",0.626832138063317,0,0.373167861936683,0
"B cells_PB15",0.563416996257929,0,0.436583003742071,0
"Monocytes_PB16",0.690321112279916,0,0.309678887720084,0
"T cells_PB17",0.455019377008915,0,0.544980622991085,0
"T cells_PB18",0.609838399160991,0,0.390161600839009,0
"T cells_PB19",0.511492984788981,0,0.488507015211019,0
"T cells_PB20",0.541835053045902,0,0.458164946954098,0
"T cells_PB21",0.622087477429736,0,0.377912522570264,0
"Monocytes_PB22",0.707414511902798,0,0.287404401910278,0.00518108618692368
"NK cells_PB23",0.670758357100084,0,0.329241642899915,0
"Monocytes_PB24",0.607367082119441,0,0.392632917880559,0
"T cells_PB25",0.514150071311589,0,0.484521122798873,0.00132880588953764
"T cells_PB26",0.659938993409296,0,0.340061006590704,0
"NK cells_PB27",0.661602098819569,0,0.338397901180431,0
"Monocytes_PB28",0.498599540424924,0,0.500627257442466,0.000773202132610369
"B cells_PB29",0.558717102011377,0,0.334229798870067,0.107053099118556
"T cells_PB30",0.416338321769052,0,0.583661678230948,0
"Monocytes_PB31",0.41296631425441,0,0.585146750967554,0.00188693477803654
"T cells_PB32",0.474657004019737,0,0.525342995980263,0
"T cells_PB33",0.417461642508518,0,0.582538357491482,0
"NK cells_PB34",0.817764053232343,0,0.182235946767656,0
"T cells_PB35",0.765647148602404,0,0.234352851397596,0
"NK cells_PB36",0.827607948908088,0,0.172392051091912,0
"NK cells_PB37",0.662581793232218,0,0.336960076124803,0.000458130642979298
"T cells_PB38",0.442961728941828,0,0.556757511410225,0.000280759647947576
"NK cells_PB39",0.785209721795696,0,0.214790278204304,0
"Monocytes_PB40",0.517895457597992,0,0.481868559499414,0.000235982902593788
"NK cells_PB41",0.632584760028165,0,0.367415239971835,0
"B cells_PB42",0.58112776948391,0,0.37921668742484,0.0396555430912494
"T cells_PB43",0.391536807648613,0,0.607358985263237,0.00110420708814949
"NK cells_PB44",0.840977211187092,0,0.159022788812908,0
"T cells_PB45",0.44987264140291,0,0.549873445751976,0.000253912845114509
"NK cells_PB46",0.781469707323159,0,0.218530292676841,0
"B cells_PB47",0.594034511826793,0,0.405965488173207,0
"NK cells_PB48",0.728340907127141,0,0.271659092872859,0
"T cells_PB49",0.594427400568152,0,0.405572599431848,0
"Monocytes_PB50",0.665195607776138,0,0.334804392223862,0
"Monocytes_PB51",0.279194386862694,0,0.718312119042087,0.00249349409521917
"Monocytes_PB52",0.39047508546896,0,0.608768830814058,0.00075608371698227
"Monocytes_PB53",0.33809521813487,0,0.659543768946053,0.00236101291907641
"NK cells_PB54",0.842544133302197,0,0.157455866697802,0
"Monocytes_PB55",0.497988916074501,0,0.501531186527903,0.000479897397596028
"Monocytes_PB56",0.30165125670859,0,0.696188180158231,0.00216056313317903
"NK cells_PB57",0.604596174882795,0,0.395403825117205,0
"T cells_PB58",0.54295143576176,0,0.45704856423824,0
"T cells_PB59",0.421139481715701,0,0.578860518284299,0
"T cells_PB60",0.478665461142153,0,0.521334538857847,0
"NK cells_PB61",0.708765061958811,0,0.291234938041189,0
"B cells_PB62",0.603376331426721,0,0.396623668573279,0
"Monocytes_PB63",0.329786467336986,0,0.670213532663014,0
"Monocytes_PB64",0.590521795649129,0,0.409478204350871,0
"B cells_PB65",0.617548167735478,0,0.382451832264522,0
"B cells_PB66",0.582990533495841,0,0.417009466504159,0
"Monocytes_PB67",0.715248489640301,0,0.284751510359699,0
"Monocytes_PB68",0.353718956163217,0,0.644839396498589,0.00144164733819458
"T cells_PB69",0.41130468238457,0,0.586787735570506,0.00190758204492421
"Monocytes_PB70",0.280999274274219,0,0.717102075304741,0.00189865042104024
"B cells_PB71",0.541229830525949,0,0.313527871753236,0.145242297720816
"T cells_PB72",0.467240902262448,0,0.531356237471706,0.00140286026584598
