,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.24999574206941858,0.2500021476705608,0.24999783140150106,0.25000427885851945
B cells_PB2,0.24999576560092474,0.2500021331797837,0.2499978213662531,0.25000427985303847
NK cells_PB3,0.24999575286119355,0.25000219013031744,0.24999786381472583,0.25000419319376327
T cells_PB4,0.24999650495741946,0.2500028575551539,0.24999721807744363,0.2500034194099829
T cells_PB5,0.249995774125872,0.2500022695416311,0.24999777095339262,0.25000418537910435
NK cells_PB6,0.24999573912040118,0.25000221476471707,0.24999782154954267,0.2500042245653391
T cells_PB7,0.2499957520778442,0.2500022471014211,0.24999778868581418,0.2500042121349206
NK cells_PB8,0.24999639608415908,0.2500026539471007,0.24999761282618493,0.2500033371425553
Monocytes_PB9,0.24999566598926276,0.25000214944066346,0.24999785004786923,0.2500043345222046
B cells_PB10,0.24999576248850097,0.25000214254509345,0.2499978205679542,0.2500042743984514
Monocytes_PB11,0.24999633434810276,0.2500026057977726,0.24999743117892154,0.25000362867520304
B cells_PB12,0.24999581612341887,0.2500021545736015,0.2499978031076486,0.25000422619533114
T cells_PB13,0.24999580978908909,0.2500022398068432,0.24999774708768255,0.25000420331638523
NK cells_PB14,0.24999633796499993,0.25000292869375174,0.2499973135422292,0.25000341979901913
B cells_PB15,0.2499957288215584,0.2500021662555377,0.24999781660355896,0.25000428831934496
Monocytes_PB16,0.24999643731060778,0.2500027831618093,0.24999726731248992,0.25000351221509287
T cells_PB17,0.24999576263280576,0.25000226778513274,0.24999775972238822,0.2500042098596733
T cells_PB18,0.24999570434630544,0.2500021589441716,0.2499978320107421,0.25000430469878077
T cells_PB19,0.2499956718853159,0.2500021537056294,0.24999785167109229,0.2500043227379624
T cells_PB20,0.2499956492474121,0.2500021347001201,0.24999786508050684,0.25000435097196105
T cells_PB21,0.24999595724155335,0.2500023801397986,0.2499976323683441,0.25000403025030404
Monocytes_PB22,0.24999569745513256,0.25000215441273277,0.24999783879774243,0.25000430933439216
NK cells_PB23,0.2499956758349628,0.25000215050819863,0.24999786436039134,0.25000430929644735
Monocytes_PB24,0.24999570092003867,0.2500021642005988,0.24999783318233304,0.25000430169702936
T cells_PB25,0.24999568135217967,0.25000215881649596,0.24999783703662504,0.2500043227946995
T cells_PB26,0.2499957555404791,0.25000222973229597,0.24999777050677238,0.25000424422045253
NK cells_PB27,0.24999569991771647,0.25000216285936294,0.24999784657949148,0.250004290643429
Monocytes_PB28,0.24999570491327583,0.25000218961690096,0.2499978265162368,0.2500042789535862
B cells_PB29,0.24999572377131876,0.25000213178731157,0.24999784558718066,0.2500042988541891
T cells_PB30,0.2499956719651202,0.250002150110304,0.2499978573627741,0.25000432056180166
Monocytes_PB31,0.24999566747051016,0.25000215730979886,0.24999785276174366,0.2500043224579473
T cells_PB32,0.24999570176978558,0.25000219854819605,0.24999782932563877,0.25000427035637957
T cells_PB33,0.2499958824376254,0.250002373076273,0.24999768352879362,0.25000406095730787
NK cells_PB34,0.24999577699616135,0.250002208167815,0.249997864514307,0.25000415032171663
T cells_PB35,0.2499957287403704,0.25000218173022976,0.24999780209804465,0.25000428743135517
NK cells_PB36,0.2499956750351509,0.2500021337365221,0.24999790225819465,0.25000428897013244
NK cells_PB37,0.24999576405790477,0.25000222868637284,0.2499978029877489,0.2500042042679736
T cells_PB38,0.2499956669767462,0.250002147035531,0.2499978612672407,0.2500043247204823
NK cells_PB39,0.24999569568946853,0.2500021551660051,0.2499978832137367,0.2500042659307896
Monocytes_PB40,0.24999568410959325,0.25000216059430524,0.2499978498928631,0.2500043054032385
NK cells_PB41,0.2499963406485402,0.2500029499491743,0.24999726291019408,0.25000344649209144
B cells_PB42,0.2499957510986382,0.2500021467797253,0.24999783199014636,0.25000427013149007
T cells_PB43,0.24999571551336372,0.2500021979703534,0.2499978186414083,0.25000426787487473
NK cells_PB44,0.24999565883335256,0.2500021216287712,0.24999790186010967,0.2500043176777665
T cells_PB45,0.24999622545713454,0.25000274653795224,0.24999737868144412,0.2500036493234691
NK cells_PB46,0.2499956929481982,0.25000215529234476,0.24999787093900067,0.2500042808204564
B cells_PB47,0.2499956904229934,0.25000212956562623,0.24999785419570905,0.25000432581567145
NK cells_PB48,0.24999568524832888,0.25000215095496375,0.24999786620636422,0.2500042975903432
T cells_PB49,0.24999579633963417,0.25000224955236977,0.24999776223794812,0.25000419187004796
Monocytes_PB50,0.24999572876684892,0.2500021693818095,0.24999781751855266,0.25000428433278893
Monocytes_PB51,0.2499956544752045,0.2500021600247851,0.2499978534894152,0.25000433201059513
Monocytes_PB52,0.24999565182008276,0.25000215473854137,0.24999785604289768,0.2500043373984782
Monocytes_PB53,0.24999569751332246,0.250002218945192,0.24999781275121155,0.2500042707902741
NK cells_PB54,0.2499957614542278,0.2500021998180365,0.2499978840454417,0.250004154682294
Monocytes_PB55,0.24999595469791613,0.2500024184428244,0.24999765264120932,0.2500039742180502
Monocytes_PB56,0.24999565990804698,0.2500021558112367,0.2499978617938295,0.2500043224868868
NK cells_PB57,0.249995644416135,0.2500021147898051,0.24999788450764432,0.25000435628641565
T cells_PB58,0.24999569286497522,0.25000215501950906,0.2499978428423621,0.25000430927315365
T cells_PB59,0.24999568039868722,0.25000215076670096,0.24999785113075193,0.25000431770385995
T cells_PB60,0.24999567539673223,0.25000215308797075,0.24999785702689759,0.25000431448839944
NK cells_PB61,0.24999606634536659,0.2500024994636866,0.24999767598760161,0.25000375820334514
B cells_PB62,0.24999569588622558,0.2500021354377758,0.24999784692496485,0.25000432175103376
Monocytes_PB63,0.2499956835887514,0.2500021811373684,0.24999782904043863,0.2500043062334416
Monocytes_PB64,0.24999566990913907,0.2500021391864204,0.24999785582986123,0.25000433507457936
B cells_PB65,0.24999575429183732,0.2500021770081128,0.24999781417885944,0.25000425452119057
B cells_PB66,0.24999573562668695,0.25000215316774016,0.24999783590119143,0.25000427530438146
Monocytes_PB67,0.24999572856023863,0.25000217819686305,0.24999780197128832,0.2500042912716099
Monocytes_PB68,0.2499956647737751,0.2500021678838513,0.24999784171099138,0.25000432563138214
T cells_PB69,0.24999579456182702,0.25000227713044065,0.2499977537327499,0.2500041745749825
Monocytes_PB70,0.24999572674898765,0.25000227817265763,0.24999777442952503,0.25000422064882966
B cells_PB71,0.24999574626372967,0.25000213392170345,0.24999783418986143,0.25000428562470545
T cells_PB72,0.24999566065347267,0.2500021445665197,0.24999787204739343,0.25000432273261425
B cells_PB73,0.2499957696050495,0.2500022320767083,0.2499977795310577,0.25000421878718465
B cells_PB74,0.24999573951461768,0.2500021263745408,0.24999784529102942,0.2500042888198121
T cells_PB75,0.249995695042904,0.2500021576945908,0.24999783005389303,0.25000431720861227
NK cells_PB76,0.24999569005917757,0.250002132666138,0.24999788912543014,0.2500042881492543
Monocytes_PB77,0.24999569377407355,0.25000222234630715,0.24999781585370853,0.25000426802591075
Monocytes_PB78,0.2499956751520387,0.2500021233351596,0.24999785650841755,0.2500043450043842
B cells_PB79,0.24999572948918547,0.2500021528748153,0.2499978222722839,0.25000429536371527
B cells_PB80,0.24999618697022874,0.25000259406930564,0.2499974500136811,0.25000376894678455
B cells_PB81,0.24999574426875368,0.25000212661381904,0.24999784093321867,0.2500042881842086
B cells_PB82,0.24999577310961807,0.2500021478483009,0.24999782089148997,0.25000425815059096
Monocytes_PB83,0.2499956710165091,0.25000214324625,0.24999784948073606,0.250004336256505
NK cells_PB84,0.24999576099773355,0.25000220010049934,0.24999780279980333,0.25000423610196365
T cells_PB85,0.24999567659291425,0.2500021514063387,0.2499978477456162,0.25000432425513086
NK cells_PB86,0.24999571726573727,0.2500021695380573,0.2499978281902924,0.25000428500591315
T cells_PB87,0.24999569609110459,0.2500021546282091,0.24999783692505695,0.25000431235562937
NK cells_PB88,0.24999564848921926,0.25000211751846524,0.24999789321223165,0.2500043407800839
NK cells_PB89,0.24999570778688737,0.25000214785602987,0.2499978851192648,0.2500042592378179
T cells_PB90,0.24999572798887526,0.2500021726973235,0.2499978248142078,0.2500042744995935
T cells_PB91,0.24999569120839898,0.2500021651676946,0.24999783977720652,0.25000430384669997
Monocytes_PB92,0.24999567103542417,0.25000215532462605,0.24999784033443218,0.25000433330551763
NK cells_PB93,0.24999574855189993,0.2500021942007366,0.24999787311932165,0.25000418412804193
B cells_PB94,0.24999634354878666,0.2500025072940899,0.24999745496761913,0.2500036941895043
B cells_PB95,0.24999648443285866,0.2500024347939066,0.24999745841703924,0.25000362235619555
B cells_PB96,0.2499957284529599,0.2500021366650216,0.24999783667665246,0.25000429820536607
B cells_PB97,0.24999578668233183,0.25000217698589994,0.2499978014717585,0.2500042348600097
Monocytes_PB98,0.2499957015955201,0.25000219143144337,0.24999781239161414,0.2500042945814224
NK cells_PB99,0.24999583609488488,0.25000231833166925,0.24999774187813265,0.2500041036953131
Monocytes_PB100,0.24999575807573718,0.25000218104197125,0.24999779949959955,0.2500042613826922
Monocytes_PB101,0.24999570443561925,0.25000212560270835,0.24999784712685316,0.2500043228348193
T cells_PB102,0.24999568605335207,0.25000215598858494,0.2499978370814673,0.2500043208765957
NK cells_PB103,0.2499957153990146,0.2500021712516658,0.24999784165910993,0.2500042716902097
B cells_PB104,0.2499957423450758,0.25000216157674937,0.249997819692688,0.25000427638548695
NK cells_PB105,0.24999629393240644,0.25000274390568317,0.24999768717006937,0.2500032749918411
Monocytes_PB106,0.24999570489942333,0.25000215393815084,0.24999782821138908,0.25000431295103664
NK cells_PB107,0.24999570788223596,0.2500021676276589,0.24999787337082166,0.2500042511192835
Monocytes_PB108,0.2499956821941007,0.2500021833971047,0.2499978350657195,0.2500042993430753
B cells_PB109,0.2499956987797794,0.2500021335679227,0.24999785097969973,0.25000431667259804
Monocytes_PB110,0.24999585920011266,0.25000221657455113,0.24999775243030903,0.2500041717950272
T cells_PB111,0.24999570150709807,0.25000216835005534,0.2499978354330952,0.2500042947097514
NK cells_PB112,0.24999567297677278,0.2500021402722877,0.24999786735466872,0.2500043193962708
T cells_PB113,0.24999574250208553,0.250002191366301,0.24999779622612797,0.2500042699054856
T cells_PB114,0.2499957165851835,0.25000217609979225,0.24999780051501305,0.2500043068000112
B cells_PB115,0.2499957700752001,0.2500021388061213,0.2499978300439411,0.2500042610747375
Monocytes_PB116,0.2499957250957417,0.25000221874020545,0.24999781045161937,0.25000424571243346
Monocytes_PB117,0.24999565225161702,0.2500021590224617,0.24999785357299448,0.25000433515292686
NK cells_PB118,0.24999570702757826,0.2500021723043891,0.24999783528359626,0.2500042853844363
B cells_PB119,0.24999571612032429,0.250002111931134,0.24999784746182124,0.25000432448672044
NK cells_PB120,0.2499956758155707,0.2500021447602918,0.24999787945366228,0.25000429997047524
NK cells_PB121,0.2499956754298894,0.25000214029459056,0.24999789383998028,0.2500042904355397
NK cells_PB122,0.24999567738674286,0.2500021333556385,0.2499978967756026,0.25000429248201606
NK cells_PB123,0.24999567166549763,0.25000214684147914,0.24999787122364583,0.25000431026937747
B cells_PB124,0.24999567446828044,0.2500021283584461,0.2499978639319486,0.2500043332413249
B cells_PB125,0.24999569963841742,0.2500021594807689,0.24999782393784656,0.2500043169429671
T cells_PB126,0.24999575953837333,0.25000222711994174,0.24999777202460638,0.2500042413170787
B cells_PB127,0.24999585578654346,0.25000218266946006,0.24999777562934092,0.2500041859146556
B cells_PB128,0.24999579244409517,0.2500021381094726,0.24999781679012248,0.25000425265630977
T cells_PB129,0.24999570902460744,0.2500021893379327,0.24999782977682553,0.2500042718606342
B cells_PB130,0.2499957173356714,0.2500021359220756,0.24999784695270477,0.25000429978954825
B cells_PB131,0.2499957291871834,0.250002152649964,0.24999782860008496,0.25000428956276755
Monocytes_PB132,0.24999574350041914,0.2500021885733295,0.24999780598877394,0.25000426193747743
B cells_PB133,0.24999569935405624,0.25000216646590706,0.24999782824942837,0.2500043059306083
NK cells_PB134,0.24999570323360742,0.25000215002584325,0.24999785703036456,0.2500042897101848
Monocytes_PB135,0.2499956632692939,0.250002188704675,0.24999784557377847,0.2500043024522527
Monocytes_PB136,0.2499957277109283,0.2500021975250928,0.24999780221767262,0.2500042725463063
Monocytes_PB137,0.2499956914313423,0.25000216822584465,0.2499978392691318,0.25000430107368127
B cells_PB138,0.2499957421596106,0.25000213675244193,0.2499978330690109,0.2500042880189366
T cells_PB139,0.24999569930934637,0.2500021624686536,0.2499978369507649,0.250004301271235
Monocytes_PB140,0.24999567263243516,0.2500021944044075,0.249997839741695,0.25000429322146245
B cells_PB141,0.2499957490194812,0.2500021276049662,0.24999784066508632,0.2500042827104663
NK cells_PB142,0.249995671612183,0.2500021268347081,0.24999787350095354,0.2500043280521554
NK cells_PB143,0.24999569294215285,0.25000214700146345,0.24999787296716366,0.2500042870892201
Monocytes_PB144,0.24999566401426127,0.2500021425209713,0.24999785427447022,0.25000433919029724
T cells_PB145,0.24999567229770786,0.25000214781567426,0.24999785231418079,0.2500043275724371
NK cells_PB146,0.24999568678653225,0.25000216049447005,0.24999784466583025,0.2500043080531675
B cells_PB147,0.24999584416566586,0.25000220087554587,0.2499977891558629,0.2500041658029252
NK cells_PB148,0.24999572137672155,0.25000217318554696,0.24999785422977708,0.25000425120795444
T cells_PB149,0.24999623118655628,0.25000275566082253,0.249997450344963,0.25000356280765823
T cells_PB150,0.24999567804444478,0.25000215981079305,0.2499978459041371,0.2500043162406251
NK cells_PB151,0.24999577308158735,0.25000219801408646,0.24999788389994557,0.25000414500438056
T cells_PB152,0.24999565846380328,0.25000214003289134,0.24999785911808167,0.25000434238522357
NK cells_PB153,0.24999576437839216,0.250002249863447,0.24999779321427973,0.25000419254388095
T cells_PB154,0.24999576849985636,0.250002225564017,0.2499977820542887,0.2500042238818381
Monocytes_PB155,0.24999566361276168,0.25000217685005977,0.24999784989066148,0.250004309646517
