,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.0,0.962084085698011,0.037915914301989,0.0
B cells_PB2,0.0,1.0,0.0,0.0
NK cells_PB3,0.0,0.777217650761842,0.22278234923815798,0.0
T cells_PB4,0.0,0.945900365598492,0.05409963440150792,0.0
T cells_PB5,0.0,0.9472525758787207,0.052747424121279265,0.0
NK cells_PB6,0.0,0.9500015241255775,0.04999847587442246,0.0
T cells_PB7,0.0,0.9136647902604874,0.08633520973951261,0.0
NK cells_PB8,0.0,0.7708251964178812,0.22917480358211875,0.0
Monocytes_PB9,0.0,1.0,0.0,0.0
B cells_PB10,0.0,1.0,0.0,0.0
Monocytes_PB11,0.0,0.9014839240454803,0.09851607595451967,0.0
B cells_PB12,0.0,0.9193109117981286,0.0806890882018714,0.0
T cells_PB13,0.0,0.9152340652188354,0.08476593478116458,0.0
NK cells_PB14,0.0,0.8400866212297554,0.15991337877024453,0.0
B cells_PB15,0.0,0.9857682216481015,0.014231778351898502,0.0
Monocytes_PB16,0.0,0.9177567372413535,0.0822432627586465,0.0
T cells_PB17,0.0,0.9396630673299602,0.06033693267003981,0.0
T cells_PB18,0.0,0.9168719172909633,0.08312808270903663,0.0
T cells_PB19,0.0,0.9566716317325625,0.043328368267437384,0.0
T cells_PB20,0.0,0.9195800208863656,0.08041997911363437,0.0
T cells_PB21,0.0,1.0,0.0,0.0
Monocytes_PB22,0.0,0.9220218251372767,0.0779781748627233,0.0
NK cells_PB23,0.0,0.838323577637812,0.16167642236218807,0.0
Monocytes_PB24,0.0,1.0,0.0,0.0
T cells_PB25,0.0,0.9264555989669135,0.07354440103308651,0.0
T cells_PB26,0.0,0.9588495109238994,0.04115048907610062,0.0
NK cells_PB27,0.0,0.856810011699769,0.143189988300231,0.0
Monocytes_PB28,0.0,0.9957235133613743,0.004276486638625659,0.0
B cells_PB29,0.0,1.0,0.0,0.0
T cells_PB30,0.0,0.977995711155583,0.022004288844416922,0.0
Monocytes_PB31,0.0,0.9667119883746458,0.033288011625354164,0.0
T cells_PB32,0.0,0.9110126797077002,0.08898732029229985,0.0
T cells_PB33,0.0,0.9671811249913566,0.0328188750086435,0.0
NK cells_PB34,0.0,0.7680364028157184,0.2319635971842816,0.0
T cells_PB35,0.0,0.8834709836818397,0.11652901631816026,0.0
NK cells_PB36,0.0,0.7408404875579515,0.2591595124420486,0.0
NK cells_PB37,0.0,0.9199701660741363,0.08002983392586359,0.0
T cells_PB38,0.0,0.9157038619654402,0.08429613803455978,0.0
NK cells_PB39,0.0,0.7873157856516527,0.2126842143483472,0.0
Monocytes_PB40,0.0,0.9824847545888545,0.01751524541114551,0.0
NK cells_PB41,0.0,0.9137722259174134,0.08622777408258658,0.0
B cells_PB42,0.0,1.0,0.0,0.0
T cells_PB43,0.0,0.9722238786616478,0.027776121338352153,0.0
NK cells_PB44,0.0,0.6928021485654771,0.307197851434523,0.0
T cells_PB45,0.0,0.9557089220806922,0.04429107791930778,0.0
NK cells_PB46,0.0,0.8097532010755697,0.1902467989244302,0.0
B cells_PB47,0.0,0.9859353881240914,0.014064611875908534,0.0
NK cells_PB48,0.0,0.7315322243861023,0.26846777561389756,0.0
T cells_PB49,0.0,0.9684444570109576,0.031555542989042326,0.0
Monocytes_PB50,0.0,0.9307924990358669,0.069207500964133,0.0
Monocytes_PB51,0.0,0.9952870225416616,0.004712977458338443,0.0
Monocytes_PB52,0.0,0.9967658534971888,0.003234146502811246,0.0
Monocytes_PB53,0.0,1.0,0.0,0.0
NK cells_PB54,0.0,0.748635889560986,0.251364110439014,0.0
Monocytes_PB55,0.0,0.9451527650087461,0.054847234991253865,0.0
Monocytes_PB56,0.0,0.9963686432397021,0.003631356760297972,0.0
NK cells_PB57,0.0,0.9823468548873738,0.017653145112626136,0.0
T cells_PB58,0.0,0.9378212846032816,0.06217871539671831,0.0
T cells_PB59,0.0,0.9262466027650642,0.07375339723493582,0.0
T cells_PB60,0.0,0.9312913565646144,0.06870864343538559,0.0
NK cells_PB61,0.0,0.8677795038644724,0.1322204961355276,0.0
B cells_PB62,0.0,0.9140783861420262,0.08592161385797378,0.0
Monocytes_PB63,0.0,0.9745124243951777,0.025487575604822194,0.0
Monocytes_PB64,0.0,0.9191246358858611,0.08087536411413893,0.0
B cells_PB65,0.0,0.9422578894982058,0.057742110501794314,0.0
B cells_PB66,0.0,0.9326656939594156,0.06733430604058437,0.0
Monocytes_PB67,0.0,0.8997714936110696,0.10022850638893048,0.0
Monocytes_PB68,0.0,0.9652221907984817,0.03477780920151828,0.0
T cells_PB69,0.0,0.9664183988559771,0.033581601144022886,0.0
Monocytes_PB70,0.0,1.0,0.0,0.0
B cells_PB71,0.0,0.952199804414257,0.047800195585742965,0.0
T cells_PB72,0.0,0.9286598951383223,0.07134010486167773,0.0
B cells_PB73,0.0,0.8984561288228564,0.1015438711771436,0.0
B cells_PB74,0.0,1.0,0.0,0.0
T cells_PB75,0.0,0.9157807582813284,0.08421924171867154,0.0
NK cells_PB76,0.0,0.7724577183380867,0.22754228166191326,0.0
Monocytes_PB77,0.0,0.9689583836353717,0.031041616364628377,0.0
Monocytes_PB78,0.0,1.0,0.0,0.0
B cells_PB79,0.0,0.9237040547774927,0.07629594522250727,0.0
B cells_PB80,0.0,0.998747701321313,0.0012522986786869957,0.0
B cells_PB81,0.0,0.9354759774071605,0.06452402259283954,0.0
B cells_PB82,0.0,0.9010785954450903,0.09892140455490964,0.0
Monocytes_PB83,0.0,0.9665573346317515,0.033442665368248414,0.0
NK cells_PB84,0.0,0.9553086095567785,0.04469139044322143,0.0
T cells_PB85,0.0,0.8853514295668441,0.11464857043315597,0.0
NK cells_PB86,0.0,0.8685045074512685,0.13149549254873152,0.0
T cells_PB87,0.0,0.9679444683359877,0.03205553166401225,0.0
NK cells_PB88,0.0,0.7898334144697027,0.21016658553029727,0.0
NK cells_PB89,0.0,0.7583402293274814,0.24165977067251865,0.0
T cells_PB90,0.0,0.9996864256718352,0.0003135743281648075,0.0
T cells_PB91,0.0,0.9377988724345718,0.06220112756542822,0.0
Monocytes_PB92,0.0,0.991556112440777,0.008443887559222983,0.0
NK cells_PB93,0.0,0.7674811884252153,0.23251881157478474,0.0
B cells_PB94,0.0,0.988894944798292,0.011105055201707983,0.0
B cells_PB95,0.0,0.9347614231849235,0.06523857681507647,0.0
B cells_PB96,0.0,0.9190170909431736,0.0809829090568264,0.0
B cells_PB97,0.0,0.9482497725798509,0.05175022742014906,0.0
Monocytes_PB98,0.0,0.967926609907292,0.032073390092707994,0.0
NK cells_PB99,0.0,0.9382125369133005,0.06178746308669942,0.0
Monocytes_PB100,0.0,0.8623419014497112,0.13765809855028877,0.0
Monocytes_PB101,0.0,0.8824344805344813,0.1175655194655188,0.0
T cells_PB102,0.0,0.9303831645162505,0.06961683548374954,0.0
NK cells_PB103,0.0,0.8402957691152572,0.1597042308847429,0.0
B cells_PB104,0.0,0.9377132554055861,0.06228674459441386,0.0
NK cells_PB105,0.0,0.7534971196907856,0.2465028803092144,0.0
