,NK cells,T cells,Monocytes,B cells
T cells_PB1,0.21666666666666667,0.36333333333333334,0.23666666666666666,0.18333333333333332
B cells_PB2,0.05333333333333334,0.09,0.09,0.7666666666666667
T cells_PB3,0.12333333333333334,0.6133333333333333,0.13,0.13333333333333333
Monocytes_PB4,0.15666666666666668,0.14666666666666667,0.52,0.17666666666666667
T cells_PB5,0.27666666666666667,0.21,0.23333333333333334,0.28
T cells_PB6,0.2833333333333333,0.21,0.25333333333333335,0.25333333333333335
Monocytes_PB7,0.27666666666666667,0.3,0.14,0.2833333333333333
T cells_PB8,0.11666666666666667,0.7066666666666667,0.09,0.08666666666666667
Monocytes_PB9,0.13666666666666666,0.14,0.52,0.20333333333333334
B cells_PB10,0.10333333333333333,0.14,0.16,0.5966666666666667
NK cells_PB11,0.11333333333333333,0.30333333333333334,0.26,0.3233333333333333
NK cells_PB12,0.78,0.08666666666666667,0.06666666666666667,0.06666666666666667
NK cells_PB13,0.6833333333333333,0.08333333333333333,0.11333333333333333,0.12
Monocytes_PB14,0.20333333333333334,0.2733333333333333,0.25,0.2733333333333333
NK cells_PB15,0.22666666666666666,0.26,0.24333333333333335,0.27
B cells_PB16,0.3,0.2633333333333333,0.20666666666666667,0.23
NK cells_PB17,0.31333333333333335,0.23333333333333334,0.23,0.22333333333333333
Monocytes_PB18,0.17333333333333334,0.19666666666666666,0.4666666666666667,0.16333333333333333
B cells_PB19,0.18333333333333332,0.18,0.23333333333333334,0.4033333333333333
NK cells_PB20,0.30333333333333334,0.22,0.22666666666666666,0.25
B cells_PB21,0.11666666666666667,0.16333333333333333,0.19333333333333333,0.5266666666666666
T cells_PB22,0.24333333333333335,0.19666666666666666,0.25333333333333335,0.30666666666666664
T cells_PB23,0.22333333333333333,0.30333333333333334,0.19333333333333333,0.28
Monocytes_PB24,0.22,0.21666666666666667,0.3566666666666667,0.20666666666666667
T cells_PB25,0.19666666666666666,0.42,0.18666666666666668,0.19666666666666666
T cells_PB26,0.12333333333333334,0.65,0.13,0.09666666666666666
NK cells_PB27,0.24,0.31333333333333335,0.21333333333333335,0.23333333333333334
Monocytes_PB28,0.17666666666666667,0.19333333333333333,0.46,0.17
