,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.27334063824137,0.4482207496097071,0.278438612148923,0.0
B cells_PB2,0.44291570062267166,0.41043000609888486,0.14665429327844368,0.0
T cells_PB3,0.37717735542252456,0.3990102219726094,0.22381242260486608,0.0
Monocytes_PB4,0.20774553987210614,0.5799931213632564,0.21226133876463749,0.0
T cells_PB5,0.2914854578675709,0.4474159347181367,0.26109860741429236,0.0
T cells_PB6,0.3230320952471881,0.4261937985943504,0.25077410615846146,0.0
Monocytes_PB7,0.42123654135647265,0.3413885666720979,0.23737489197142955,0.0
T cells_PB8,0.41730937126681616,0.37847131541948986,0.204219313313694,0.0
Monocytes_PB9,0.19151633456837885,0.6179526755986542,0.19053098983296704,0.0
B cells_PB10,0.3824185762222921,0.42486852890048366,0.19271289487722434,0.0
NK cells_PB11,0.3772154881407063,0.45885446707162514,0.16393004478766865,0.0
NK cells_PB12,0.33634298413198543,0.33912919080541176,0.3245278250626028,0.0
NK cells_PB13,0.3298300319528699,0.379750970384881,0.29041899766224916,0.0
Monocytes_PB14,0.2835701640345415,0.516093029249271,0.20033680671618742,0.0
NK cells_PB15,0.3257376670141976,0.43681052192572634,0.2374518110600761,0.0
B cells_PB16,0.29625963921198156,0.4694067948737755,0.23433356591424293,0.0
NK cells_PB17,0.2829109219459485,0.49376979043132224,0.2233192876227294,0.0
Monocytes_PB18,0.20375939267337198,0.5571210945535268,0.23911951277310126,0.0
B cells_PB19,0.3630451774829942,0.4455122087338061,0.19144261378319963,0.0
NK cells_PB20,0.2853871669073668,0.494264914206706,0.2203479188859272,0.0
B cells_PB21,0.33996657794850765,0.45647466132189524,0.20355876072959694,0.0
T cells_PB22,0.33313370325270647,0.41734831111904624,0.24951798562824729,0.0
T cells_PB23,0.3474811028205562,0.41814071890276655,0.2343781782766773,0.0
Monocytes_PB24,0.22691610192298342,0.5618260851318955,0.21125781294512105,0.0
T cells_PB25,0.3687661948138968,0.41052079042621836,0.2207130147598848,0.0
T cells_PB26,0.41699600339130555,0.3811266711402432,0.2018773254684513,0.0
NK cells_PB27,0.3322866377557706,0.4363395274942315,0.23137383474999781,0.0
Monocytes_PB28,0.19236771690275056,0.6024230258965216,0.20520925720072783,0.0
Monocytes_PB29,0.16133921526541986,0.5970275353777459,0.24163324935683417,0.0
Monocytes_PB30,0.3541583702272355,0.38284484216014936,0.2629967876126152,0.0
NK cells_PB31,0.24628832298242515,0.48224448171652906,0.2714671953010457,0.0
T cells_PB32,0.21675612053538693,0.5268512431516535,0.2563926363129595,0.0
T cells_PB33,0.2411967379253076,0.49232449351535024,0.2664787685593422,0.0
T cells_PB34,0.434245612132447,0.32570651514399146,0.24004787272356165,0.0
T cells_PB35,0.40141239847905985,0.35510623272592645,0.2434813687950137,0.0
B cells_PB36,0.3820447536126995,0.42137589898333466,0.19657934740396582,0.0
NK cells_PB37,0.35274863216966057,0.4172506790663976,0.23000068876394172,0.0
Monocytes_PB38,0.3747925655844966,0.41742904997852603,0.2077783844369774,0.0
B cells_PB39,0.43803084106033424,0.38938744147847104,0.17258171746119466,0.0
B cells_PB40,0.31316544865125323,0.4710114586096193,0.2158230927391274,0.0
NK cells_PB41,0.29509146536606806,0.44142442697971873,0.2634841076542132,0.0
Monocytes_PB42,0.21506112744140782,0.5475581336941313,0.23738073886446073,0.0
NK cells_PB43,0.32992658718761153,0.45478390430098753,0.21528950851140077,0.0
B cells_PB44,0.4284351089852293,0.40715040654434087,0.16441448447042992,0.0
B cells_PB45,0.31444805806202275,0.4831838967410628,0.20236804519691448,0.0
NK cells_PB46,0.25190237957848854,0.43181135843145274,0.31628626199005877,0.0
T cells_PB47,0.33479930876214836,0.44049231713016596,0.22470837410768552,0.0
Monocytes_PB48,0.21513022549632102,0.5423052290844704,0.24256454541920858,0.0
B cells_PB49,0.3907441084020158,0.4012611989347366,0.20799469266324758,0.0
B cells_PB50,0.24681642100418433,0.47899026389860183,0.27419331509721395,0.0
NK cells_PB51,0.2961185284082578,0.38077808572201843,0.3231033858697237,0.0
T cells_PB52,0.3170415783353733,0.45887114890582625,0.22408727275880055,0.0
B cells_PB53,0.44987840414781727,0.38097103598585896,0.1691505598663237,0.0
T cells_PB54,0.36240508888088774,0.3810362228868834,0.2565586882322289,0.0
Monocytes_PB55,0.18023356506695817,0.5682639098948962,0.25150252503814546,0.0
NK cells_PB56,0.204809693564961,0.45801403358695186,0.3371762728480871,0.0
B cells_PB57,0.2737985592235469,0.4439540833420674,0.28224735743438556,0.0
T cells_PB58,0.32097339467737385,0.45698186402485824,0.222044741297768,0.0
NK cells_PB59,0.32129854916051637,0.46542393705915663,0.213277513780327,0.0
B cells_PB60,0.24175596804884678,0.5015637501170668,0.25668028183408653,0.0
B cells_PB61,0.3537150123249652,0.4423072309273596,0.20397775674767502,0.0
NK cells_PB62,0.2805582648718537,0.4674503311917671,0.25199140393637925,0.0
Monocytes_PB63,0.13596766836348273,0.6379384828242557,0.2260938488122616,0.0
T cells_PB64,0.26197925855794146,0.46863381256061726,0.26938692888144133,0.0
Monocytes_PB65,0.28103954226045347,0.5090390726263642,0.20992138511318245,0.0
B cells_PB66,0.3580903323233888,0.43403749947186354,0.20787216820474758,0.0
T cells_PB67,0.23157803805774882,0.507469769648361,0.26095219229389016,0.0
NK cells_PB68,0.3060102325668799,0.3530898574250378,0.34089991000808223,0.0
T cells_PB69,0.33909351943620997,0.44651271273634563,0.21439376782744432,0.0
T cells_PB70,0.43642011157017646,0.3233433682489695,0.24023652018085404,0.0
Monocytes_PB71,0.041618451260236576,0.6638586457037814,0.29452290303598205,0.0
NK cells_PB72,0.30795286043361897,0.42970349806320635,0.2623436415031747,0.0
T cells_PB73,0.2886406490672448,0.4650167336517848,0.24634261728097034,0.0
Monocytes_PB74,0.15324048575327998,0.6358395494485131,0.21091996479820693,0.0
Monocytes_PB75,0.11767964938604009,0.6430090201448053,0.23931133046915454,0.0
NK cells_PB76,0.276569011448511,0.4100198626245029,0.31341112592698606,0.0
T cells_PB77,0.31343178102652125,0.41777987286005935,0.2687883461134194,0.0
NK cells_PB78,0.3173107716793917,0.44292581138356496,0.23976341693704323,0.0
T cells_PB79,0.3783272009498865,0.4208787546270931,0.2007940444230204,0.0
T cells_PB80,0.2874366199309352,0.43688007013736274,0.2756833099317019,0.0
B cells_PB81,0.4389726724503916,0.4060293956249158,0.15499793192469258,0.0
B cells_PB82,0.40279475364862055,0.42068873393419676,0.17651651241718264,0.0
B cells_PB83,0.37392420179889585,0.426911345945009,0.19916445225609505,0.0
B cells_PB84,0.23725779183848314,0.46352683817350315,0.2992153699880137,0.0
B cells_PB85,0.370574486781559,0.3942029958962453,0.23522251732219568,0.0
NK cells_PB86,0.26565779212720936,0.4724081502401222,0.2619340576326684,0.0
NK cells_PB87,0.23108273025028236,0.4105340232651752,0.3583832464845424,0.0
Monocytes_PB88,0.1529796572236199,0.60976295456757,0.23725738820881,0.0
Monocytes_PB89,0.06433962680651842,0.6948576192569846,0.24080275393649694,0.0
T cells_PB90,0.3727587398175866,0.3933826149478012,0.23385864523461222,0.0
B cells_PB91,0.28868196527364554,0.48672318855109226,0.22459484617526215,0.0
T cells_PB92,0.33625614410210486,0.427047340240154,0.23669651565774122,0.0
NK cells_PB93,0.3199135887126415,0.37159948084031985,0.30848693044703873,0.0
B cells_PB94,0.41642009350797365,0.4125170156137597,0.17106289087826665,0.0
Monocytes_PB95,0.15873157475049557,0.6104299876754018,0.23083843757410258,0.0
NK cells_PB96,0.26908286066253867,0.4257375827071838,0.3051795566302775,0.0
T cells_PB97,0.3103315745958703,0.45458872594857136,0.23507969945555843,0.0
B cells_PB98,0.3981429583598818,0.4069933176011813,0.19486372403893693,0.0
B cells_PB99,0.18874704608021106,0.503189705051728,0.3080632488680609,0.0
B cells_PB100,0.2662110292737772,0.48018200050452153,0.2536069702217013,0.0
Monocytes_PB101,0.32740733096556246,0.43360682928398564,0.23898583975045187,0.0
B cells_PB102,0.38984824252893496,0.404339138167462,0.205812619303603,0.0
NK cells_PB103,0.2477940639195343,0.48794090119809186,0.2642650348823738,0.0
NK cells_PB104,0.22280908133332555,0.48462000782718206,0.29257091083949227,0.0
Monocytes_PB105,0.1436441460037299,0.6102075560081308,0.24614829798813928,0.0
