name,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.18727712,0.22542073,0.21250714,0.1817276
B cells_PB2,0.2379908,0.18443692,0.19711699,0.18010968
T cells_PB3,0.19994096,0.19663683,0.20838003,0.2080257
Monocytes_PB4,0.15949707,0.25852016,0.2100076,0.17486066
T cells_PB5,0.19673216,0.2157534,0.21241783,0.18252714
T cells_PB6,0.19923753,0.20571737,0.20904602,0.19959432
Monocytes_PB7,0.1996712,0.20306008,0.2084261,0.20273852
T cells_PB8,0.1954081,0.19411555,0.20822468,0.21279159
Monocytes_PB9,0.18554907,0.24081363,0.19685729,0.18115728
B cells_PB10,0.20088574,0.22394006,0.19962305,0.18745439
NK cells_PB11,0.21182387,0.20934953,0.19697306,0.18647112
NK cells_PB12,0.16840473,0.19601502,0.24585682,0.19643639
NK cells_PB13,0.1782865,0.19180721,0.24678533,0.18483369
Monocytes_PB14,0.20253809,0.2154737,0.20284934,0.18408325
NK cells_PB15,0.18956475,0.21737762,0.20726773,0.19667858
B cells_PB16,0.18681587,0.2105468,0.22339375,0.19038187
NK cells_PB17,0.1802054,0.22028863,0.21540897,0.19326189
Monocytes_PB18,0.17336379,0.25364918,0.20380345,0.16966413
B cells_PB19,0.21282284,0.22038944,0.19758013,0.17965512
NK cells_PB20,0.19164778,0.20254445,0.22902301,0.18122633
B cells_PB21,0.2265093,0.20114961,0.19834642,0.18111862
T cells_PB22,0.19262499,0.22282486,0.20634863,0.18911397
T cells_PB23,0.20284094,0.20209977,0.20621414,0.20086242
Monocytes_PB24,0.16332962,0.2468951,0.21312265,0.18046294
T cells_PB25,0.17633249,0.2179767,0.2020661,0.20424427
T cells_PB26,0.19353259,0.17963824,0.21068181,0.22593802
NK cells_PB27,0.18755974,0.21057901,0.2197263,0.1924665
Monocytes_PB28,0.1534259,0.24860758,0.22094086,0.17606412
Monocytes_PB29,0.17221387,0.25469434,0.19889897,0.17848237
Monocytes_PB30,0.20230547,0.19720076,0.20895143,0.20658553
NK cells_PB31,0.17528273,0.20762461,0.23487782,0.18824832
T cells_PB32,0.18137343,0.22335342,0.22128586,0.18119557
T cells_PB33,0.1980713,0.22956833,0.19619258,0.18393303
T cells_PB34,0.20302315,0.16425502,0.21260114,0.22853751
T cells_PB35,0.19771226,0.1920226,0.20793225,0.21422459
B cells_PB36,0.21879464,0.21261938,0.19126773,0.18090138
NK cells_PB37,0.18481056,0.21352038,0.21826243,0.19655545
Monocytes_PB38,0.18816556,0.22313498,0.20338671,0.19512597
B cells_PB39,0.24272166,0.19111182,0.19362864,0.17773055
B cells_PB40,0.20661256,0.21395253,0.20936956,0.18122599
NK cells_PB41,0.16698354,0.23119129,0.21198905,0.20010486
Monocytes_PB42,0.17418265,0.25085118,0.19927159,0.182187
NK cells_PB43,0.1962489,0.24558364,0.19041657,0.17149152
B cells_PB44,0.23754507,0.19046773,0.19943997,0.17936262
B cells_PB45,0.19845857,0.20468475,0.20612104,0.20575266
NK cells_PB46,0.2000689,0.21986696,0.20780432,0.18555729
T cells_PB47,0.18044944,0.2098527,0.21926047,0.20103894
Monocytes_PB48,0.18041453,0.25151494,0.20500903,0.16515446
B cells_PB49,0.21011421,0.21677321,0.20561299,0.1759004
B cells_PB50,0.18090399,0.23024823,0.21336408,0.18569969
NK cells_PB51,0.17739259,0.19184476,0.24859378,0.18644528
T cells_PB52,0.18004788,0.19302157,0.21135715,0.22649068
B cells_PB53,0.26160654,0.15191473,0.17900275,0.20162229
T cells_PB54,0.19420564,0.19436847,0.20454986,0.20888947
Monocytes_PB55,0.18448864,0.2384737,0.21358751,0.17369
NK cells_PB56,0.16103883,0.1995815,0.24888536,0.19594261
B cells_PB57,0.18682194,0.23032925,0.20442724,0.18923864
T cells_PB58,0.20683168,0.2138709,0.2082148,0.18089242
